year,A0_P09_C1_BASE,A1_INVVOL_W126,A2_INVVOL_DAILY,A3_BOND_HYST,A4_RISK_BUDGET,A5_CONVICTION,A6_GOLD_TILT,A7_IN_VOL_BRAKE,NASDAQ_1x_BH_pct
1974,23.44,17.80,22.49,23.44,24.04,14.87,23.44,23.44,-29.25
1975,1.52,1.59,2.18,1.52,1.52,2.39,1.52,1.52,24.62
1976,44.03,44.31,44.02,44.03,44.03,44.03,44.03,44.03,21.59
1977,-7.86,-7.92,-7.92,-7.93,-7.86,-7.96,-7.86,-7.86,6.06
1978,50.46,50.46,50.46,50.46,50.46,50.88,49.31,50.46,10.18
1979,23.60,23.60,23.60,23.60,23.44,23.01,31.53,23.60,23.25
1980,23.68,24.42,23.95,23.68,23.97,25.50,18.25,24.02,28.03
1981,-4.02,-3.86,-4.15,-2.38,-3.08,-0.19,-11.32,-4.02,-2.66
1982,69.53,69.38,68.58,64.78,67.60,73.63,74.33,67.76,15.45
1983,39.58,40.68,39.69,38.35,39.58,40.84,35.46,37.03,16.44
1984,-2.40,-1.89,-2.22,-1.77,-2.40,-1.32,-5.87,-2.40,-9.35
1985,45.38,45.35,45.31,45.38,45.23,45.43,45.38,45.38,26.05
1986,27.60,28.11,27.53,27.60,28.15,27.60,29.77,27.60,6.09
1987,41.86,41.13,41.68,39.03,41.86,39.86,43.62,41.86,-4.34
1988,-9.18,-9.52,-9.18,-9.18,-9.18,-8.69,-11.57,-9.18,12.74
1989,24.63,24.38,24.56,24.63,24.63,24.69,25.26,24.63,15.92
1990,-12.59,-12.55,-12.66,-12.59,-12.59,-12.78,-11.12,-12.59,-14.73
1991,27.31,27.73,27.44,27.62,27.31,27.27,21.45,27.66,47.04
1992,27.23,27.25,27.05,27.23,27.23,27.50,27.28,27.23,12.78
1993,10.15,9.40,10.07,10.15,10.15,9.85,16.33,10.16,12.20
1994,-2.53,-2.55,-2.59,-3.43,-2.53,-1.68,-3.14,-2.53,-2.65
1995,54.55,54.66,54.57,54.55,54.55,53.29,52.64,54.55,33.02
1996,13.36,13.60,13.19,13.97,13.36,12.74,14.80,13.36,18.78
1997,21.21,21.49,21.35,20.56,21.21,23.18,14.52,21.21,17.90
1998,45.12,45.47,44.93,45.12,45.12,41.60,40.50,38.26,32.79
1999,70.95,70.93,68.73,70.10,71.31,70.45,72.40,60.60,70.80
2000,-6.10,-6.63,-7.00,-6.71,-6.10,-5.81,-10.66,-2.93,-32.50
2001,2.79,2.51,2.64,3.45,3.18,3.05,1.50,2.79,-17.42
2002,15.00,14.26,14.55,10.67,15.03,11.89,16.60,15.00,-26.08
2003,74.60,72.87,74.68,74.60,74.62,76.25,69.13,67.90,41.37
2004,4.72,4.27,4.80,4.76,4.72,3.54,7.59,4.72,7.11
2005,2.60,2.94,2.59,0.67,2.60,2.24,1.07,2.60,1.14
2006,37.16,37.15,37.01,36.11,37.16,38.12,34.14,37.16,7.88
2007,19.00,18.64,19.09,19.45,18.74,16.46,26.83,19.00,8.12
2008,20.34,20.37,21.11,20.34,12.05,18.29,9.23,20.34,-33.54
2009,20.39,18.72,20.72,20.39,26.12,20.69,33.70,17.28,36.31
2010,52.09,52.09,52.09,52.09,52.09,52.09,52.09,49.72,13.99
2011,13.42,13.13,13.07,13.42,12.86,12.08,7.64,13.34,-1.49
2012,26.91,26.59,26.69,26.91,26.37,25.61,23.38,26.91,13.16
2013,3.36,3.32,3.58,0.96,3.51,3.72,1.18,3.36,31.70
2014,2.97,3.04,3.04,3.44,2.97,2.89,0.48,2.97,11.08
2015,-15.50,-15.22,-15.36,-15.50,-15.44,-15.35,-13.01,-15.50,4.74
2016,7.03,6.93,6.95,7.03,6.94,4.68,8.28,5.45,6.21
2017,24.79,24.77,24.79,25.96,24.79,24.79,24.79,24.79,23.36
2018,-4.13,-4.15,-4.12,-4.19,-4.13,-4.22,-2.84,-4.13,-3.21
2019,36.82,36.70,36.64,36.65,36.82,35.94,38.89,35.04,29.14
2020,72.76,73.04,72.71,72.76,71.12,72.69,70.89,68.19,36.10
2021,20.60,20.05,20.54,19.39,20.60,19.49,22.09,21.55,17.70
2022,0.67,0.90,0.57,0.67,0.67,-0.31,0.21,0.67,-27.38
2023,32.33,32.32,32.36,32.33,32.33,31.66,32.86,26.02,35.92
2024,19.62,19.62,19.62,19.62,19.62,19.62,19.62,19.75,23.69
2025,32.02,32.14,32.23,32.02,32.49,32.43,40.17,31.86,16.84
2026,-7.37,-7.22,-7.37,-7.37,-7.28,-4.88,-10.28,-7.37,-6.53
