date,P09_C1,LU1_C1_k365,LU2_C1_k365,B3a_k365,B3c_k365
1974-01-02,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
1974-01-03,0.99998936,0.99998681,0.99998936,0.99998764,0.99998764
1974-01-04,0.99997872,0.99997363,0.99997872,0.99997528,0.99997528
1974-01-07,0.99996807,0.99996044,0.99996807,0.99996291,0.99996291
1974-01-08,0.99995743,0.99994726,0.99995743,0.99995055,0.99995055
1974-01-09,0.98731123,0.98730119,0.98731123,0.98730444,0.98730444
1974-01-10,0.97449632,0.97448641,0.97449632,0.97448962,0.97448962
1974-01-11,0.97969938,0.97968941,0.97969938,0.97969264,0.97969264
1974-01-14,0.98789735,0.98788730,0.98789735,0.98789055,0.98789055
1974-01-15,0.99603141,0.99602127,0.99603141,0.99602456,0.99602456
1974-01-16,0.99420372,0.99419360,0.99420372,0.99419688,0.99419688
1974-01-17,1.00725399,1.00724374,1.00725399,1.00724706,1.00724706
1974-01-18,1.00525180,1.00524157,1.00525180,1.00524488,1.00524488
1974-01-21,1.05961763,1.05960685,1.05961763,1.05961034,1.05961034
1974-01-22,1.05230586,1.05229515,1.05230586,1.05229862,1.05229862
1974-01-23,1.04211563,1.04210503,1.04211563,1.04210846,1.04210846
1974-01-24,1.03562160,1.03561107,1.03562160,1.03561448,1.03561448
1974-01-25,1.04784172,1.04783106,1.04784172,1.04783451,1.04783451
1974-01-28,1.05311139,1.05310068,1.05311139,1.05310415,1.05310415
1974-01-29,1.05044089,1.05043021,1.05044089,1.05043367,1.05043367
1974-01-30,1.03812432,1.03811376,1.03812432,1.03811718,1.03811718
1974-01-31,1.02890319,1.02889272,1.02890319,1.02889611,1.02889611
1974-02-01,1.02422267,1.02421224,1.02422267,1.02421562,1.02421562
1974-02-04,1.02533373,1.02532330,1.02533373,1.02532668,1.02532668
1974-02-05,1.04969909,1.04968841,1.04969909,1.04969187,1.04969187
1974-02-06,1.04889221,1.04888154,1.04889221,1.04888500,1.04888500
1974-02-07,1.04050107,1.04049048,1.04050107,1.04049391,1.04049391
1974-02-08,1.06168216,1.06167136,1.06168216,1.06167485,1.06167485
1974-02-11,1.07308285,1.07307193,1.07308285,1.07307547,1.07307547
1974-02-12,1.08529807,1.08528703,1.08529807,1.08529060,1.08529060
1974-02-13,1.07810021,1.07808924,1.07810021,1.07809279,1.07809279
1974-02-14,1.07917127,1.07916029,1.07917127,1.07916384,1.07916384
1974-02-15,1.09040588,1.09039478,1.09040588,1.09039838,1.09039838
1974-02-19,1.08689492,1.08688386,1.08689492,1.08688744,1.08688744
1974-02-20,1.09163270,1.09162159,1.09163270,1.09162519,1.09162519
1974-02-21,1.10001067,1.09999948,1.10001067,1.10000310,1.10000310
1974-02-22,1.12557441,1.12556296,1.12557441,1.12556667,1.12556667
1974-02-25,1.15413565,1.15412391,1.15413565,1.15412771,1.15412771
1974-02-26,1.19155674,1.19154462,1.19155674,1.19154854,1.19154854
1974-02-27,1.19424709,1.19423494,1.19424709,1.19423887,1.19423887
1974-02-28,1.16590517,1.16589331,1.16590517,1.16589715,1.16589715
1974-03-01,1.17604916,1.17603720,1.17604916,1.17604107,1.17604107
1974-03-04,1.16206640,1.16205457,1.16206640,1.16205840,1.16205840
1974-03-05,1.13374990,1.13373837,1.13374990,1.13374211,1.13374211
1974-03-06,1.12771901,1.12770754,1.12771901,1.12771125,1.12771125
1974-03-07,1.14124879,1.14123718,1.14124879,1.14124094,1.14124094
1974-03-08,1.16960114,1.16958924,1.16960114,1.16959309,1.16959309
1974-03-11,1.14741948,1.14740781,1.14741948,1.14741159,1.14741159
1974-03-12,1.14583910,1.14582744,1.14583910,1.14583121,1.14583121
1974-03-13,1.14601293,1.14600127,1.14601293,1.14600505,1.14600505
1974-03-14,1.14618429,1.14617263,1.14618429,1.14617641,1.14617641
1974-03-15,1.14811636,1.14810468,1.14811636,1.14810846,1.14810846
1974-03-18,1.14478221,1.14477057,1.14478221,1.14477434,1.14477434
1974-03-19,1.16257315,1.16256132,1.16257315,1.16256515,1.16256515
1974-03-20,1.18444555,1.18443350,1.18444555,1.18443740,1.18443740
1974-03-21,1.19570937,1.19569720,1.19570937,1.19570114,1.19570114
1974-03-22,1.18745219,1.18744011,1.18745219,1.18744402,1.18744402
1974-03-25,1.19529467,1.19528250,1.19529467,1.19528644,1.19528644
1974-03-26,1.18703458,1.18702250,1.18703458,1.18702641,1.18702641
1974-03-27,1.19182753,1.19181541,1.19182753,1.19181933,1.19181933
1974-03-28,1.18150525,1.18149323,1.18150525,1.18149712,1.18149712
1974-03-29,1.18340738,1.18339534,1.18340738,1.18339923,1.18339923
1974-04-01,1.18359818,1.18358614,1.18359818,1.18359004,1.18359004
1974-04-02,1.18731414,1.18730206,1.18731414,1.18730597,1.18730597
1974-04-03,1.19524471,1.19523255,1.19524471,1.19523649,1.19523649
1974-04-04,1.19238733,1.19237520,1.19238733,1.19237913,1.19237913
1974-04-05,1.18874772,1.18873562,1.18874772,1.18873954,1.18873954
1974-04-08,1.17760182,1.17758984,1.17760182,1.17759372,1.17759372
1974-04-09,1.17484422,1.17483226,1.17484422,1.17483613,1.17483613
1974-04-10,1.19319418,1.19318204,1.19319418,1.19318598,1.19318598
1974-04-11,1.18253016,1.18251813,1.18253016,1.18252202,1.18252202
1974-04-15,1.18280780,1.18279576,1.18280780,1.18279966,1.18279966
1974-04-16,1.18916373,1.18915163,1.18916373,1.18915555,1.18915555
1974-04-17,1.18347036,1.18345832,1.18347036,1.18346222,1.18346222
1974-04-18,1.18115233,1.18114031,1.18115233,1.18114420,1.18114420
1974-04-19,1.18841379,1.18840170,1.18841379,1.18840561,1.18840561
1974-04-22,1.18971651,1.18970440,1.18971651,1.18970832,1.18970832
1974-04-23,1.19137001,1.19135789,1.19137001,1.19136182,1.19136182
1974-04-24,1.18584565,1.18583358,1.18584565,1.18583749,1.18583749
1974-04-25,1.18786693,1.18785485,1.18786693,1.18785876,1.18785876
1974-04-26,1.18212163,1.18210961,1.18212163,1.18211350,1.18211350
1974-04-29,1.17936259,1.17935059,1.17936259,1.17935448,1.17935448
1974-04-30,1.18276711,1.18275508,1.18276711,1.18275897,1.18275897
1974-05-01,1.18553046,1.18551839,1.18553046,1.18552230,1.18552230
1974-05-02,1.18688193,1.18686986,1.18688193,1.18687377,1.18687377
1974-05-03,1.18588610,1.18587404,1.18588610,1.18587795,1.18587795
1974-05-06,1.18209092,1.18207889,1.18209092,1.18208279,1.18208279
1974-05-07,1.17463285,1.17462090,1.17463285,1.17462477,1.17462477
1974-05-08,1.17223247,1.17222055,1.17223247,1.17222441,1.17222441
1974-05-09,1.17434114,1.17432919,1.17434114,1.17433306,1.17433306
1974-05-10,1.18456058,1.18454852,1.18456058,1.18455243,1.18455243
1974-05-13,1.18396014,1.18394810,1.18396014,1.18395200,1.18395200
1974-05-14,1.18247735,1.18246532,1.18247735,1.18246922,1.18246922
1974-05-15,1.17920435,1.17919235,1.17920435,1.17919624,1.17919624
1974-05-16,1.17903283,1.17902084,1.17903283,1.17902472,1.17902472
1974-05-17,1.18226999,1.18225796,1.18226999,1.18226185,1.18226185
1974-05-20,1.17960757,1.17959557,1.17960757,1.17959946,1.17959946
1974-05-21,1.17271187,1.17269994,1.17271187,1.17270380,1.17270380
1974-05-22,1.17656137,1.17654940,1.17656137,1.17655328,1.17655328
1974-05-23,1.17510048,1.17508852,1.17510048,1.17509240,1.17509240
1974-05-24,1.17418272,1.17417078,1.17418272,1.17417464,1.17417464
1974-05-28,1.16788074,1.16786886,1.16788074,1.16787271,1.16787271
1974-05-29,1.16304707,1.16303524,1.16304707,1.16303907,1.16303907
1974-05-30,1.17604322,1.17603125,1.17604322,1.17603513,1.17603513
1974-05-31,1.16810619,1.16809431,1.16810619,1.16809815,1.16809815
1974-06-03,1.16838531,1.16837342,1.16838531,1.16837727,1.16837727
1974-06-04,1.16213269,1.16212086,1.16213269,1.16212469,1.16212469
1974-06-05,1.16905172,1.16903983,1.16905172,1.16904368,1.16904368
1974-06-06,1.17726235,1.17725037,1.17726235,1.17725425,1.17725425
1974-06-07,1.17159537,1.17158345,1.17159537,1.17158731,1.17158731
1974-06-10,1.17001739,1.17000549,1.17001739,1.17000934,1.17000934
1974-06-11,1.17123288,1.17122096,1.17123288,1.17122482,1.17122482
1974-06-12,1.16498901,1.16497715,1.16498901,1.16498099,1.16498099
1974-06-13,1.17144321,1.17143130,1.17144321,1.17143516,1.17143516
1974-06-14,1.17406621,1.17405427,1.17406621,1.17405814,1.17405814
1974-06-17,1.17342070,1.17340877,1.17342070,1.17341263,1.17341263
1974-06-18,1.17016360,1.17015170,1.17016360,1.17015555,1.17015555
1974-06-19,1.17307185,1.17305991,1.17307185,1.17306378,1.17306378
1974-06-20,1.16680491,1.16679303,1.16680491,1.16679688,1.16679688
1974-06-21,1.16610611,1.16609425,1.16610611,1.16609809,1.16609809
1974-06-24,1.16445749,1.16444564,1.16445749,1.16444948,1.16444948
1974-06-25,1.15514366,1.15513191,1.15514366,1.15513572,1.15513572
1974-06-26,1.15784819,1.15783641,1.15784819,1.15784022,1.15784022
1974-06-27,1.14912394,1.14911225,1.14912394,1.14911603,1.14911603
1974-06-28,1.15557246,1.15556070,1.15557246,1.15556451,1.15556451
1974-07-01,1.15139136,1.15137965,1.15139136,1.15138344,1.15138344
1974-07-02,1.13869261,1.13868103,1.13869261,1.13868478,1.13868478
1974-07-03,1.13998461,1.13997301,1.13998461,1.13997676,1.13997676
1974-07-05,1.12584099,1.12582954,1.12584099,1.12583325,1.12583325
1974-07-08,1.13786637,1.13785479,1.13786637,1.13785854,1.13785854
1974-07-09,1.14850230,1.14849062,1.14850230,1.14849440,1.14849440
1974-07-10,1.14774181,1.14773013,1.14774181,1.14773391,1.14773391
1974-07-11,1.13176726,1.13175574,1.13176726,1.13175947,1.13175947
1974-07-12,1.14525945,1.14524779,1.14525945,1.14525157,1.14525157
1974-07-15,1.14500489,1.14499325,1.14500489,1.14499702,1.14499702
1974-07-16,1.14423342,1.14422178,1.14423342,1.14422555,1.14422555
1974-07-17,1.14346525,1.14345362,1.14346525,1.14345738,1.14345738
1974-07-18,1.15095675,1.15094504,1.15095675,1.15094884,1.15094884
1974-07-19,1.15932786,1.15931606,1.15932786,1.15931988,1.15931988
1974-07-22,1.15561629,1.15560453,1.15561629,1.15560834,1.15560834
1974-07-23,1.15085472,1.15084301,1.15085472,1.15084680,1.15084680
1974-07-24,1.15364841,1.15363667,1.15364841,1.15364047,1.15364047
1974-07-25,1.15743265,1.15742087,1.15743265,1.15742468,1.15742468
1974-07-26,1.16669660,1.16668473,1.16669660,1.16668857,1.16668857
1974-07-29,1.17380352,1.17379158,1.17380352,1.17379545,1.17379545
1974-07-30,1.18946942,1.18945731,1.18946942,1.18946123,1.18946123
1974-07-31,1.17769586,1.17768388,1.17769586,1.17768776,1.17768776
1974-08-01,1.18466346,1.18465141,1.18466346,1.18465531,1.18465531
1974-08-02,1.18354469,1.18353265,1.18354469,1.18353655,1.18353655
1974-08-05,1.17694610,1.17693412,1.17694610,1.17693800,1.17693800
1974-08-06,1.18185940,1.18184738,1.18185940,1.18185127,1.18185127
1974-08-07,1.17931805,1.17930605,1.17931805,1.17930994,1.17930994
1974-08-08,1.17676077,1.17674880,1.17676077,1.17675268,1.17675268
1974-08-09,1.17658910,1.17657713,1.17658910,1.17658101,1.17658101
1974-08-12,1.17834236,1.17833037,1.17834236,1.17833425,1.17833425
1974-08-13,1.17720232,1.17719035,1.17720232,1.17719422,1.17719422
1974-08-14,1.18378937,1.18377732,1.18378937,1.18378122,1.18378122
1974-08-15,1.18409584,1.18408379,1.18409584,1.18408769,1.18408769
1974-08-16,1.17916654,1.17915454,1.17916654,1.17915842,1.17915842
1974-08-19,1.17995709,1.17994509,1.17995709,1.17994898,1.17994898
1974-08-20,1.18509284,1.18508079,1.18509284,1.18508469,1.18508469
1974-08-21,1.18560958,1.18559752,1.18560958,1.18560143,1.18560143
1974-08-22,1.18670424,1.18669217,1.18670424,1.18669608,1.18669608
1974-08-23,1.18324254,1.18323051,1.18324254,1.18323440,1.18323440
1974-08-26,1.18357881,1.18356677,1.18357881,1.18357067,1.18357067
1974-08-27,1.18247800,1.18246597,1.18247800,1.18246986,1.18246986
1974-08-28,1.18426009,1.18424804,1.18426009,1.18425194,1.18425194
1974-08-29,1.18534485,1.18533279,1.18534485,1.18533669,1.18533669
1974-08-30,1.18728911,1.18727703,1.18728911,1.18728094,1.18728094
1974-09-03,1.19383312,1.19382098,1.19383312,1.19382491,1.19382491
1974-09-04,1.19086823,1.19085612,1.19086823,1.19086004,1.19086004
1974-09-05,1.19262122,1.19260909,1.19262122,1.19261302,1.19261302
1974-09-06,1.19294773,1.19293559,1.19294773,1.19293952,1.19293952
1974-09-09,1.19043007,1.19041796,1.19043007,1.19042188,1.19042188
1974-09-10,1.18597989,1.18596783,1.18597989,1.18597173,1.18597173
1974-09-11,1.18484885,1.18483679,1.18484885,1.18484070,1.18484070
1974-09-12,1.18759687,1.18758479,1.18759687,1.18758870,1.18758870
1974-09-13,1.18675465,1.18674257,1.18675465,1.18674648,1.18674648
1974-09-16,1.18578177,1.18576971,1.18578177,1.18577361,1.18577361
1974-09-17,1.18092220,1.18091018,1.18092220,1.18091407,1.18091407
1974-09-18,1.16919720,1.16918530,1.16919720,1.16918916,1.16918916
1974-09-19,1.18040405,1.18039204,1.18040405,1.18039593,1.18039593
1974-09-20,1.17788494,1.17787295,1.17788494,1.17787683,1.17787683
1974-09-23,1.17762831,1.17761633,1.17762831,1.17762021,1.17762021
1974-09-24,1.17787115,1.17785917,1.17787115,1.17786305,1.17786305
1974-09-25,1.17761859,1.17760661,1.17761859,1.17761049,1.17761049
1974-09-26,1.17526317,1.17525122,1.17526317,1.17525509,1.17525509
1974-09-27,1.17507491,1.17506295,1.17507491,1.17506683,1.17506683
1974-09-30,1.17830497,1.17829298,1.17830497,1.17829686,1.17829686
1974-10-01,1.19052019,1.19050808,1.19052019,1.19051200,1.19051200
1974-10-02,1.19366704,1.19365490,1.19366704,1.19365883,1.19365883
1974-10-03,1.19285678,1.19284465,1.19285678,1.19284857,1.19284857
1974-10-04,1.20042317,1.20041096,1.20042317,1.20041491,1.20041491
1974-10-07,1.20397263,1.20396038,1.20397263,1.20396434,1.20396434
1974-10-08,1.19622290,1.19621073,1.19622290,1.19621467,1.19621467
1974-10-09,1.19494596,1.19493380,1.19494596,1.19493774,1.19493774
1974-10-10,1.20187262,1.20186039,1.20187262,1.20186435,1.20186435
1974-10-11,1.19806503,1.19805284,1.19806503,1.19805679,1.19805679
1974-10-14,1.19498032,1.19496816,1.19498032,1.19497210,1.19497210
1974-10-15,1.19467333,1.19466117,1.19467333,1.19466511,1.19466511
1974-10-16,1.19697937,1.19696720,1.19697937,1.19697114,1.19697114
1974-10-17,1.19581015,1.19579798,1.19581015,1.19580192,1.19580192
1974-10-18,1.19704700,1.19703482,1.19704700,1.19703876,1.19703876
1974-10-21,1.20214202,1.20212979,1.20214202,1.20213375,1.20213375
1974-10-22,1.20374138,1.20372913,1.20374138,1.20373309,1.20373309
1974-10-23,1.20315365,1.20314141,1.20315365,1.20314538,1.20314538
1974-10-24,1.20485473,1.20484247,1.20485473,1.20484644,1.20484644
1974-10-25,1.21843576,1.21842337,1.21843576,1.21842738,1.21842738
1974-10-28,1.21780845,1.21779606,1.21780845,1.21780007,1.21780007
1974-10-29,1.22640051,1.22638804,1.22640051,1.22639208,1.22639208
1974-10-30,1.22379539,1.22378294,1.22379539,1.22378697,1.22378697
1974-10-31,1.22134394,1.22133151,1.22134394,1.22133554,1.22133554
