candidate,metric,independent_val,sec61_val,diff_abs,threshold,flag
P09_C1,CAGR_IS(%),19.852964,19.880000,0.027036,0.300000,ok
P09_C1,CAGR_OOS(%),17.729327,17.770000,0.040673,0.300000,ok
P09_C1,gap_pp,2.566950,2.560000,0.006950,0.300000,ok
P09_C1,Sharpe_OOS,0.912649,0.912000,0.000649,0.020000,ok
P09_C1,MaxDD(%),-35.001671,-34.990000,0.011671,1.000000,ok
P09_C1,W10Y*(%),11.427595,11.490000,0.062405,0.300000,ok
P09_C1,P10_5Y(%),6.951546,7.020000,0.068454,0.300000,ok
P09_C1,W5Y(%),-0.556250,-0.580000,0.023750,0.300000,ok
P09_C1,Trades/yr,29.220442,29.200000,0.020442,1.000000,ok
P09_C1,>3x%,6.090060,0.000000,6.090060,1.000000,FLAG
P09_C1,worstCY(%),-18.553565,-18.700000,0.146435,0.500000,ok
LU1_C1_k365,CAGR_IS(%),20.492310,20.520000,0.027690,0.300000,ok
LU1_C1_k365,CAGR_OOS(%),18.331847,18.370000,0.038153,0.300000,ok
LU1_C1_k365,gap_pp,2.611462,2.600000,0.011462,0.300000,ok
LU1_C1_k365,Sharpe_OOS,0.913777,0.913000,0.000777,0.020000,ok
LU1_C1_k365,MaxDD(%),-34.767460,-34.750000,0.017460,1.000000,ok
LU1_C1_k365,W10Y*(%),12.344868,12.410000,0.065132,0.300000,ok
LU1_C1_k365,P10_5Y(%),7.212997,7.310000,0.097003,0.300000,ok
LU1_C1_k365,W5Y(%),-0.054704,-0.080000,0.025296,0.300000,ok
LU1_C1_k365,Trades/yr,35.248234,35.200000,0.048234,1.000000,ok
LU1_C1_k365,>3x%,15.544081,15.500000,0.044081,1.000000,ok
LU1_C1_k365,worstCY(%),-19.051100,-19.200000,0.148900,0.500000,ok
LU2_C1_k365,CAGR_IS(%),21.915613,21.950000,0.034387,0.300000,ok
LU2_C1_k365,CAGR_OOS(%),19.311831,19.350000,0.038169,0.300000,ok
LU2_C1_k365,gap_pp,3.147325,3.140000,0.007325,0.300000,ok
LU2_C1_k365,Sharpe_OOS,0.891221,0.890000,0.001221,0.020000,ok
LU2_C1_k365,MaxDD(%),-38.472751,-38.460000,0.012751,1.000000,ok
LU2_C1_k365,W10Y*(%),12.631476,12.700000,0.068524,0.300000,ok
LU2_C1_k365,P10_5Y(%),7.357168,7.440000,0.082832,0.300000,ok
LU2_C1_k365,W5Y(%),-0.742737,-0.770000,0.027263,0.300000,ok
LU2_C1_k365,Trades/yr,29.220442,29.200000,0.020442,1.000000,ok
LU2_C1_k365,>3x%,34.854583,34.800000,0.054583,1.000000,ok
LU2_C1_k365,worstCY(%),-20.705500,-20.900000,0.194500,0.500000,ok
B3a_k365,CAGR_IS(%),23.071640,23.100000,0.028360,0.300000,ok
B3a_k365,CAGR_OOS(%),20.936934,20.980000,0.043066,0.300000,ok
B3a_k365,gap_pp,2.580328,2.570000,0.010328,0.300000,ok
B3a_k365,Sharpe_OOS,0.905167,0.904000,0.001167,0.020000,ok
B3a_k365,MaxDD(%),-38.217108,-38.200000,0.017108,1.000000,ok
B3a_k365,W10Y*(%),14.466769,14.530000,0.063231,0.300000,ok
B3a_k365,P10_5Y(%),8.041573,8.080000,0.038427,0.300000,ok
B3a_k365,W5Y(%),0.127046,0.100000,0.027046,0.300000,ok
B3a_k365,Trades/yr,33.296378,33.300000,0.003622,1.000000,ok
B3a_k365,>3x%,37.686992,37.700000,0.013008,1.000000,ok
B3a_k365,worstCY(%),-22.196594,-22.400000,0.203406,0.500000,ok
B3c_k365,CAGR_IS(%),22.346798,22.380000,0.033202,0.300000,ok
B3c_k365,CAGR_OOS(%),20.367335,20.410000,0.042665,0.300000,ok
B3c_k365,gap_pp,2.392678,2.380000,0.012678,0.300000,ok
B3c_k365,Sharpe_OOS,0.911636,0.911000,0.000636,0.020000,ok
B3c_k365,MaxDD(%),-37.080499,-37.070000,0.010499,1.000000,ok
B3c_k365,W10Y*(%),14.009006,14.070000,0.060994,0.300000,ok
B3c_k365,P10_5Y(%),7.892968,7.940000,0.047032,0.300000,ok
B3c_k365,W5Y(%),0.183019,0.160000,0.023019,0.300000,ok
B3c_k365,Trades/yr,33.296378,33.300000,0.003622,1.000000,ok
B3c_k365,>3x%,34.717898,34.700000,0.017898,1.000000,ok
B3c_k365,worstCY(%),-21.407541,-21.600000,0.192459,0.500000,ok
