candidate,metric,independent,sec61,delta,threshold,flagged,flag
P09_C1,CI95_lo,0.189425,0.189600,-0.000175,0.010000,False,ok
P09_C1,WFE,0.987569,0.989000,-0.001431,0.030000,False,ok
P09_C1,CPCV_p10,0.141049,0.141500,-0.000451,0.010000,False,ok
P09_C1,Regime_min,-0.000639,-0.000800,0.000161,0.010000,False,ok
P09_C1,boot_P,0.815200,0.820000,-0.004800,0.050000,False,ok
LU1_C1_k365,CI95_lo,0.196632,0.196800,-0.000168,0.010000,False,ok
LU1_C1_k365,WFE,0.983829,0.985000,-0.001171,0.030000,False,ok
LU1_C1_k365,CPCV_p10,0.145426,0.145700,-0.000274,0.010000,False,ok
LU1_C1_k365,Regime_min,-0.006432,-0.006600,0.000168,0.010000,False,ok
LU1_C1_k365,boot_P,0.838100,0.840000,-0.001900,0.050000,False,ok
LU2_C1_k365,CI95_lo,0.210422,0.210600,-0.000178,0.010000,False,ok
LU2_C1_k365,WFE,0.963785,0.965000,-0.001215,0.030000,False,ok
LU2_C1_k365,CPCV_p10,0.153011,0.153400,-0.000389,0.010000,False,ok
LU2_C1_k365,Regime_min,-0.011318,-0.011500,0.000182,0.010000,False,ok
LU2_C1_k365,boot_P,0.855900,0.858000,-0.002100,0.050000,False,ok
B3a_k365,CI95_lo,0.225010,0.225200,-0.000190,0.010000,False,ok
B3a_k365,WFE,0.986338,0.987000,-0.000662,0.030000,False,ok
B3a_k365,CPCV_p10,0.160220,0.160100,0.000120,0.010000,False,ok
B3a_k365,Regime_min,-0.028649,-0.028800,0.000151,0.010000,False,ok
B3a_k365,boot_P,0.890600,0.893000,-0.002400,0.050000,False,ok
B3c_k365,CI95_lo,0.217378,0.217500,-0.000122,0.010000,False,ok
B3c_k365,WFE,0.994518,0.995000,-0.000482,0.030000,False,ok
B3c_k365,CPCV_p10,0.156426,0.156300,0.000126,0.010000,False,ok
B3c_k365,Regime_min,-0.024335,-0.024500,0.000165,0.010000,False,ok
B3c_k365,boot_P,0.885500,0.888000,-0.002500,0.050000,False,ok
