start_year,strategy,survived,ruin_year_elapsed,asset_y10_yen,asset_y20_yen
1975,P09_C1_sc1.0,1,,23933526,6507963
1976,P09_C1_sc1.0,1,,72970740,221067944
1977,P09_C1_sc1.0,1,,34377518,21070271
1978,P09_C1_sc1.0,1,,135127638,360923549
1979,P09_C1_sc1.0,1,,56523212,156536801
1980,P09_C1_sc1.0,1,,56869831,200260592
1981,P09_C1_sc1.0,1,,40028497,137667231
1982,P09_C1_sc1.0,1,,90557350,455626653
1983,P09_C1_sc1.0,1,,37715049,71580738
1984,P09_C1_sc1.0,0,14,13840906,0
1985,P09_C1_sc1.0,1,,33974560,156347216
1986,P09_C1_sc1.0,0,14,14242000,0
1987,P09_C1_sc1.0,0,11,2351648,0
1988,P09_C1_sc1.0,0,8,0,0
1989,P09_C1_sc1.0,0,11,1694647,0
1990,P09_C1_sc1.0,0,9,0,0
1991,P09_C1_sc1.0,1,,51392113,200851339
1992,P09_C1_sc1.0,1,,34991373,110405226
1993,P09_C1_sc1.0,1,,23141141,23535808
1994,P09_C1_sc1.0,1,,56185814,160066130
1995,P09_C1_sc1.0,1,,113845447,500213038
1996,P09_C1_sc1.0,1,,50360787,133003922
1997,P09_C1_sc1.0,1,,76472058,188786943
1998,P09_C1_sc1.0,1,,82509367,219655012
1999,P09_C1_sc1.0,1,,49350250,72486252
2000,P09_C1_sc1.0,0,9,0,0
2001,P09_C1_sc1.0,0,19,30227651,0
2002,P09_C1_sc1.0,1,,66476986,128735058
2003,P09_C1_sc1.0,1,,90148057,164635439
2004,P09_C1_sc1.0,0,12,9527719,0
2005,P09_C1_sc1.0,0,16,26254488,0
1975,P09_C1_sc1.4,1,,68053615,288283852
1976,P09_C1_sc1.4,1,,173754143,982025089
1977,P09_C1_sc1.4,1,,80743523,315253908
1978,P09_C1_sc1.4,1,,336628646,1450222823
1979,P09_C1_sc1.4,1,,124232881,853464086
1980,P09_C1_sc1.4,1,,152387327,1726416964
1981,P09_C1_sc1.4,1,,92793322,1097576742
1982,P09_C1_sc1.4,1,,192520546,1974053919
1983,P09_C1_sc1.4,1,,93322899,670328376
