start_year,strategy,elapsed_year,calendar_year,asset_yen
1975,P09_C1_sc1.0,1,1975,25379712
1975,P09_C1_sc1.0,2,1976,29353317
1975,P09_C1_sc1.0,3,1977,22438464
1975,P09_C1_sc1.0,4,1978,26237152
1975,P09_C1_sc1.0,5,1979,26248345
1975,P09_C1_sc1.0,6,1980,26280107
1975,P09_C1_sc1.0,7,1981,20425465
1975,P09_C1_sc1.0,8,1982,26150896
1975,P09_C1_sc1.0,9,1983,29522755
1975,P09_C1_sc1.0,10,1984,23933526
1975,P09_C1_sc1.0,11,1985,27525238
1975,P09_C1_sc1.0,12,1986,28742350
1975,P09_C1_sc1.0,13,1987,33680173
1975,P09_C1_sc1.0,14,1988,26048477
1975,P09_C1_sc1.0,15,1989,26232218
1975,P09_C1_sc1.0,16,1990,18559051
1975,P09_C1_sc1.0,17,1991,17262150
1975,P09_C1_sc1.0,18,1992,15601281
1975,P09_C1_sc1.0,19,1993,11677204
1975,P09_C1_sc1.0,20,1994,6507963
1975,P09_C1_sc1.4,1,1975,25759956
1975,P09_C1_sc1.4,2,1976,33158464
1975,P09_C1_sc1.4,3,1977,24404803
1975,P09_C1_sc1.4,4,1978,32823369
1975,P09_C1_sc1.4,5,1979,33569456
1975,P09_C1_sc1.4,6,1980,37969690
1975,P09_C1_sc1.4,7,1981,31917428
1975,P09_C1_sc1.4,8,1982,51911747
1975,P09_C1_sc1.4,9,1983,74642100
1975,P09_C1_sc1.4,10,1984,68053615
1975,P09_C1_sc1.4,11,1985,100265866
1975,P09_C1_sc1.4,12,1986,126115354
1975,P09_C1_sc1.4,13,1987,190648534
1975,P09_C1_sc1.4,14,1988,162305607
1975,P09_C1_sc1.4,15,1989,204166337
1975,P09_C1_sc1.4,16,1990,164748959
1975,P09_C1_sc1.4,17,1991,216788148
1975,P09_C1_sc1.4,18,1992,290699155
1975,P09_C1_sc1.4,19,1993,307587690
1975,P09_C1_sc1.4,20,1994,288283852
1975,P09_C1_sc1.6,1,1975,25904502
1975,P09_C1_sc1.6,2,1976,35091449
1975,P09_C1_sc1.6,3,1977,25281029
1975,P09_C1_sc1.6,4,1978,36314607
1975,P09_C1_sc1.6,5,1979,37259535
1975,P09_C1_sc1.6,6,1980,44367556
1975,P09_C1_sc1.6,7,1981,38263176
1975,P09_C1_sc1.6,8,1982,68325351
1975,P09_C1_sc1.6,9,1983,107356534
1975,P09_C1_sc1.6,10,1984,100056106
1975,P09_C1_sc1.6,11,1985,157793988
1975,P09_C1_sc1.6,12,1986,205644645
1975,P09_C1_sc1.6,13,1987,332541196
1975,P09_C1_sc1.6,14,1988,280797135
1975,P09_C1_sc1.6,15,1989,364410678
1975,P09_C1_sc1.6,16,1990,288990751
1975,P09_C1_sc1.6,17,1991,396266739
1975,P09_C1_sc1.6,18,1992,556542876
1975,P09_C1_sc1.6,19,1993,586124340
1975,P09_C1_sc1.6,20,1994,546882961
