start_year,strategy,survived,ruin_year_elapsed,asset_y10_yen,asset_y20_yen,ever_below_15M,first_below_15M_elapsed,backfill_count,backfill_years
1975,P09_STR_sc1.0,1,,44446958,130365312,0,,0,
1976,P09_STR_sc1.0,1,,113786087,477847803,0,,0,
1977,P09_STR_sc1.0,1,,56222470,158879854,0,,0,
1978,P09_STR_sc1.0,1,,187804489,650621271,0,,0,
1979,P09_STR_sc1.0,1,,80323987,397149761,0,,0,
1980,P09_STR_sc1.0,1,,84429537,543543488,0,,0,
1981,P09_STR_sc1.0,1,,60440199,424983595,0,,0,
1982,P09_STR_sc1.0,1,,119540801,802649472,0,,0,
1983,P09_STR_sc1.0,1,,62535453,289732129,0,,0,
1984,P09_STR_sc1.0,1,,34980194,174823014,0,,0,
1985,P09_STR_sc1.0,1,,55965485,501736773,0,,0,
1986,P09_STR_sc1.0,1,,32120617,106735212,0,,0,
1987,P09_STR_sc1.0,1,,24775309,66408557,0,,0,
1988,P09_STR_sc1.0,1,,30967157,136603223,0,,3,4;7;8
1989,P09_STR_sc1.0,1,,34246207,112099511,0,,0,
1990,P09_STR_sc1.0,1,,48513802,119470055,0,,1,6
1991,P09_STR_sc1.0,1,,103050124,761621558,0,,0,
1992,P09_STR_sc1.0,1,,69668990,529664878,0,,0,
1993,P09_STR_sc1.0,1,,53090476,425786351,0,,0,
1994,P09_STR_sc1.0,1,,113549352,609015154,0,,0,
1995,P09_STR_sc1.0,1,,173948724,1101402320,0,,0,
1996,P09_STR_sc1.0,1,,89109480,404100626,0,,0,
1997,P09_STR_sc1.0,1,,119527202,423278256,0,,0,
1998,P09_STR_sc1.0,1,,126935566,489518869,0,,0,
1999,P09_STR_sc1.0,1,,78435642,218759718,0,,0,
2000,P09_STR_sc1.0,1,,38804243,67984795,0,,1,3
2001,P09_STR_sc1.0,1,,68408987,186726160,0,,0,
2002,P09_STR_sc1.0,1,,112609993,433599476,0,,0,
2003,P09_STR_sc1.0,1,,149547967,464336563,0,,0,
2004,P09_STR_sc1.0,1,,34568598,34438825,0,,1,14
2005,P09_STR_sc1.0,1,,63893133,202755119,0,,0,
1975,P09_STR_sc1.4,1,,109604651,704252050,0,,0,
1976,P09_STR_sc1.4,1,,279471694,2069764974,0,,0,
1977,P09_STR_sc1.4,1,,125583096,824040037,0,,0,
1978,P09_STR_sc1.4,1,,490285441,2824327507,0,,0,
1979,P09_STR_sc1.4,1,,175832993,1924699833,0,,0,
1980,P09_STR_sc1.4,1,,220815303,3749607534,0,,0,
1981,P09_STR_sc1.4,1,,134701545,2529132296,0,,0,
1982,P09_STR_sc1.4,1,,265970293,3773653530,0,,0,
1983,P09_STR_sc1.4,1,,149519112,1602052320,0,,0,
1984,P09_STR_sc1.4,1,,74377603,1501208518,0,,0,
1985,P09_STR_sc1.4,1,,104987767,2479493630,0,,0,
1986,P09_STR_sc1.4,1,,70404220,812597910,0,,0,
1987,P09_STR_sc1.4,1,,63158972,924347072,0,,0,
1988,P09_STR_sc1.4,1,,38151712,419799593,0,,2,4;8
1989,P09_STR_sc1.4,1,,91485679,914905881,0,,0,
1990,P09_STR_sc1.4,1,,131630702,857807080,0,,1,6
