start_year,strategy,elapsed_year,calendar_year,asset_yen,backfilled
1975,P09_STR_sc1.0,1,1975,25267950,0
1975,P09_STR_sc1.0,2,1976,31639972,0
1975,P09_STR_sc1.0,3,1977,24097581,0
1975,P09_STR_sc1.0,4,1978,30333136,0
1975,P09_STR_sc1.0,5,1979,31994339,0
1975,P09_STR_sc1.0,6,1980,33672317,0
1975,P09_STR_sc1.0,7,1981,28267975,0
1975,P09_STR_sc1.0,8,1982,40286717,0
1975,P09_STR_sc1.0,9,1983,50011938,0
1975,P09_STR_sc1.0,10,1984,44446958,0
1975,P09_STR_sc1.0,11,1985,61730034,0
1975,P09_STR_sc1.0,12,1986,70890844,0
1975,P09_STR_sc1.0,13,1987,99075056,0
1975,P09_STR_sc1.0,14,1988,83169304,0
1975,P09_STR_sc1.0,15,1989,102317297,0
1975,P09_STR_sc1.0,16,1990,83359901,0
1975,P09_STR_sc1.0,17,1991,104725948,0
1975,P09_STR_sc1.0,18,1992,129722445,0
1975,P09_STR_sc1.0,19,1993,138208012,0
1975,P09_STR_sc1.0,20,1994,130365312,0
1975,P09_STR_sc1.4,1,1975,25505100,0
1975,P09_STR_sc1.4,2,1976,36580382,0
1975,P09_STR_sc1.4,3,1977,26629925,0
1975,P09_STR_sc1.4,4,1978,39238570,0
1975,P09_STR_sc1.4,5,1979,42207362,0
1975,P09_STR_sc1.4,6,1980,49773718,0
1975,P09_STR_sc1.4,7,1981,44445209,0
1975,P09_STR_sc1.4,8,1982,77377864,0
1975,P09_STR_sc1.4,9,1983,116604583,0
1975,P09_STR_sc1.4,10,1984,109604651,0
1975,P09_STR_sc1.4,11,1985,183502210,0
1975,P09_STR_sc1.4,12,1986,228621622,0
1975,P09_STR_sc1.4,13,1987,381948069,0
1975,P09_STR_sc1.4,14,1988,316112758,0
1975,P09_STR_sc1.4,15,1989,432611991,0
1975,P09_STR_sc1.4,16,1990,342832083,0
1975,P09_STR_sc1.4,17,1991,490513854,0
1975,P09_STR_sc1.4,18,1992,686688974,0
1975,P09_STR_sc1.4,19,1993,740857225,0
1975,P09_STR_sc1.4,20,1994,704252050,0
1975,P09_STR_sc1.6,1,1975,25581600,0
1975,P09_STR_sc1.6,2,1976,39207560,0
1975,P09_STR_sc1.6,3,1977,27842404,0
1975,P09_STR_sc1.6,4,1978,44278207,0
1975,P09_STR_sc1.6,5,1979,47781582,0
1975,P09_STR_sc1.6,6,1980,59200548,0
1975,P09_STR_sc1.6,7,1981,54044141,0
1975,P09_STR_sc1.6,8,1982,102462239,0
1975,P09_STR_sc1.6,9,1983,167613391,0
1975,P09_STR_sc1.6,10,1984,159475962,0
1975,P09_STR_sc1.6,11,1985,287340931,0
1975,P09_STR_sc1.6,12,1986,366165869,0
1975,P09_STR_sc1.6,13,1987,658195716,0
1975,P09_STR_sc1.6,14,1988,533938661,0
1975,P09_STR_sc1.6,15,1989,758367938,0
1975,P09_STR_sc1.6,16,1990,584473812,0
1975,P09_STR_sc1.6,17,1991,875644461,0
1975,P09_STR_sc1.6,18,1992,1283195792,0
1975,P09_STR_sc1.6,19,1993,1374981585,0
1975,P09_STR_sc1.6,20,1994,1296064435,0
1975,P09_STR_sc1.8,1,1975,25632600,0
1975,P09_STR_sc1.8,2,1976,41935531,0
1975,P09_STR_sc1.8,3,1977,29016280,0
1975,P09_STR_sc1.8,4,1978,49741081,0
1975,P09_STR_sc1.8,5,1979,53660447,0
1975,P09_STR_sc1.8,6,1980,69586612,0
1975,P09_STR_sc1.8,7,1981,64715618,0
1975,P09_STR_sc1.8,8,1982,132835654,0
1975,P09_STR_sc1.8,9,1983,234725912,0
1975,P09_STR_sc1.8,10,1984,224999784,0
1975,P09_STR_sc1.8,11,1985,433855374,0
1975,P09_STR_sc1.8,12,1986,562756089,0
1975,P09_STR_sc1.8,13,1987,1084356627,0
1975,P09_STR_sc1.8,14,1988,859889832,0
1975,P09_STR_sc1.8,15,1989,1262983087,0
1975,P09_STR_sc1.8,16,1990,943988163,0
1975,P09_STR_sc1.8,17,1991,1473681133,0
1975,P09_STR_sc1.8,18,1992,2252548513,0
1975,P09_STR_sc1.8,19,1993,2390799594,0
1975,P09_STR_sc1.8,20,1994,2229042451,0
1975,P09_STR_sc2.0,1,1975,25655550,0
1975,P09_STR_sc2.0,2,1976,44756682,0
1975,P09_STR_sc2.0,3,1977,30140177,0
1975,P09_STR_sc2.0,4,1978,55623801,0
1975,P09_STR_sc2.0,5,1979,59799510,0
1975,P09_STR_sc2.0,6,1980,80897653,0
1975,P09_STR_sc2.0,7,1981,76435852,0
1975,P09_STR_sc2.0,8,1982,169113995,0
1975,P09_STR_sc2.0,9,1983,321705130,0
1975,P09_STR_sc2.0,10,1984,309782530,0
1975,P09_STR_sc2.0,11,1985,637002527,0
1975,P09_STR_sc2.0,12,1986,838382100,0
1975,P09_STR_sc2.0,13,1987,1727720323,0
1975,P09_STR_sc2.0,14,1988,1337218970,0
1975,P09_STR_sc2.0,15,1989,2026532467,0
1975,P09_STR_sc2.0,16,1990,1466377945,0
1975,P09_STR_sc2.0,17,1991,2377159726,0
1975,P09_STR_sc2.0,18,1992,3780833273,0
1975,P09_STR_sc2.0,19,1993,3967415737,0
1975,P09_STR_sc2.0,20,1994,3652619435,0
1975,P09_STR_sc2.2,1,1975,25650450,0
1975,P09_STR_sc2.2,2,1976,47660424,0
1975,P09_STR_sc2.2,3,1977,31209303,0
1975,P09_STR_sc2.2,4,1978,61936202,0
1975,P09_STR_sc2.2,5,1979,66166505,0
1975,P09_STR_sc2.2,6,1980,93104089,0
1975,P09_STR_sc2.2,7,1981,89197736,0
1975,P09_STR_sc2.2,8,1982,211981493,0
1975,P09_STR_sc2.2,9,1983,433055373,0
1975,P09_STR_sc2.2,10,1984,418055766,0
