start_year,strategy,elapsed_year,calendar_year,asset_yen,backfilled
1975,P09_STR_sc1.0,1,1975,23781600,0
1975,P09_STR_sc1.0,2,1976,27090268,0
1975,P09_STR_sc1.0,3,1977,18726049,0
1975,P09_STR_sc1.0,4,1978,28984178,1
1975,P09_STR_sc1.0,5,1979,28465904,0
1975,P09_STR_sc1.0,6,1980,27513993,0
1975,P09_STR_sc1.0,7,1981,20847059,0
1975,P09_STR_sc1.0,8,1982,25165766,0
1975,P09_STR_sc1.0,9,1983,26784158,0
1975,P09_STR_sc1.0,10,1984,20297808,0
1975,P09_STR_sc1.0,11,1985,22094403,0
1975,P09_STR_sc1.0,12,1986,19936137,0
1975,P09_STR_sc1.0,13,1987,29750698,1
1975,P09_STR_sc1.0,14,1988,20886364,0
1975,P09_STR_sc1.0,15,1989,19361204,0
1975,P09_STR_sc1.0,16,1990,16499618,1
1975,P09_STR_sc1.0,17,1991,21911493,1
1975,P09_STR_sc1.0,18,1992,20594246,0
1975,P09_STR_sc1.0,19,1993,16107669,0
1975,P09_STR_sc1.0,20,1994,15704977,1
1975,P09_STR_sc1.4,1,1975,24004800,0
1975,P09_STR_sc1.4,2,1976,31355359,0
1975,P09_STR_sc1.4,3,1977,21047484,0
1975,P09_STR_sc1.4,4,1978,26680693,0
1975,P09_STR_sc1.4,5,1979,25127042,0
1975,P09_STR_sc1.4,6,1980,25247696,0
1975,P09_STR_sc1.4,7,1981,18895463,0
1975,P09_STR_sc1.4,8,1982,36602402,1
1975,P09_STR_sc1.4,9,1983,48963842,0
1975,P09_STR_sc1.4,10,1984,42005749,0
1975,P09_STR_sc1.4,11,1985,62862437,0
1975,P09_STR_sc1.4,12,1986,72624704,0
1975,P09_STR_sc1.4,13,1987,113541821,0
1975,P09_STR_sc1.4,14,1988,90066275,0
1975,P09_STR_sc1.4,15,1989,116709210,0
1975,P09_STR_sc1.4,16,1990,88655935,0
1975,P09_STR_sc1.4,17,1991,119834575,0
1975,P09_STR_sc1.4,18,1992,160836871,0
1975,P09_STR_sc1.4,19,1993,168152841,0
1975,P09_STR_sc1.4,20,1994,155082978,0
1975,P09_STR_sc1.6,1,1975,24076800,0
1975,P09_STR_sc1.6,2,1976,33619233,0
1975,P09_STR_sc1.6,3,1977,22156148,0
1975,P09_STR_sc1.6,4,1978,30646598,0
1975,P09_STR_sc1.6,5,1979,29605493,0
1975,P09_STR_sc1.6,6,1980,32287594,0
1975,P09_STR_sc1.6,7,1981,25972143,0
1975,P09_STR_sc1.6,8,1982,41304389,0
1975,P09_STR_sc1.6,9,1983,60405809,0
1975,P09_STR_sc1.6,10,1984,53192559,0
1975,P09_STR_sc1.6,11,1985,87499724,0
1975,P09_STR_sc1.6,12,1986,105509543,0
1975,P09_STR_sc1.6,13,1987,181097417,0
1975,P09_STR_sc1.6,14,1988,143019570,0
1975,P09_STR_sc1.6,15,1989,196266833,0
1975,P09_STR_sc1.6,16,1990,147513875,0
1975,P09_STR_sc1.6,17,1991,213657649,0
1975,P09_STR_sc1.6,18,1992,305879717,0
1975,P09_STR_sc1.6,19,1993,322460659,0
1975,P09_STR_sc1.6,20,1994,299276846,0
1975,P09_STR_sc1.8,1,1975,24124800,0
1975,P09_STR_sc1.8,2,1976,35966853,0
1975,P09_STR_sc1.8,3,1977,23227308,0
1975,P09_STR_sc1.8,4,1978,34952485,0
1975,P09_STR_sc1.8,5,1979,34340542,0
1975,P09_STR_sc1.8,6,1980,40116038,0
1975,P09_STR_sc1.8,7,1981,33921576,0
1975,P09_STR_sc1.8,8,1982,61594997,0
1975,P09_STR_sc1.8,9,1983,101683250,0
1975,P09_STR_sc1.8,10,1984,93511240,0
1975,P09_STR_sc1.8,11,1985,172187116,0
1975,P09_STR_sc1.8,12,1986,217821453,0
1975,P09_STR_sc1.8,13,1987,411441991,0
1975,P09_STR_sc1.8,14,1988,322853457,0
1975,P09_STR_sc1.8,15,1989,467834130,0
1975,P09_STR_sc1.8,16,1990,346421781,0
1975,P09_STR_sc1.8,17,1991,533985605,0
1975,P09_STR_sc1.8,18,1992,809507530,0
1975,P09_STR_sc1.8,19,1993,854530258,0
1975,P09_STR_sc1.8,20,1994,792612114,0
1975,P09_STR_sc2.0,1,1975,24146400,0
1975,P09_STR_sc2.0,2,1976,38390524,0
1975,P09_STR_sc2.0,3,1977,24250785,0
1975,P09_STR_sc2.0,4,1978,39593253,0
1975,P09_STR_sc2.0,5,1979,39294029,0
1975,P09_STR_sc2.0,6,1980,48705834,0
1975,P09_STR_sc2.0,7,1981,42727187,0
1975,P09_STR_sc2.0,8,1982,86341944,0
1975,P09_STR_sc2.0,9,1983,157012262,0
1975,P09_STR_sc2.0,10,1984,147478575,0
1975,P09_STR_sc2.0,11,1985,295209195,0
1975,P09_STR_sc2.0,12,1986,383346788,0
1975,P09_STR_sc2.0,13,1987,781824810,0
1975,P09_STR_sc2.0,14,1988,602040052,0
1975,P09_STR_sc2.0,15,1989,906338503,0
1975,P09_STR_sc2.0,16,1990,652925483,0
1975,P09_STR_sc2.0,17,1991,1051965527,0
1975,P09_STR_sc2.0,18,1992,1666746068,0
1975,P09_STR_sc2.0,19,1993,1744779819,0
1975,P09_STR_sc2.0,20,1994,1602633359,0
1975,P09_STR_sc2.2,1,1975,24141600,0
1975,P09_STR_sc2.2,2,1976,40880281,0
1975,P09_STR_sc2.2,3,1977,25221932,0
1975,P09_STR_sc2.2,4,1978,44573737,0
1975,P09_STR_sc2.2,5,1979,44436945,0
1975,P09_STR_sc2.2,6,1980,58032100,0
1975,P09_STR_sc2.2,7,1981,52380715,0
1975,P09_STR_sc2.2,8,1982,116081653,0
1975,P09_STR_sc2.2,9,1983,229762425,0
1975,P09_STR_sc2.2,10,1984,218280246,0
1975,P09_STR_sc2.2,11,1985,469394080,0
1975,P09_STR_sc2.2,12,1986,620391994,0
1975,P09_STR_sc2.2,13,1987,1357007596,0
1975,P09_STR_sc2.2,14,1988,1021361743,0
1975,P09_STR_sc2.2,15,1989,1588533447,0
1975,P09_STR_sc2.2,16,1990,1109039439,0
1975,P09_STR_sc2.2,17,1991,1854871121,0
1975,P09_STR_sc2.2,18,1992,3057108399,0
1975,P09_STR_sc2.2,19,1993,3162473856,0
1975,P09_STR_sc2.2,20,1994,2867340851,0
1975,P09_STR_sc2.4,1,1975,24112800,0
1975,P09_STR_sc2.4,2,1976,43436306,0
1975,P09_STR_sc2.4,3,1977,26138029,0
1975,P09_STR_sc2.4,4,1978,49895994,0
1975,P09_STR_sc2.4,5,1979,49742940,0
1975,P09_STR_sc2.4,6,1980,68064014,0
1975,P09_STR_sc2.4,7,1981,62858434,0
1975,P09_STR_sc2.4,8,1982,151340093,0
1975,P09_STR_sc2.4,9,1983,323817728,0
1975,P09_STR_sc2.4,10,1984,309586249,0
1975,P09_STR_sc2.4,11,1985,710877560,0
1975,P09_STR_sc2.4,12,1986,952148608,0
1975,P09_STR_sc2.4,13,1987,2226193060,0
1975,P09_STR_sc2.4,14,1988,1634728150,0
