start_year,strategy,survived,ruin_year_elapsed,asset_y10_yen,asset_y20_yen,ever_below_15M,first_below_15M_elapsed
1975,P09_STR_sc1.0,0,9,0,0,1,6
1976,P09_STR_sc1.0,1,,41707381,51910455,0,
1977,P09_STR_sc1.0,0,9,0,0,1,5
1978,P09_STR_sc1.0,1,,100078751,239192439,0,
1979,P09_STR_sc1.0,0,15,21688539,0,1,12
1980,P09_STR_sc1.0,0,15,22880031,0,1,11
1981,P09_STR_sc1.0,0,15,18174826,0,1,12
1982,P09_STR_sc1.0,1,,73852877,370011441,0,
1983,P09_STR_sc1.0,0,14,18066288,0,1,11
1984,P09_STR_sc1.0,0,10,0,0,1,7
1985,P09_STR_sc1.0,1,,23122037,18864386,0,
1986,P09_STR_sc1.0,0,9,0,0,1,6
1987,P09_STR_sc1.0,0,9,0,0,1,6
1988,P09_STR_sc1.0,0,6,0,0,1,3
1989,P09_STR_sc1.0,0,8,0,0,1,5
1990,P09_STR_sc1.0,0,7,0,0,1,4
1991,P09_STR_sc1.0,1,,31640846,11887399,1,19
1992,P09_STR_sc1.0,0,12,11032044,0,1,10
1993,P09_STR_sc1.0,0,10,0,0,1,8
1994,P09_STR_sc1.0,0,17,28364439,0,1,14
1995,P09_STR_sc1.0,1,,105691724,558663380,0,
1996,P09_STR_sc1.0,1,,35696595,65539173,0,
1997,P09_STR_sc1.0,1,,57701118,127514089,0,
1998,P09_STR_sc1.0,1,,69287860,190510387,0,
1999,P09_STR_sc1.0,0,19,25300994,0,1,17
2000,P09_STR_sc1.0,0,7,0,0,1,3
2001,P09_STR_sc1.0,0,10,0,0,1,7
2002,P09_STR_sc1.0,1,,45012929,30447487,0,
2003,P09_STR_sc1.0,1,,79764249,139676601,0,
2004,P09_STR_sc1.0,0,8,0,0,1,5
2005,P09_STR_sc1.0,0,12,13115930,0,1,10
1975,P09_STR_sc1.4,1,,23824283,18212796,0,
1976,P09_STR_sc1.4,1,,159121430,1048556601,0,
1977,P09_STR_sc1.4,0,13,10859704,0,1,8
1978,P09_STR_sc1.4,1,,332245213,1789366055,0,
1979,P09_STR_sc1.4,1,,82602559,657522361,0,
1980,P09_STR_sc1.4,1,,120921260,1663651869,0,
1981,P09_STR_sc1.4,1,,74345912,1105837214,0,
1982,P09_STR_sc1.4,1,,199182052,2658542172,0,
1983,P09_STR_sc1.4,1,,85978893,727291045,0,
1984,P09_STR_sc1.4,0,18,22213514,0,1,13
1985,P09_STR_sc1.4,1,,64703630,1278161534,0,
1986,P09_STR_sc1.4,0,13,13728501,0,1,9
1987,P09_STR_sc1.4,0,11,4607818,0,1,8
1988,P09_STR_sc1.4,0,6,0,0,1,3
1989,P09_STR_sc1.4,0,10,0,0,1,6
1990,P09_STR_sc1.4,0,7,0,0,1,4
1991,P09_STR_sc1.4,1,,150996274,1919915245,0,
1992,P09_STR_sc1.4,1,,75838998,894188832,0,
1993,P09_STR_sc1.4,1,,31736924,254282039,0,
1994,P09_STR_sc1.4,1,,164299699,1342799679,0,
1995,P09_STR_sc1.4,1,,343344786,3482149085,0,
1996,P09_STR_sc1.4,1,,129471445,896092319,0,
1997,P09_STR_sc1.4,1,,192597065,927721977,0,
1998,P09_STR_sc1.4,1,,195657474,1120225307,0,
1999,P09_STR_sc1.4,1,,92175667,369944151,0,
2000,P09_STR_sc1.4,0,7,0,0,1,3
2001,P09_STR_sc1.4,1,,37451798,4507739,1,18
2002,P09_STR_sc1.4,1,,124409734,734494551,0,
2003,P09_STR_sc1.4,1,,218214736,1023654921,0,
2004,P09_STR_sc1.4,0,8,0,0,1,5
2005,P09_STR_sc1.4,1,,46239209,66252025,0,
1975,P09_STR_sc1.6,1,,53192559,299276846,0,
1976,P09_STR_sc1.6,1,,262043721,2277530679,0,
1977,P09_STR_sc1.6,1,,31270156,34322640,0,
1978,P09_STR_sc1.6,1,,546113594,3704835326,0,
1979,P09_STR_sc1.6,1,,130063051,1643591892,0,
1980,P09_STR_sc1.6,1,,205693479,4571920481,0,
1981,P09_STR_sc1.6,1,,116530470,2849018877,0,
1982,P09_STR_sc1.6,1,,297023224,5578700972,0,
1983,P09_STR_sc1.6,1,,139235220,1796294469,0,
1984,P09_STR_sc1.6,1,,40765038,698860208,0,
1985,P09_STR_sc1.6,1,,91441224,2910930819,0,
1986,P09_STR_sc1.6,1,,30784731,215027451,0,
1987,P09_STR_sc1.6,1,,21915205,90545127,0,
1988,P09_STR_sc1.6,0,6,0,0,1,3
1989,P09_STR_sc1.6,0,15,15912805,0,1,9
1990,P09_STR_sc1.6,0,7,0,0,1,4
1991,P09_STR_sc1.6,1,,254841700,4438288035,0,
1992,P09_STR_sc1.6,1,,128518380,2213297864,0,
1993,P09_STR_sc1.6,1,,55611027,996924703,0,
1994,P09_STR_sc1.6,1,,287878386,3074957480,0,
1995,P09_STR_sc1.6,1,,549138605,6913035942,0,
1996,P09_STR_sc1.6,1,,199703292,1746697542,0,
1997,P09_STR_sc1.6,1,,298250230,1680063879,0,
1998,P09_STR_sc1.6,1,,285905301,1997167195,0,
1999,P09_STR_sc1.6,1,,135987359,712223068,0,
2000,P09_STR_sc1.6,0,7,0,0,1,3
2001,P09_STR_sc1.6,1,,67286157,248540620,0,
2002,P09_STR_sc1.6,1,,177141078,1438206091,0,
2003,P09_STR_sc1.6,1,,316675321,1877054003,0,
2004,P09_STR_sc1.6,0,8,0,0,1,5
2005,P09_STR_sc1.6,1,,66686769,308615299,0,
1975,P09_STR_sc1.8,1,,93511240,792612114,0,
1976,P09_STR_sc1.8,1,,409653860,4444608244,0,
1977,P09_STR_sc1.8,1,,58527397,381906468,0,
1978,P09_STR_sc1.8,1,,864544525,7119502726,0,
1979,P09_STR_sc1.8,1,,192814227,3422566820,0,
1980,P09_STR_sc1.8,1,,325958640,10565657857,0,
1981,P09_STR_sc1.8,1,,171202011,6192978941,0,
1982,P09_STR_sc1.8,1,,426826740,10868333921,0,
1983,P09_STR_sc1.8,1,,209469104,3703998184,0,
1984,P09_STR_sc1.8,1,,62936763,2245305188,0,
1985,P09_STR_sc1.8,1,,122263684,5817668571,0,
1986,P09_STR_sc1.8,1,,51506233,828096645,0,
1987,P09_STR_sc1.8,1,,43822748,903275987,0,
1988,P09_STR_sc1.8,0,6,0,0,1,3
1989,P09_STR_sc1.8,1,,42342541,405329573,0,
