start_year,strategy,elapsed_year,calendar_year,asset_yen
1975,P09_STR_sc1.0,1,1975,23781600
1975,P09_STR_sc1.0,2,1976,27090268
1975,P09_STR_sc1.0,3,1977,18726049
1975,P09_STR_sc1.0,4,1978,19697378
1975,P09_STR_sc1.0,5,1979,16964203
1975,P09_STR_sc1.0,6,1980,13427859
1975,P09_STR_sc1.0,7,1981,7197595
1975,P09_STR_sc1.0,8,1982,2029924
1975,P09_STR_sc1.0,9,1983,0
1975,P09_STR_sc1.0,10,1984,0
1975,P09_STR_sc1.0,11,1985,0
1975,P09_STR_sc1.0,12,1986,0
1975,P09_STR_sc1.0,13,1987,0
1975,P09_STR_sc1.0,14,1988,0
1975,P09_STR_sc1.0,15,1989,0
1975,P09_STR_sc1.0,16,1990,0
1975,P09_STR_sc1.0,17,1991,0
1975,P09_STR_sc1.0,18,1992,0
1975,P09_STR_sc1.0,19,1993,0
1975,P09_STR_sc1.0,20,1994,0
1975,P09_STR_sc1.4,1,1975,24004800
1975,P09_STR_sc1.4,2,1976,31355359
1975,P09_STR_sc1.4,3,1977,21047484
1975,P09_STR_sc1.4,4,1978,26680693
1975,P09_STR_sc1.4,5,1979,25127042
1975,P09_STR_sc1.4,6,1980,25247696
1975,P09_STR_sc1.4,7,1981,18895463
1975,P09_STR_sc1.4,8,1982,24979802
1975,P09_STR_sc1.4,9,1983,30367682
1975,P09_STR_sc1.4,10,1984,23824283
1975,P09_STR_sc1.4,11,1985,31119416
1975,P09_STR_sc1.4,12,1986,32082518
1975,P09_STR_sc1.4,13,1987,44449827
1975,P09_STR_sc1.4,14,1988,32201730
1975,P09_STR_sc1.4,15,1989,36375862
1975,P09_STR_sc1.4,16,1990,24324990
1975,P09_STR_sc1.4,17,1991,26567571
1975,P09_STR_sc1.4,18,1992,29059921
1975,P09_STR_sc1.4,19,1993,25043074
1975,P09_STR_sc1.4,20,1994,18212796
1975,P09_STR_sc1.6,1,1975,24076800
1975,P09_STR_sc1.6,2,1976,33619233
1975,P09_STR_sc1.6,3,1977,22156148
1975,P09_STR_sc1.6,4,1978,30646598
1975,P09_STR_sc1.6,5,1979,29605493
1975,P09_STR_sc1.6,6,1980,32287594
1975,P09_STR_sc1.6,7,1981,25972143
1975,P09_STR_sc1.6,8,1982,41304389
1975,P09_STR_sc1.6,9,1983,60405809
1975,P09_STR_sc1.6,10,1984,53192559
1975,P09_STR_sc1.6,11,1985,87499724
1975,P09_STR_sc1.6,12,1986,105509543
1975,P09_STR_sc1.6,13,1987,181097417
1975,P09_STR_sc1.6,14,1988,143019570
1975,P09_STR_sc1.6,15,1989,196266833
1975,P09_STR_sc1.6,16,1990,147513875
1975,P09_STR_sc1.6,17,1991,213657649
1975,P09_STR_sc1.6,18,1992,305879717
1975,P09_STR_sc1.6,19,1993,322460659
1975,P09_STR_sc1.6,20,1994,299276846
1975,P09_STR_sc1.8,1,1975,24124800
1975,P09_STR_sc1.8,2,1976,35966853
1975,P09_STR_sc1.8,3,1977,23227308
1975,P09_STR_sc1.8,4,1978,34952485
1975,P09_STR_sc1.8,5,1979,34340542
1975,P09_STR_sc1.8,6,1980,40116038
1975,P09_STR_sc1.8,7,1981,33921576
1975,P09_STR_sc1.8,8,1982,61594997
1975,P09_STR_sc1.8,9,1983,101683250
1975,P09_STR_sc1.8,10,1984,93511240
1975,P09_STR_sc1.8,11,1985,172187116
1975,P09_STR_sc1.8,12,1986,217821453
1975,P09_STR_sc1.8,13,1987,411441991
1975,P09_STR_sc1.8,14,1988,322853457
1975,P09_STR_sc1.8,15,1989,467834130
1975,P09_STR_sc1.8,16,1990,346421781
1975,P09_STR_sc1.8,17,1991,533985605
1975,P09_STR_sc1.8,18,1992,809507530
1975,P09_STR_sc1.8,19,1993,854530258
1975,P09_STR_sc1.8,20,1994,792612114
1975,P09_STR_sc2.0,1,1975,24146400
1975,P09_STR_sc2.0,2,1976,38390524
1975,P09_STR_sc2.0,3,1977,24250785
1975,P09_STR_sc2.0,4,1978,39593253
1975,P09_STR_sc2.0,5,1979,39294029
1975,P09_STR_sc2.0,6,1980,48705834
1975,P09_STR_sc2.0,7,1981,42727187
1975,P09_STR_sc2.0,8,1982,86341944
1975,P09_STR_sc2.0,9,1983,157012262
1975,P09_STR_sc2.0,10,1984,147478575
1975,P09_STR_sc2.0,11,1985,295209195
1975,P09_STR_sc2.0,12,1986,383346788
1975,P09_STR_sc2.0,13,1987,781824810
1975,P09_STR_sc2.0,14,1988,602040052
1975,P09_STR_sc2.0,15,1989,906338503
1975,P09_STR_sc2.0,16,1990,652925483
1975,P09_STR_sc2.0,17,1991,1051965527
1975,P09_STR_sc2.0,18,1992,1666746068
1975,P09_STR_sc2.0,19,1993,1744779819
1975,P09_STR_sc2.0,20,1994,1602633359
1975,P09_STR_sc2.2,1,1975,24141600
1975,P09_STR_sc2.2,2,1976,40880281
1975,P09_STR_sc2.2,3,1977,25221932
1975,P09_STR_sc2.2,4,1978,44573737
1975,P09_STR_sc2.2,5,1979,44436945
1975,P09_STR_sc2.2,6,1980,58032100
1975,P09_STR_sc2.2,7,1981,52380715
1975,P09_STR_sc2.2,8,1982,116081653
1975,P09_STR_sc2.2,9,1983,229762425
1975,P09_STR_sc2.2,10,1984,218280246
1975,P09_STR_sc2.2,11,1985,469394080
1975,P09_STR_sc2.2,12,1986,620391994
1975,P09_STR_sc2.2,13,1987,1357007596
1975,P09_STR_sc2.2,14,1988,1021361743
1975,P09_STR_sc2.2,15,1989,1588533447
1975,P09_STR_sc2.2,16,1990,1109039439
1975,P09_STR_sc2.2,17,1991,1854871121
1975,P09_STR_sc2.2,18,1992,3057108399
1975,P09_STR_sc2.2,19,1993,3162473856
1975,P09_STR_sc2.2,20,1994,2867340851
1975,P09_STR_sc2.4,1,1975,24112800
1975,P09_STR_sc2.4,2,1976,43436306
1975,P09_STR_sc2.4,3,1977,26138029
1975,P09_STR_sc2.4,4,1978,49895994
1975,P09_STR_sc2.4,5,1979,49742940
1975,P09_STR_sc2.4,6,1980,68064014
1975,P09_STR_sc2.4,7,1981,62858434
1975,P09_STR_sc2.4,8,1982,151340093
1975,P09_STR_sc2.4,9,1983,323817728
1975,P09_STR_sc2.4,10,1984,309586249
1975,P09_STR_sc2.4,11,1985,710877560
1975,P09_STR_sc2.4,12,1986,952148608
1975,P09_STR_sc2.4,13,1987,2226193060
1975,P09_STR_sc2.4,14,1988,1634728150
1975,P09_STR_sc2.4,15,1989,2619483483
1975,P09_STR_sc2.4,16,1990,1769066970
1975,P09_STR_sc2.4,17,1991,3058744886
1975,P09_STR_sc2.4,18,1992,5229351990
1975,P09_STR_sc2.4,19,1993,5335131722
1975,P09_STR_sc2.4,20,1994,4766375412
1975,NASDAQ_1x_BH,1,1975,29908800
1975,NASDAQ_1x_BH,2,1976,29070710
1975,NASDAQ_1x_BH,3,1977,24468795
1975,NASDAQ_1x_BH,4,1978,20348918
1975,NASDAQ_1x_BH,5,1979,17685042
1975,NASDAQ_1x_BH,6,1980,14960359
1975,NASDAQ_1x_BH,7,1981,8722013
1975,NASDAQ_1x_BH,8,1982,3142564
1975,NASDAQ_1x_BH,9,1983,0
1975,NASDAQ_1x_BH,10,1984,0
1975,NASDAQ_1x_BH,11,1985,0
1975,NASDAQ_1x_BH,12,1986,0
1975,NASDAQ_1x_BH,13,1987,0
1975,NASDAQ_1x_BH,14,1988,0
1975,NASDAQ_1x_BH,15,1989,0
1975,NASDAQ_1x_BH,16,1990,0
1975,NASDAQ_1x_BH,17,1991,0
1975,NASDAQ_1x_BH,18,1992,0
1975,NASDAQ_1x_BH,19,1993,0
1975,NASDAQ_1x_BH,20,1994,0
1980,P09_STR_sc1.0,1,1980,29392800
1980,P09_STR_sc1.0,2,1981,22667623
1980,P09_STR_sc1.0,3,1982,28251621
1980,P09_STR_sc1.0,4,1983,31096641
1980,P09_STR_sc1.0,5,1984,24509379
1980,P09_STR_sc1.0,6,1985,28602544
1980,P09_STR_sc1.0,7,1986,27997771
1980,P09_STR_sc1.0,8,1987,32827274
1980,P09_STR_sc1.0,9,1988,23591905
1980,P09_STR_sc1.0,10,1989,22880031
1980,P09_STR_sc1.0,11,1990,14385163
1980,P09_STR_sc1.0,12,1991,11135496
1980,P09_STR_sc1.0,13,1992,6646873
1980,P09_STR_sc1.0,14,1993,713953
1980,P09_STR_sc1.0,15,1994,0
1980,P09_STR_sc1.0,16,1995,0
1980,P09_STR_sc1.0,17,1996,0
1980,P09_STR_sc1.0,18,1997,0
1980,P09_STR_sc1.0,19,1998,0
1980,P09_STR_sc1.0,20,1999,0
1980,P09_STR_sc1.4,1,1980,31680000
1980,P09_STR_sc1.4,2,1981,25210056
1980,P09_STR_sc1.4,3,1982,37211799
1980,P09_STR_sc1.4,4,1983,49938879
1980,P09_STR_sc1.4,5,1984,42959042
1980,P09_STR_sc1.4,6,1985,64526792
1980,P09_STR_sc1.4,7,1986,74750418
1980,P09_STR_sc1.4,8,1987,117164463
1980,P09_STR_sc1.4,9,1988,93100238
