start_year,strategy,survived,ruin_year_elapsed,asset_y10_yen,asset_y20_yen
1975,P09_STR_sc1.0,1,,25871988,23758979
1976,P09_STR_sc1.0,1,,89759852,335868687
1977,P09_STR_sc1.0,1,,32655131,24059718
1978,P09_STR_sc1.0,1,,158562576,513478327
1979,P09_STR_sc1.0,1,,60778838,235970298
1980,P09_STR_sc1.0,1,,63913035,316971267
1981,P09_STR_sc1.0,1,,46351741,252181933
1982,P09_STR_sc1.0,1,,104311493,658436795
1983,P09_STR_sc1.0,1,,47712398,163573352
1984,P09_STR_sc1.0,0,19,21672508,0
1985,P09_STR_sc1.0,1,,45017669,340779311
1986,P09_STR_sc1.0,0,17,17956830,0
1987,P09_STR_sc1.0,0,13,10481094,0
1988,P09_STR_sc1.0,0,8,0,0
1989,P09_STR_sc1.0,0,15,14013529,0
1990,P09_STR_sc1.0,0,10,0,0
1991,P09_STR_sc1.0,1,,79247031,511710172
1992,P09_STR_sc1.0,1,,50123342,301641832
1993,P09_STR_sc1.0,1,,34744927,183051727
1994,P09_STR_sc1.0,1,,85154381,394707020
1995,P09_STR_sc1.0,1,,151196391,920489340
1996,P09_STR_sc1.0,1,,71305185,291246808
1997,P09_STR_sc1.0,1,,98918508,324690200
1998,P09_STR_sc1.0,1,,107719664,389849375
1999,P09_STR_sc1.0,1,,60724093,142231013
2000,P09_STR_sc1.0,0,9,0,0
2001,P09_STR_sc1.0,1,,44378163,56236255
2002,P09_STR_sc1.0,1,,90077639,299215480
2003,P09_STR_sc1.0,1,,126286728,356116576
2004,P09_STR_sc1.0,0,13,15491100,0
2005,P09_STR_sc1.0,1,,46967399,80242390
1975,P09_STR_sc1.4,1,,81011195,475572299
1976,P09_STR_sc1.4,1,,239354939,1729362183
1977,P09_STR_sc1.4,1,,87341965,500107734
1978,P09_STR_sc1.4,1,,437605365,2479340356
1979,P09_STR_sc1.4,1,,144756181,1502307342
1980,P09_STR_sc1.4,1,,187517289,3054288979
1981,P09_STR_sc1.4,1,,114583001,2054700602
1982,P09_STR_sc1.4,1,,243707546,3401949744
1983,P09_STR_sc1.4,1,,128339039,1310465228
1984,P09_STR_sc1.4,1,,56989573,986630159
1985,P09_STR_sc1.4,1,,91559721,2079049598
1986,P09_STR_sc1.4,1,,51512313,503879069
1987,P09_STR_sc1.4,1,,43641921,518077189
1988,P09_STR_sc1.4,0,8,0,0
1989,P09_STR_sc1.4,1,,59748619,502836015
1990,P09_STR_sc1.4,0,17,25743288,0
1991,P09_STR_sc1.4,1,,233488510,3274879943
1992,P09_STR_sc1.4,1,,139528278,2026960133
1993,P09_STR_sc1.4,1,,88573900,1501960120
1994,P09_STR_sc1.4,1,,269727462,2466908840
1995,P09_STR_sc1.4,1,,420806387,4378656184
1996,P09_STR_sc1.4,1,,182572547,1363408550
1997,P09_STR_sc1.4,1,,256404955,1305720114
1998,P09_STR_sc1.4,1,,250276849,1505068211
1999,P09_STR_sc1.4,1,,138113759,638952369
2000,P09_STR_sc1.4,0,10,0,0
2001,P09_STR_sc1.4,1,,108999972,536709654
2002,P09_STR_sc1.4,1,,187640302,1302911412
2003,P09_STR_sc1.4,1,,285670808,1457794635
2004,P09_STR_sc1.4,0,19,33897137,0
2005,P09_STR_sc1.4,1,,93359020,566126460
1975,P09_STR_sc1.6,1,,124048161,963801905
1976,P09_STR_sc1.6,1,,365709040,3324543710
1977,P09_STR_sc1.6,1,,128620794,1030475621
1978,P09_STR_sc1.6,1,,687771283,4792995447
1979,P09_STR_sc1.6,1,,208575798,2999402766
1980,P09_STR_sc1.6,1,,290885130,6982179632
1981,P09_STR_sc1.6,1,,164829234,4404438326
1982,P09_STR_sc1.6,1,,351005613,6761164510
1983,P09_STR_sc1.6,1,,189737227,2671460719
1984,P09_STR_sc1.6,1,,80293530,2350865250
1985,P09_STR_sc1.6,1,,121007550,4148132557
1986,P09_STR_sc1.6,1,,74066068,1124576842
1987,P09_STR_sc1.6,1,,67104844,1330250345
1988,P09_STR_sc1.6,0,8,0,0
1989,P09_STR_sc1.6,1,,94593344,1148720620
1990,P09_STR_sc1.6,1,,55212295,242686876
1991,P09_STR_sc1.6,1,,362267719,6612675094
1992,P09_STR_sc1.6,1,,209153118,3953654767
1993,P09_STR_sc1.6,1,,126018448,2947026948
1994,P09_STR_sc1.6,1,,430785959,4853681581
1995,P09_STR_sc1.6,1,,649814818,8295569049
1996,P09_STR_sc1.6,1,,264058925,2403264915
1997,P09_STR_sc1.6,1,,376996019,2188906799
1998,P09_STR_sc1.6,1,,350295566,2516755358
1999,P09_STR_sc1.6,1,,187711940,1057910120
2000,P09_STR_sc1.6,0,11,2489279,0
2001,P09_STR_sc1.6,1,,153273559,980525779
2002,P09_STR_sc1.6,1,,250956494,2234356438
2003,P09_STR_sc1.6,1,,396700104,2470986944
2004,P09_STR_sc1.6,1,,43054640,67413649
2005,P09_STR_sc1.6,1,,121511819,993650992
1975,P09_STR_sc1.8,1,,181170269,1750232338
1976,P09_STR_sc1.8,1,,543470694,6042319960
1977,P09_STR_sc1.8,1,,182255299,1900182031
1978,P09_STR_sc1.8,1,,1054960733,8822675009
1979,P09_STR_sc1.8,1,,291965374,5577816079
1980,P09_STR_sc1.8,1,,435062802,14695909314
1981,P09_STR_sc1.8,1,,229273284,8714261073
1982,P09_STR_sc1.8,1,,492316237,12730470442
1983,P09_STR_sc1.8,1,,269515409,5001694317
1984,P09_STR_sc1.8,1,,107661979,4854198422
1985,P09_STR_sc1.8,1,,154660403,7696251817
1986,P09_STR_sc1.8,1,,100778536,2141970789
1987,P09_STR_sc1.8,1,,95774927,2756486971
1988,P09_STR_sc1.8,0,8,0,0
1989,P09_STR_sc1.8,1,,139091621,2180641197
1990,P09_STR_sc1.8,1,,94581904,709131022
1991,P09_STR_sc1.8,1,,537975741,12344484421
1992,P09_STR_sc1.8,1,,300080193,7072402905
1993,P09_STR_sc1.8,1,,171349817,5237332232
1994,P09_STR_sc1.8,1,,658316095,8810329910
1995,P09_STR_sc1.8,1,,968372548,14782976609
1996,P09_STR_sc1.8,1,,365811569,3931053010
1997,P09_STR_sc1.8,1,,532289666,3415223372
1998,P09_STR_sc1.8,1,,470929377,3930117876
1999,P09_STR_sc1.8,1,,243942265,1609698886
2000,P09_STR_sc1.8,0,11,4519553,0
2001,P09_STR_sc1.8,1,,205921020,1596012080
2002,P09_STR_sc1.8,1,,323483354,3544582121
2003,P09_STR_sc1.8,1,,529769862,3890275345
2004,P09_STR_sc1.8,1,,51095877,157922251
2005,P09_STR_sc1.8,1,,152141361,1560163109
1975,P09_STR_sc2.0,1,,255681212,2969290743
1976,P09_STR_sc2.0,1,,790056119,10532322744
1977,P09_STR_sc2.0,1,,250712959,3268505193
1978,P09_STR_sc2.0,1,,1586502760,15631931197
1979,P09_STR_sc2.0,1,,399416827,9852247799
1980,P09_STR_sc2.0,1,,633387510,29176992957
1981,P09_STR_sc2.0,1,,311025448,16284434499
1982,P09_STR_sc2.0,1,,676068918,22960238093
1983,P09_STR_sc2.0,1,,371586671,8826982576
1984,P09_STR_sc2.0,1,,139291863,9196315068
1985,P09_STR_sc2.0,1,,192494999,13508375015
1986,P09_STR_sc2.0,1,,131797445,3714834482
1987,P09_STR_sc2.0,1,,130036540,5100331470
1988,P09_STR_sc2.0,0,8,0,0
1989,P09_STR_sc2.0,1,,194437527,3729433377
1990,P09_STR_sc2.0,1,,144511611,1415338272
1991,P09_STR_sc2.0,1,,771319224,21676359377
1992,P09_STR_sc2.0,1,,415985863,11853888001
