start_year,strategy,elapsed_year,calendar_year,asset_yen
1975,P09_STR_sc1.0,1,1975,24772500
1975,P09_STR_sc1.0,2,1976,30123404
1975,P09_STR_sc1.0,3,1977,22307070
1975,P09_STR_sc1.0,4,1978,26787883
1975,P09_STR_sc1.0,5,1979,26984293
1975,P09_STR_sc1.0,6,1980,26924164
1975,P09_STR_sc1.0,7,1981,21244515
1975,P09_STR_sc1.0,8,1982,27534453
1975,P09_STR_sc1.0,9,1983,31491898
1975,P09_STR_sc1.0,10,1984,25871988
1975,P09_STR_sc1.0,11,1985,32253482
1975,P09_STR_sc1.0,12,1986,33758889
1975,P09_STR_sc1.0,13,1987,42916890
1975,P09_STR_sc1.0,14,1988,33344113
1975,P09_STR_sc1.0,15,1989,36864353
1975,P09_STR_sc1.0,16,1990,27154802
1975,P09_STR_sc1.0,17,1991,29421577
1975,P09_STR_sc1.0,18,1992,31608847
1975,P09_STR_sc1.0,19,1993,29368184
1975,P09_STR_sc1.0,20,1994,23758979
1975,P09_STR_sc1.4,1,1975,25005000
1975,P09_STR_sc1.4,2,1976,34838708
1975,P09_STR_sc1.4,3,1977,24769111
1975,P09_STR_sc1.4,4,1978,35052611
1975,P09_STR_sc1.4,5,1979,36513922
1975,P09_STR_sc1.4,6,1980,41598377
1975,P09_STR_sc1.4,7,1981,35928627
1975,P09_STR_sc1.4,8,1982,59911843
1975,P09_STR_sc1.4,9,1983,87858949
1975,P09_STR_sc1.4,10,1984,81011195
1975,P09_STR_sc1.4,11,1985,132707945
1975,P09_STR_sc1.4,12,1986,163108588
1975,P09_STR_sc1.4,13,1987,269448655
1975,P09_STR_sc1.4,14,1988,221475749
1975,P09_STR_sc1.4,15,1989,300533282
1975,P09_STR_sc1.4,16,1990,236663052
1975,P09_STR_sc1.4,17,1991,335865093
1975,P09_STR_sc1.4,18,1992,467479290
1975,P09_STR_sc1.4,19,1993,502252508
1975,P09_STR_sc1.4,20,1994,475572299
1975,P09_STR_sc1.6,1,1975,25080000
1975,P09_STR_sc1.6,2,1976,37344784
1975,P09_STR_sc1.6,3,1977,25946986
1975,P09_STR_sc1.6,4,1978,39734337
1975,P09_STR_sc1.6,5,1979,41722886
1975,P09_STR_sc1.6,6,1980,50229563
1975,P09_STR_sc1.6,7,1981,44686809
1975,P09_STR_sc1.6,8,1982,82076289
1975,P09_STR_sc1.6,9,1983,131877530
1975,P09_STR_sc1.6,10,1984,124048161
1975,P09_STR_sc1.6,11,1985,220727195
1975,P09_STR_sc1.6,12,1986,279280427
1975,P09_STR_sc1.6,13,1987,499162950
1975,P09_STR_sc1.6,14,1988,403632297
1975,P09_STR_sc1.6,15,1989,571000903
1975,P09_STR_sc1.6,16,1990,438820500
1975,P09_STR_sc1.6,17,1991,654982191
1975,P09_STR_sc1.6,18,1992,957423767
1975,P09_STR_sc1.6,19,1993,1024141276
1975,P09_STR_sc1.6,20,1994,963801905
1975,P09_STR_sc1.8,1,1975,25130000
1975,P09_STR_sc1.8,2,1976,39945972
1975,P09_STR_sc1.8,3,1977,27086623
1975,P09_STR_sc1.8,4,1978,44811549
1975,P09_STR_sc1.8,5,1979,47220479
1975,P09_STR_sc1.8,6,1980,59763087
1975,P09_STR_sc1.8,7,1981,54450938
1975,P09_STR_sc1.8,8,1982,109088769
1975,P09_STR_sc1.8,9,1983,190378358
1975,P09_STR_sc1.8,10,1984,181170269
1975,P09_STR_sc1.8,11,1985,346632621
1975,P09_STR_sc1.8,12,1986,447777877
1975,P09_STR_sc1.8,13,1987,860051748
1975,P09_STR_sc1.8,14,1988,680877707
1975,P09_STR_sc1.8,15,1989,997933434
1975,P09_STR_sc1.8,16,1990,744799369
1975,P09_STR_sc1.8,17,1991,1160449290
1975,P09_STR_sc1.8,18,1992,1771534852
1975,P09_STR_sc1.8,19,1993,1878709815
1975,P09_STR_sc1.8,20,1994,1750232338
1975,P09_STR_sc2.0,1,1975,25152500
1975,P09_STR_sc2.0,2,1976,42634629
1975,P09_STR_sc2.0,3,1977,28177047
1975,P09_STR_sc2.0,4,1978,50280285
1975,P09_STR_sc2.0,5,1979,52964350
1975,P09_STR_sc2.0,6,1980,70167047
1975,P09_STR_sc2.0,7,1981,65199631
1975,P09_STR_sc2.0,8,1982,141523311
1975,P09_STR_sc2.0,9,1983,266807507
1975,P09_STR_sc2.0,10,1984,255681212
1975,P09_STR_sc2.0,11,1985,523071416
1975,P09_STR_sc2.0,12,1986,686703663
1975,P09_STR_sc2.0,13,1987,1412421818
1975,P09_STR_sc2.0,14,1988,1092159331
1975,P09_STR_sc2.0,15,1989,1653134479
1975,P09_STR_sc2.0,16,1990,1195227124
1975,P09_STR_sc2.0,17,1991,1935428326
1975,P09_STR_sc2.0,18,1992,3076137538
1975,P09_STR_sc2.0,19,1993,3226537098
1975,P09_STR_sc2.0,20,1994,2969290743
1975,P09_STR_sc2.2,1,1975,25147500
1975,P09_STR_sc2.2,2,1976,45400376
1975,P09_STR_sc2.2,3,1977,29213512
1975,P09_STR_sc2.2,4,1978,56148714
1975,P09_STR_sc2.2,5,1979,58923318
1975,P09_STR_sc2.2,6,1980,81413426
1975,P09_STR_sc2.2,7,1981,76925395
1975,P09_STR_sc2.2,8,1982,180014880
1975,P09_STR_sc2.2,9,1983,365291057
1975,P09_STR_sc2.2,10,1984,351463926
1975,P09_STR_sc2.2,11,1985,766101034
1975,P09_STR_sc2.2,12,1986,1018962064
1975,P09_STR_sc2.2,13,1987,2239538011
1975,P09_STR_sc2.2,14,1988,1689310736
1975,P09_STR_sc2.2,15,1989,2635104146
1975,P09_STR_sc2.2,16,1990,1843176986
1975,P09_STR_sc2.2,17,1991,3091078419
1975,P09_STR_sc2.2,18,1992,5102830667
1975,P09_STR_sc2.2,19,1993,5283901486
1975,P09_STR_sc2.2,20,1994,4795354110
1975,P09_STR_sc2.4,1,1975,25117500
1975,P09_STR_sc2.4,2,1976,48243777
1975,P09_STR_sc2.4,3,1977,30192805
1975,P09_STR_sc2.4,4,1978,62420213
1975,P09_STR_sc2.4,5,1979,65068585
1975,P09_STR_sc2.4,6,1980,93466718
1975,P09_STR_sc2.4,7,1981,89599092
1975,P09_STR_sc2.4,8,1982,225177404
1975,P09_STR_sc2.4,9,1983,490555257
1975,P09_STR_sc2.4,10,1984,472979376
1975,P09_STR_sc2.4,11,1985,1095820506
1975,P09_STR_sc2.4,12,1986,1473480339
1975,P09_STR_sc2.4,13,1987,3455187391
1975,P09_STR_sc2.4,14,1988,2540372976
1975,P09_STR_sc2.4,15,1989,4077640357
1975,P09_STR_sc2.4,16,1990,2756770258
1975,P09_STR_sc2.4,17,1991,4774046220
1975,P09_STR_sc2.4,18,1992,8169376175
1975,P09_STR_sc2.4,19,1993,8339093825
1975,P09_STR_sc2.4,20,1994,7454013517
1975,NASDAQ_1x_BH,1,1975,31155000
1975,NASDAQ_1x_BH,2,1976,31801864
1975,NASDAQ_1x_BH,3,1977,28426057
1975,NASDAQ_1x_BH,4,1978,25810830
1975,NASDAQ_1x_BH,5,1979,25649348
1975,NASDAQ_1x_BH,6,1980,26437360
1975,NASDAQ_1x_BH,7,1981,20867127
1975,NASDAQ_1x_BH,8,1982,18318598
1975,NASDAQ_1x_BH,9,1983,15508175
1975,NASDAQ_1x_BH,10,1984,9525661
1975,NASDAQ_1x_BH,11,1985,5704595
1975,NASDAQ_1x_BH,12,1986,747505
1975,NASDAQ_1x_BH,13,1987,0
1975,NASDAQ_1x_BH,14,1988,0
1975,NASDAQ_1x_BH,15,1989,0
1975,NASDAQ_1x_BH,16,1990,0
1975,NASDAQ_1x_BH,17,1991,0
1975,NASDAQ_1x_BH,18,1992,0
1975,NASDAQ_1x_BH,19,1993,0
1975,NASDAQ_1x_BH,20,1994,0
1980,P09_STR_sc1.0,1,1980,30617500
1980,P09_STR_sc1.0,2,1981,24823357
1980,P09_STR_sc1.0,3,1982,33600591
1980,P09_STR_sc1.0,4,1983,39969326
1980,P09_STR_sc1.0,5,1984,34151044
1980,P09_STR_sc1.0,6,1985,45047108
1980,P09_STR_sc1.0,7,1986,49606352
1980,P09_STR_sc1.0,8,1987,66566060
1980,P09_STR_sc1.0,9,1988,54141193
1980,P09_STR_sc1.0,10,1989,63913035
1980,P09_STR_sc1.0,11,1990,50205689
1980,P09_STR_sc1.0,12,1991,60033155
1980,P09_STR_sc1.0,13,1992,71229412
1980,P09_STR_sc1.0,14,1993,73097402
1980,P09_STR_sc1.0,15,1994,66394967
1980,P09_STR_sc1.0,16,1995,98004786
1980,P09_STR_sc1.0,17,1996,110750099
1980,P09_STR_sc1.0,18,1997,128972821
1980,P09_STR_sc1.0,19,1998,188103961
1980,P09_STR_sc1.0,20,1999,316971267
1980,P09_STR_sc1.4,1,1980,33000000
1980,P09_STR_sc1.4,2,1981,27487600
1980,P09_STR_sc1.4,3,1982,43560730
1980,P09_STR_sc1.4,4,1983,61697168
1980,P09_STR_sc1.4,5,1984,55432821
1980,P09_STR_sc1.4,6,1985,88050662
1980,P09_STR_sc1.4,7,1986,106072306
1980,P09_STR_sc1.4,8,1987,172247424
1980,P09_STR_sc1.4,9,1988,140069717
1980,P09_STR_sc1.4,10,1989,187517289
1980,P09_STR_sc1.4,11,1990,146159845
1980,P09_STR_sc1.4,12,1991,204653543
1980,P09_STR_sc1.4,13,1992,282090491
1980,P09_STR_sc1.4,14,1993,300920273
1980,P09_STR_sc1.4,15,1994,283018149
1980,P09_STR_sc1.4,16,1995,516752334
1980,P09_STR_sc1.4,17,1996,649209011
1980,P09_STR_sc1.4,18,1997,847907900
1980,P09_STR_sc1.4,19,1998,1443395488
1980,P09_STR_sc1.4,20,1999,3054288979
1980,P09_STR_sc1.6,1,1980,34195000
1980,P09_STR_sc1.6,2,1981,28844660
1980,P09_STR_sc1.6,3,1982,49313141
1980,P09_STR_sc1.6,4,1983,75819785
1980,P09_STR_sc1.6,5,1984,69240504
1980,P09_STR_sc1.6,6,1985,119108318
1980,P09_STR_sc1.6,7,1986,147724628
1980,P09_STR_sc1.6,8,1987,259744551
1980,P09_STR_sc1.6,9,1988,208075349
1980,P09_STR_sc1.6,10,1989,290885130
1980,P09_STR_sc1.6,11,1990,221646741
1980,P09_STR_sc1.6,12,1991,327093250
1980,P09_STR_sc1.6,13,1992,474443358
1980,P09_STR_sc1.6,14,1993,504792442
1980,P09_STR_sc1.6,15,1994,472653713
1980,P09_STR_sc1.6,16,1995,936850683
1980,P09_STR_sc1.6,17,1996,1217090177
1980,P09_STR_sc1.6,18,1997,1655351554
1980,P09_STR_sc1.6,19,1998,2991262192
1980,P09_STR_sc1.6,20,1999,6982179632
1980,P09_STR_sc1.8,1,1980,35387500
1980,P09_STR_sc1.8,2,1981,30214291
1980,P09_STR_sc1.8,3,1982,55622726
1980,P09_STR_sc1.8,4,1983,92588967
1980,P09_STR_sc1.8,5,1984,85600697
1980,P09_STR_sc1.8,6,1985,158589932
1980,P09_STR_sc1.8,7,1986,201310324
1980,P09_STR_sc1.8,8,1987,381313173
1980,P09_STR_sc1.8,9,1988,299658179
1980,P09_STR_sc1.8,10,1989,435062802
1980,P09_STR_sc1.8,11,1990,322590108
1980,P09_STR_sc1.8,12,1991,498171843
1980,P09_STR_sc1.8,13,1992,756131070
1980,P09_STR_sc1.8,14,1993,798827893
1980,P09_STR_sc1.8,15,1994,741514634
1980,P09_STR_sc1.8,16,1995,1588735718
1980,P09_STR_sc1.8,17,1996,2126006828
1980,P09_STR_sc1.8,18,1997,3003133567
1980,P09_STR_sc1.8,19,1998,5737528208
1980,P09_STR_sc1.8,20,1999,14695909314
1980,P09_STR_sc2.0,1,1980,36572500
1980,P09_STR_sc2.0,2,1981,31588286
1980,P09_STR_sc2.0,3,1982,62506402
1980,P09_STR_sc2.0,4,1983,112384762
1980,P09_STR_sc2.0,5,1984,104871958
1980,P09_STR_sc2.0,6,1985,208392828
1980,P09_STR_sc2.0,7,1986,269597194
1980,P09_STR_sc2.0,8,1987,548218926
1980,P09_STR_sc2.0,9,1988,421537886
1980,P09_STR_sc2.0,10,1989,633387510
1980,P09_STR_sc2.0,11,1990,455706622
1980,P09_STR_sc2.0,12,1991,732894038
1980,P09_STR_sc2.0,13,1992,1159899150
1980,P09_STR_sc2.0,14,1993,1213337047
1980,P09_STR_sc2.0,15,1994,1113724256
1980,P09_STR_sc2.0,16,1995,2572905509
1980,P09_STR_sc2.0,17,1996,3537033049
1980,P09_STR_sc2.0,18,1997,5180432872
1980,P09_STR_sc2.0,19,1998,10430567411
1980,P09_STR_sc2.0,20,1999,29176992957
1980,P09_STR_sc2.2,1,1980,37745000
