year,P09_STR_sc1.0_aftertax_pct,P09_STR_sc1.4_aftertax_pct,P09_STR_sc1.6_aftertax_pct,P09_STR_sc1.8_aftertax_pct,P09_STR_sc2.0_aftertax_pct,N4_aftertax_pct,X4_aftertax_pct,NASDAQ_1x_BH_aftertax_pct
1974,23.44,23.44,23.44,23.44,23.44,26.57,27.02,
1975,-0.91,0.02,0.32,0.52,0.61,-1.26,-1.56,24.62
1976,52.35,74.15,85.98,98.44,111.56,95.00,95.93,21.59
1977,-11.21,-16.99,-19.78,-22.49,-25.13,-20.28,-20.24,6.06
1978,54.78,77.31,89.69,102.89,116.94,115.26,119.81,10.18
1979,23.85,21.50,20.12,18.61,16.97,31.24,33.65,23.25
1980,22.47,32.00,36.78,41.55,46.29,50.87,53.74,28.03
1981,-3.10,-1.83,-1.20,-0.57,0.05,-1.34,-1.25,-2.66
1982,69.50,93.71,106.81,120.60,135.09,123.01,125.20,15.45
1983,39.75,60.00,71.10,82.90,95.43,81.97,83.69,16.44
1984,-2.34,-2.23,-2.23,-2.27,-2.34,-3.16,-3.48,-9.35
1985,54.53,74.59,85.41,96.76,108.66,97.78,99.00,26.05
1986,23.87,27.72,29.46,31.07,32.55,32.71,32.82,6.09
1987,49.23,70.42,81.99,94.24,107.19,101.54,105.10,-4.34
1988,-12.06,-16.25,-18.32,-20.37,-22.40,-21.92,-22.48,12.74
1989,30.06,38.83,43.24,47.65,52.06,44.67,44.59,15.92
1990,-14.78,-19.92,-22.47,-24.99,-27.48,-26.08,-26.65,-14.73
1991,32.80,44.98,50.98,56.86,62.61,57.09,57.86,47.04
1992,29.43,41.29,47.30,53.32,59.35,52.39,52.91,12.78
1993,10.37,8.60,7.53,6.35,5.06,5.30,4.68,12.20
1994,-2.50,-4.36,-5.43,-6.59,-7.83,-7.69,-7.87,-2.65
1995,59.63,85.87,100.33,115.71,132.06,118.95,121.22,33.02
1996,19.08,26.86,30.61,34.24,37.74,33.07,33.44,18.78
1997,21.96,31.62,36.57,41.59,46.67,39.43,39.58,17.90
1998,51.73,71.24,81.25,91.37,101.54,92.56,94.09,32.79
1999,73.11,112.34,133.81,156.36,179.86,162.12,166.92,70.80
2000,-6.10,-10.32,-12.46,-14.62,-16.80,-15.71,-16.20,-32.50
2001,2.79,2.79,2.79,2.79,2.79,2.79,2.79,-17.42
2002,15.00,15.00,15.00,15.00,15.00,15.00,15.00,-26.08
2003,86.70,132.16,157.62,184.91,213.96,207.27,215.37,41.37
2004,0.04,-3.01,-4.78,-6.69,-8.74,-8.25,-8.93,7.11
2005,5.10,3.06,1.77,0.30,-1.32,1.49,1.36,1.14
2006,45.66,62.92,71.83,80.89,90.06,87.13,89.53,7.88
2007,19.91,19.71,19.12,18.21,16.98,16.68,16.32,8.12
2008,20.34,20.34,20.34,20.34,20.34,20.34,20.34,-33.54
2009,27.16,42.03,49.72,57.55,65.49,63.47,65.64,36.31
2010,53.01,70.14,78.63,87.00,95.16,93.15,95.54,13.99
2011,13.88,10.95,9.28,7.49,5.58,6.80,6.45,-1.49
2012,30.86,42.20,47.79,53.27,58.62,56.92,58.43,13.16
2013,7.30,13.47,16.42,19.26,21.98,15.19,15.04,31.70
2014,4.87,4.79,4.62,4.36,4.00,4.69,4.54,11.08
2015,-16.97,-22.39,-25.10,-27.79,-30.46,-29.99,-30.74,4.74
2016,9.92,9.57,8.72,7.43,5.70,7.77,7.54,6.21
2017,29.03,41.24,47.58,54.07,60.69,59.67,61.34,23.36
2018,-0.69,-0.93,-1.26,-1.73,-2.34,-2.14,-2.31,-3.21
2019,39.93,49.31,53.34,56.86,59.80,57.91,58.36,29.14
2020,74.23,105.56,122.30,139.65,157.49,151.47,155.96,36.10
2021,24.08,33.24,37.67,41.98,46.11,40.01,40.59,17.70
2022,0.67,0.67,0.67,0.67,0.67,0.67,0.67,-27.38
2023,36.57,48.10,53.21,57.79,61.79,61.59,62.96,35.92
2024,24.12,28.45,30.04,31.23,31.99,34.81,36.02,23.69
2025,33.34,41.02,44.49,47.67,50.54,57.82,59.80,16.84
