year,sc2.4_pct,sc2.6_pct
1975,0.5,0.2
1976,139.8,155.0
1977,-30.2,-32.6
1978,147.8,164.6
1979,13.3,11.3
1980,55.6,60.1
1981,1.3,1.9
1982,166.2,182.8
1983,122.8,137.7
1984,-2.6,-2.8
1985,134.2,147.8
1986,35.1,36.1
1987,135.3,150.5
1988,-26.4,-28.3
1989,60.8,65.2
1990,-32.3,-34.7
1991,73.5,78.6
1992,71.3,77.2
1993,2.1,0.5
1994,-10.6,-12.0
1995,167.7,187.1
1996,44.2,47.2
1997,57.0,62.2
1998,121.7,131.6
1999,228.9,254.0
2000,-21.2,-23.5
2001,2.8,2.8
2002,15.0,15.0
2003,277.1,310.9
2004,-13.2,-15.5
2005,-5.0,-7.0
2006,108.6,117.8
2007,13.6,11.4
2008,20.3,20.3
2009,81.5,89.6
2010,110.6,117.7
2011,1.5,-0.8
2012,68.8,73.6
2013,27.0,29.3
2014,3.0,2.4
2015,-35.7,-38.2
2016,1.0,-2.0
2017,74.3,81.3
2018,-4.0,-4.9
2019,63.8,64.7
2020,194.1,212.6
2021,53.8,57.3
2022,0.7,0.7
2023,67.8,69.7
2024,32.3,31.7
2025,55.2,57.0
