year,X4eq_sc1.4_pct,X4eq_sc1.6_pct,X4eq_sc1.8_pct,X4eq_sc2.2_pct
1975,-2.4,-1.4,-1.7,-2.1
1976,50.7,65.0,66.7,71.9
1977,-8.9,-13.4,-13.5,-14.3
1978,64.5,77.3,82.5,93.1
1979,36.6,31.6,34.6,38.2
1980,31.0,35.5,38.8,44.6
1981,-3.5,-2.5,-2.5,-2.3
1982,72.1,87.2,90.4,98.0
1983,40.4,53.3,55.5,61.3
1984,-3.4,-3.1,-3.3,-3.7
1985,55.3,68.1,70.3,76.1
1986,24.9,27.2,27.8,29.0
1987,55.7,68.3,72.3,81.1
1988,-13.8,-16.1,-17.0,-18.6
1989,27.9,34.1,34.3,35.8
1990,-16.1,-19.2,-20.0,-21.8
1991,33.6,41.4,42.8,46.2
1992,29.1,36.9,38.0,41.0
1993,8.9,8.1,7.5,6.5
1994,-3.2,-4.2,-4.6,-5.4
1995,62.1,78.5,81.9,90.3
1996,18.7,23.9,24.6,26.4
1997,20.4,27.1,27.6,29.6
1998,53.6,65.9,68.3,74.2
1999,79.5,103.6,109.5,123.2
2000,-7.2,-9.7,-10.4,-12.0
2001,2.8,2.8,2.8,2.8
2002,15.0,15.0,15.0,15.0
2003,102.1,128.9,138.4,158.8
2004,-1.6,-3.2,-4.0,-5.5
2005,6.1,4.5,4.5,4.2
2006,51.0,61.2,64.5,71.3
2007,18.9,19.1,18.7,18.1
2008,20.3,20.3,20.3,20.3
2009,32.4,41.0,44.0,50.0
2010,59.2,69.1,72.5,79.2
2011,13.4,11.6,11.2,10.1
2012,34.7,41.3,43.5,47.8
2013,4.9,9.4,9.3,9.9
2014,4.9,4.9,4.9,4.8
2015,-19.5,-22.4,-23.5,-25.7
2016,10.5,10.2,10.2,10.0
2017,33.4,40.5,42.9,47.9
2018,-0.9,-1.0,-1.1,-1.4
2019,41.6,47.4,48.6,51.3
2020,83.6,102.2,108.1,120.8
2021,23.7,29.8,30.6,32.7
2022,0.7,0.7,0.7,0.7
2023,40.8,47.5,49.7,54.0
2024,28.7,30.5,32.1,34.5
2025,41.9,45.0,48.0,53.1
