scale,gold_w,bond_w,CAGR_OOS,CAGR_IS,MaxDD,Sharpe,feasible
1.400000,0.000000,0.000000,0.243414,0.274877,-0.464781,1.073639,0
1.400000,0.000000,0.050000,0.233895,0.264894,-0.442687,1.080667,1
1.400000,0.000000,0.070000,0.230007,0.260856,-0.433655,1.083593,1
1.400000,0.000000,0.100000,0.224093,0.254751,-0.419897,1.088105,1
1.400000,0.000000,0.140000,0.216056,0.246524,-0.401154,1.094351,1
1.400000,0.100000,0.000000,0.240565,0.255977,-0.427401,1.093668,1
1.400000,0.100000,0.050000,0.230377,0.245710,-0.404172,1.102149,1
1.400000,0.100000,0.070000,0.226226,0.241561,-0.394682,1.105688,1
1.400000,0.100000,0.100000,0.219922,0.235294,-0.380230,1.111152,1
1.400000,0.100000,0.140000,0.211374,0.226858,-0.361771,1.118727,1
1.400000,0.180000,0.000000,0.237175,0.240327,-0.396292,1.110119,1
1.400000,0.180000,0.050000,0.226468,0.229850,-0.372144,1.119754,1
1.400000,0.180000,0.070000,0.222114,0.225620,-0.362282,1.123770,1
1.400000,0.180000,0.100000,0.215508,0.219235,-0.348623,1.129963,1
1.400000,0.180000,0.140000,0.206564,0.210647,-0.336031,1.138521,1
1.400000,0.240000,0.000000,0.233993,0.228299,-0.372259,1.122250,1
1.400000,0.240000,0.050000,0.222907,0.217676,-0.347416,1.132631,1
1.400000,0.240000,0.070000,0.218404,0.213390,-0.338653,1.136941,1
1.400000,0.240000,0.100000,0.211578,0.206922,-0.329131,1.143562,1
1.400000,0.240000,0.140000,0.202346,0.198228,-0.316303,1.152641,1
1.400000,0.280000,0.000000,0.231570,0.220149,-0.355905,1.129968,1
1.400000,0.280000,0.050000,0.220237,0.209433,-0.331953,1.140716,1
1.400000,0.280000,0.070000,0.215636,0.205111,-0.325574,1.145155,1
1.400000,0.280000,0.100000,0.208666,0.198592,-0.315935,1.151938,1
1.400000,0.280000,0.140000,0.199247,0.189832,-0.302950,1.161153,1
1.400000,0.320000,0.000000,0.228909,0.211898,-0.339284,1.137144,1
1.400000,0.320000,0.050000,0.217331,0.201094,-0.318792,1.148084,1
1.400000,0.320000,0.070000,0.212636,0.196738,-0.314031,1.152562,1
1.400000,0.320000,0.100000,0.205525,0.190169,-0.308419,1.159349,1
1.400000,0.320000,0.140000,0.195922,0.181346,-0.300887,1.168424,1
1.400000,0.380000,0.000000,0.224473,0.199340,-0.328480,1.146245,1
1.400000,0.380000,0.050000,0.212539,0.188412,-0.319248,1.156952,1
1.400000,0.380000,0.070000,0.207703,0.184008,-0.315530,1.161227,1
1.400000,0.380000,0.100000,0.200386,0.177369,-0.309927,1.167551,1
1.400000,0.380000,0.140000,0.190514,0.168458,-0.302407,1.175615,1
1.400000,0.440000,0.000000,0.219512,0.186576,-0.330112,1.152128,1
1.400000,0.440000,0.050000,0.207231,0.175532,-0.320896,1.161608,1
1.400000,0.440000,0.070000,0.202261,0.171084,-0.317185,1.165182,1
1.400000,0.440000,0.100000,0.194743,0.164382,-0.311593,1.170158,1
1.600000,0.000000,0.000000,0.262127,0.302649,-0.519521,1.055420,1
1.600000,0.000000,0.050000,0.252568,0.291751,-0.496448,1.062057,1
1.600000,0.000000,0.070000,0.248631,0.287327,-0.486981,1.064836,1
1.600000,0.000000,0.100000,0.242608,0.280623,-0.472522,1.069145,1
1.600000,0.000000,0.140000,0.234359,0.271561,-0.452756,1.075158,1
