year,P09_STR_sc1.0_pct,P09_STR_sc1.4_pct,P09_STR_sc1.6_pct,P09_STR_sc1.8_pct,P09_STR_sc2.0_pct,N4_pct,X4_pct,NASDAQ_1x_BH_pct
1975,-0.9,0.0,0.3,0.5,0.6,-1.3,-1.6,24.6
1976,52.4,74.2,86.0,98.4,111.6,95.0,95.9,21.6
1977,-11.2,-17.0,-19.8,-22.5,-25.1,-20.3,-20.2,6.1
1978,54.8,77.3,89.7,102.9,116.9,115.3,119.8,10.2
1979,23.9,21.5,20.1,18.6,17.0,31.2,33.7,23.3
1980,22.5,32.0,36.8,41.6,46.3,50.9,53.7,28.0
1981,-3.1,-1.8,-1.2,-0.6,0.1,-1.3,-1.2,-2.7
1982,69.5,93.7,106.8,120.6,135.1,123.0,125.2,15.5
1983,39.8,60.0,71.1,82.9,95.4,82.0,83.7,16.4
1984,-2.3,-2.2,-2.2,-2.3,-2.3,-3.2,-3.5,-9.4
1985,54.5,74.6,85.4,96.8,108.7,97.8,99.0,26.1
1986,23.9,27.7,29.5,31.1,32.6,32.7,32.8,6.1
1987,49.2,70.4,82.0,94.2,107.2,101.5,105.1,-4.3
1988,-12.1,-16.3,-18.3,-20.4,-22.4,-21.9,-22.5,12.7
1989,30.1,38.8,43.2,47.7,52.1,44.7,44.6,15.9
1990,-14.8,-19.9,-22.5,-25.0,-27.5,-26.1,-26.7,-14.7
1991,32.8,45.0,51.0,56.9,62.6,57.1,57.9,47.0
1992,29.4,41.3,47.3,53.3,59.4,52.4,52.9,12.8
1993,10.4,8.6,7.5,6.4,5.1,5.3,4.7,12.2
1994,-2.5,-4.4,-5.4,-6.6,-7.8,-7.7,-7.9,-2.7
1995,59.6,85.9,100.3,115.7,132.1,118.9,121.2,33.0
1996,19.1,26.9,30.6,34.2,37.7,33.1,33.4,18.8
1997,22.0,31.6,36.6,41.6,46.7,39.4,39.6,17.9
1998,51.7,71.2,81.3,91.4,101.5,92.6,94.1,32.8
1999,73.1,112.3,133.8,156.4,179.9,162.1,166.9,70.8
2000,-6.1,-10.3,-12.5,-14.6,-16.8,-15.7,-16.2,-32.5
2001,2.8,2.8,2.8,2.8,2.8,2.8,2.8,-17.4
2002,15.0,15.0,15.0,15.0,15.0,15.0,15.0,-26.1
2003,86.7,132.2,157.6,184.9,214.0,207.3,215.4,41.4
2004,0.0,-3.0,-4.8,-6.7,-8.7,-8.3,-8.9,7.1
2005,5.1,3.1,1.8,0.3,-1.3,1.5,1.4,1.1
2006,45.7,62.9,71.8,80.9,90.1,87.1,89.5,7.9
2007,19.9,19.7,19.1,18.2,17.0,16.7,16.3,8.1
2008,20.3,20.3,20.3,20.3,20.3,20.3,20.3,-33.5
2009,27.2,42.0,49.7,57.6,65.5,63.5,65.6,36.3
2010,53.0,70.1,78.6,87.0,95.2,93.1,95.5,14.0
2011,13.9,11.0,9.3,7.5,5.6,6.8,6.5,-1.5
2012,30.9,42.2,47.8,53.3,58.6,56.9,58.4,13.2
2013,7.3,13.5,16.4,19.3,22.0,15.2,15.0,31.7
2014,4.9,4.8,4.6,4.4,4.0,4.7,4.5,11.1
2015,-17.0,-22.4,-25.1,-27.8,-30.5,-30.0,-30.7,4.7
2016,9.9,9.6,8.7,7.4,5.7,7.8,7.5,6.2
2017,29.0,41.2,47.6,54.1,60.7,59.7,61.3,23.4
2018,-0.7,-0.9,-1.3,-1.7,-2.3,-2.1,-2.3,-3.2
2019,39.9,49.3,53.3,56.9,59.8,57.9,58.4,29.1
2020,74.2,105.6,122.3,139.7,157.5,151.5,156.0,36.1
2021,24.1,33.2,37.7,42.0,46.1,40.0,40.6,17.7
2022,0.7,0.7,0.7,0.7,0.7,0.7,0.7,-27.4
2023,36.6,48.1,53.2,57.8,61.8,61.6,63.0,35.9
2024,24.1,28.5,30.0,31.2,32.0,34.8,36.0,23.7
2025,33.3,41.0,44.5,47.7,50.5,57.8,59.8,16.8
