label,nonsat,veto,veto_flags,d1_ret,d2_rob,d3_risk,d4_tail,d5_cost,d6_sig,total,total_agg,total_def
V7_TQQQ,False,OK,,6.404,6.643,7.382,7.149,9.0,6.0,7.001,6.859,7.075
P09_TQQQ,False,OK,,8.253,8.85,7.678,8.513,8.42,6.5,8.153,8.187,8.108
LU1_cfd,False,OK,,8.847,8.788,7.685,9.064,5.997,6.704,8.117,8.328,8.072
vz065_l5,False,FAIL,MaxDD<-50%|Regime<-10%,7.087,2.234,3.205,2.923,0.0,1.476,3.216,3.557,3.057
P09_C1,False,OK,,8.789,9.399,7.855,8.824,8.42,6.75,8.498,8.565,8.423
LU1_C1_k365,False,OK,,9.467,9.228,7.897,9.254,5.996,6.962,8.44,8.681,8.362
LU2_C1_k365,False,OK,,10.0,8.965,7.173,9.283,4.944,7.122,8.302,8.66,8.176
B3a_k365,False,OK,,10.0,8.689,7.414,9.513,4.071,7.506,8.268,8.669,8.179
B3c_k365,False,OK,,10.0,8.854,7.629,9.52,4.367,7.447,8.361,8.737,8.275
P09_C1_nonsat,True,OK,,5.549,9.399,7.855,5.614,8.42,6.75,7.143,6.888,7.069
LU1_C1_k365_nonsat,True,OK,,5.977,9.228,7.897,5.999,5.996,6.962,7.021,6.925,6.955
LU2_C1_k365_nonsat,True,OK,,6.728,8.965,7.173,6.026,4.944,7.122,6.93,6.962,6.806
B3a_k365_nonsat,True,OK,,7.755,8.689,7.414,6.802,4.071,7.506,7.231,7.385,7.12
B3c_k365_nonsat,True,OK,,7.329,8.854,7.629,6.65,4.367,7.447,7.199,7.298,7.104
