year,BASELINE_DH-W1,SHORT_L1.0,SHORT_L1.5,SHORT_L2.0
1974,0.00,51.55,86.27,128.24
1975,0.88,-12.39,-18.78,-24.73
1976,33.91,31.28,30.14,29.01
1977,-4.31,-5.61,-6.75,-7.90
1978,48.54,64.61,72.92,81.36
1979,15.87,16.51,13.41,10.26
1980,28.62,28.72,26.13,23.12
1981,-0.28,19.47,29.28,39.62
1982,50.66,68.25,77.24,86.36
1983,41.70,63.67,75.97,89.03
1984,-6.53,8.85,17.22,26.07
1985,39.98,40.59,40.33,40.03
1986,29.08,38.15,43.17,48.31
1987,17.92,46.38,59.41,71.78
1988,-6.95,-14.55,-18.26,-21.87
1989,21.95,23.06,23.46,23.83
1990,-12.73,-18.87,-21.54,-24.16
1991,26.55,2.19,-7.76,-16.66
1992,19.03,14.97,15.20,15.24
1993,2.09,-2.09,-6.29,-10.43
1994,-2.53,2.32,3.51,4.53
1995,51.00,45.35,41.80,38.06
1996,16.21,9.18,6.77,4.12
1997,22.41,15.91,12.85,9.28
1998,28.00,7.01,-3.56,-13.85
1999,70.22,31.97,12.92,-3.97
2000,-12.79,11.82,16.86,16.01
2001,0.00,1.32,-3.78,-12.12
2002,0.00,28.20,40.07,49.12
2003,63.51,60.32,57.71,54.51
2004,1.67,-8.93,-13.84,-18.53
2005,4.64,3.86,3.28,2.55
2006,23.57,34.87,40.54,46.14
2007,4.14,-0.29,-3.69,-7.30
2008,0.00,34.70,48.49,57.64
2009,36.43,12.91,0.77,-11.07
2010,46.43,46.43,46.43,46.43
2011,-7.64,-12.53,-16.67,-21.37
2012,24.70,27.86,28.16,28.13
2013,9.71,-8.50,-15.77,-22.41
2014,2.17,-10.01,-15.13,-20.14
2015,-13.73,-22.30,-26.30,-30.29
2016,-2.09,-0.96,-0.93,-1.11
2017,21.88,19.82,18.53,17.26
2018,-7.62,2.93,6.67,9.87
2019,24.65,6.67,-0.73,-7.69
2020,58.96,19.91,4.21,-11.04
2021,22.38,3.87,-2.27,-8.37
2022,0.00,32.92,48.90,63.32
2023,26.95,11.27,4.05,-2.74
2024,21.93,21.93,21.93,21.93
2025,21.24,-1.05,-8.91,-16.84
2026,-6.13,-2.97,-1.43,0.06
