source_csv,condition,CAGR_IS_at,CAGR_OOS_at,min_IS_OOS_at,IS_OOS_gap_pp,Sharpe_OOS,MaxDD_FULL,Worst10Y_star_at,P10_5Y_at,Worst5Y_at,Trades_yr,WFE,CI95_lo
p03_backtest_metrics_20260611.csv,C0,0.159331,0.164996,0.159331,-0.5665000000000003,0.879397,-0.343789,0.095416,0.048727,-0.005289,17.643253,,
p03_backtest_metrics_20260611.csv,C1 (p03),0.163415,0.166776,0.163415,-0.3361000000000003,0.872744,-0.343789,0.100446,0.051929,0.003352,25.221049,,
p03_backtest_metrics_20260611.csv,C2,0.118765,0.132836,0.118765,-1.4071000000000013,0.790163,-0.417745,0.046292,0.021793,-0.067575,23.441415,,
p03_backtest_metrics_20260611.csv,C3,0.120241,0.134953,0.120241,-1.471199999999999,0.795388,-0.410882,0.048949,0.021482,-0.064601,30.081555,,
p03_backtest_metrics_20260611.csv,C3b,0.135225,0.136543,0.135225,-0.13179999999999858,0.804065,-0.371048,0.065343,0.029792,-0.051966,25.221049,,
p01_backtest_metrics_20260611.csv,C1 (p01),0.150737,0.155931,0.150737,-0.5193999999999976,0.827421,-0.346614,0.088324,0.040333,-0.009726,25.201914,,
p01_backtest_metrics_20260611.csv,P13,0.186975,0.142017,0.142017,4.4958,0.754256,-0.358843,0.103689,0.064738,-0.011284,29.201306,,
p01_backtest_metrics_20260611.csv,P01_w63,0.191492,0.143437,0.143437,4.8054999999999986,0.764443,-0.352152,0.10534,0.068007,-0.009749,29.201306,,
p01_backtest_metrics_20260611.csv,P01_w21,0.19006,0.143634,0.143634,4.6426,0.765512,-0.355321,0.104881,0.067038,-0.011609,29.201306,,
p01_backtest_metrics_20260611.csv,P01_w126,0.19,0.144032,0.144032,4.596800000000001,0.766776,-0.352766,0.105912,0.067524,-0.008563,29.201306,,
p07_backtest_metrics_20260611.csv,C1 (p07),0.150737,0.155931,0.150737,-0.5193999999999976,0.827421,-0.346614,0.088324,0.040333,-0.009726,25.201914,,
p07_backtest_metrics_20260611.csv,P07_st20,0.133459,0.138546,0.133459,-0.5087000000000008,0.799383,-0.326425,0.074939,0.036627,-0.012032,26.484015,,
p07_backtest_metrics_20260611.csv,P07_st15,0.121131,0.129646,0.121131,-0.8515000000000008,0.818512,-0.306645,0.057443,0.034899,-0.017784,27.268585,,
p07_backtest_metrics_20260611.csv,P07_st25,0.14406,0.143378,0.143378,0.06819999999999882,0.786817,-0.311372,0.085447,0.03947,-0.009211,26.101299,,
p02_p09_backtest_metrics_20260611.csv,C1 (p02),0.150737,0.155931,0.150737,-0.5193999999999976,0.827421,-0.346614,0.088324,0.040333,-0.009726,25.201914,,
p02_p09_backtest_metrics_20260611.csv,P02a,0.189282,0.136803,0.136803,5.2479,0.742771,-0.305614,0.100532,0.069126,-0.008996,34.444529,,
p02_p09_backtest_metrics_20260611.csv,P02b,0.172105,0.15551,0.15551,1.6595,0.82644,-0.343213,0.099845,0.051588,-0.020241,31.287114,,
p02_p09_backtest_metrics_20260611.csv,P02c,0.190551,0.14029,0.14029,5.0261,0.755887,-0.329123,0.10311,0.068748,-0.00927,29.201306,,
p02_p09_backtest_metrics_20260611.csv,P09,0.176717,0.163591,0.163591,1.3126000000000027,0.854465,-0.353447,0.101322,0.05573,-0.018186,29.201306,,
p09_tqqq_validate_20260611.csv,P09_TQQQ (validate),0.188385,0.175148,0.175148,1.3236999999999999,0.901306,-0.351847,0.114454,0.065612,-0.005854,29.201306,1.016783301141782,0.1794345028812978
p09_tqqq_validate_20260611.csv,"LU1 (TQQQ-cost, validate)",0.194805,0.181234,0.181234,1.3571,0.903092,-0.349508,0.123729,0.069212,-0.000721,35.229099,,
p09_tqqq_validate_20260611.csv,"LU2 (TQQQ-cost, validate)",0.209082,0.191231,0.191231,1.7850999999999977,0.882215,-0.386422,0.126802,0.069765,-0.007422,29.201306,,
cost_model_cfd_vs_tqqq_20260611.csv,V7 baseline CFD (cost_model),0.150737,0.155931,0.150737,-0.5193999999999976,0.827421,-0.346614,0.088324,0.040333,-0.009726,25.201914,,
cost_model_cfd_vs_tqqq_20260611.csv,V7 baseline TQQQ (cost_model),0.162746,0.168044,0.162746,-0.5297999999999997,0.87728,-0.344655,0.100822,0.051536,0.003992,25.201914,,
tqqq_correction_etf_strategies_20260611.csv,V7 CFD (tqqq_correction),0.150737,0.155931,0.150737,-0.5193999999999976,0.827421,-0.346614,0.088324,0.040333,-0.009726,25.201914,,
tqqq_correction_etf_strategies_20260611.csv,V7 TQQQ (tqqq_correction),0.162746,0.168044,0.162746,-0.5297999999999997,0.87728,-0.344655,0.100822,0.051536,0.003992,25.201914,,
lu_cfd_recost_20260611.csv,P09_TQQQ,0.188385,0.175148,0.175148,1.3236999999999999,0.901306,-0.351847,0.114454,0.065612,-0.005854,29.201306,1.016783301141782,0.1794345028812978
lu_cfd_recost_20260611.csv,LU1_tqqq,0.194805,0.181234,0.181234,1.3571,0.903092,-0.349508,0.123729,0.069212,-0.000721,35.229099,,
lu_cfd_recost_20260611.csv,LU1_cfd,0.193915,0.18049,0.18049,1.3424999999999994,0.900235,-0.349546,0.122717,0.068163,-0.00192,35.229099,1.0121696551100778,0.185639389764418
lu_cfd_recost_20260611.csv,LU2_tqqq,0.209082,0.191231,0.191231,1.7850999999999977,0.882215,-0.386422,0.126802,0.069765,-0.007422,29.201306,,
lu_cfd_recost_20260611.csv,LU2_cfd,0.206345,0.188309,0.188309,1.8035999999999996,0.872002,-0.386808,0.123735,0.066963,-0.010386,29.201306,0.9877587037310056,0.1973999379595545
