series,variant,cagr,maxdd_annual,worst10y,worst5y,p_labor0,p_min,p_max
sc1.4,a,0.2849509498312057,-0.223885860657139,0.18357278637886965,0.04512981984047526,,,
sc1.4,b,0.28380049923504735,-0.2706223385194476,0.18180357690221483,0.04274279507506806,,,
sc1.4,c,0.27359174131493047,-0.2706223385194476,0.17481763775854686,0.03976161157800173,,,
sc1.6,a,0.3151551606665006,-0.25095463441954746,0.19902532786581584,0.0442217236942235,,,
sc1.6,b,0.31348528014247723,-0.30334175561410304,0.19234794163557467,0.0408040102252889,,,
sc1.6,c,0.302298004352898,-0.3033417556141028,0.18488598523845368,0.03768844653907455,,,
sc2.0,a,0.37141631384408713,-0.30455991489666334,0.2165435174461554,0.03711233359053456,,,
sc2.0,b,0.3681804229826555,-0.3681372112857044,0.20629220331606635,0.03100378953466576,,,
sc2.0,c,0.35533166674571737,-0.3681372112857044,0.1981001136978382,0.027756493224271317,,,
sc2.6,a,0.44308988602380595,-0.3945383000159155,0.22547331089704836,0.013363751482040387,,,
sc2.6,b,0.4362095938969939,-0.4750006960587939,0.20806719099215276,0.0004677913960371427,,,
sc2.6,c,0.42139608323236355,-0.4750006960587939,0.1993213568212342,-0.0013083333907046857,,,
bond,a,0.05067887200862797,-0.27748765596099223,-0.010334422979218716,-0.05801698189640325,,,
bond,b,0.04907332439421852,-0.3313854206350101,-0.017899773015835785,-0.07151162004911749,,,
bond,c,0.046692441732021805,-0.3313854206350102,-0.018797826194825284,-0.07151162004911749,,,
V7_adopted,a,,,,,0.9983000000000001,0.997,1.0
B0_nominal,a,,,,,0.8785000000000001,0.8625,0.89
V7_adopted,b,,,,,0.9957,0.994,0.998
B0_nominal,b,,,,,0.8663000000000001,0.849,0.8805
V7_adopted,c,,,,,0.9949999999999999,0.9935,0.997
B0_nominal,c,,,,,0.8605,0.841,0.8755
