strategy,model,tax,CAGR_IS,CAGR_OOS,CAGR_FULL,IS_OOS_gap_pp,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,Trades_yr
DH_W1,CFD,pretax,0.178064,0.186798,0.178875,-0.873310,0.834576,-0.346361,0.101135,0.045580,-0.020793,17.624117
DH_W1,CFD,aftertax,0.147313,0.154538,0.147983,-0.722490,0.834576,-0.346361,0.083669,0.037708,-0.017202,17.624117
DH_W1,TQQQ,pretax,0.191624,0.200600,0.192457,-0.897583,0.882707,-0.344400,0.115269,0.057951,-0.005201,17.624117
DH_W1,TQQQ,aftertax,0.158531,0.165956,0.159219,-0.742570,0.882707,-0.344400,0.095362,0.047943,-0.004302,17.624117
V0,CFD,pretax,0.162332,0.176551,0.163648,-1.421959,0.873449,-0.288589,0.103375,0.048210,-0.003950,31.229706
V0,CFD,aftertax,0.134297,0.146061,0.135386,-1.176386,0.873449,-0.288589,0.085522,0.039884,-0.003268,31.229706
V0,TQQQ,pretax,0.172528,0.186246,0.173798,-1.371851,0.912076,-0.287101,0.114714,0.058138,0.009056,31.229706
V0,TQQQ,aftertax,0.142732,0.154082,0.143783,-1.134932,0.912076,-0.287101,0.094903,0.048097,0.007492,31.229706
V7,CFD,pretax,0.182204,0.188482,0.182787,-0.627798,0.827421,-0.346614,0.106761,0.048752,-0.011757,25.201914
V7,CFD,aftertax,0.150737,0.155931,0.151219,-0.519377,0.827421,-0.346614,0.088324,0.040333,-0.009726,25.201914
V7,TQQQ,pretax,0.196719,0.203124,0.197314,-0.640434,0.877280,-0.344655,0.121868,0.062295,0.004826,25.201914
V7,TQQQ,aftertax,0.162746,0.168044,0.163238,-0.529831,0.877280,-0.344655,0.100822,0.051536,0.003992,25.201914
P7,CFD,pretax,0.215054,0.191424,0.212926,2.362991,0.817727,-0.482463,0.122836,0.065509,-0.028079,17.624117
P7,CFD,aftertax,0.177914,0.158365,0.176154,1.954903,0.817727,-0.482463,0.101623,0.054196,-0.023230,17.624117
P7,TQQQ,pretax,0.228321,0.204555,0.226181,2.376554,0.860848,-0.481014,0.137902,0.077087,-0.013984,17.624117
P7,TQQQ,aftertax,0.188890,0.169228,0.187120,1.966123,0.860848,-0.481014,0.114086,0.063774,-0.011569,17.624117
