strategy,basis,WFE,CI95_lo,t_p,n_windows,beta_pass,alpha_pass
DH_W1,CFD,0.996091,0.136859,0.000000,49,True,True
DH_W1,TQQQ,0.996005,0.149903,0.000000,49,True,True
V0,CFD,1.043153,0.125743,0.000000,49,True,True
V0,TQQQ,1.035734,0.135471,0.000000,49,True,True
V7,CFD,0.974896,0.140887,0.000000,49,True,True
V7,TQQQ,0.976166,0.154828,0.000000,49,True,True
P7,CFD,1.041909,0.165735,0.000000,49,True,True
P7,TQQQ,1.042175,0.178466,0.000000,49,True,True
P09_TQQQ,TQQQ,1.016783,0.179435,0.000000,49,True,True
LU1,TQQQ,1.011928,0.186672,0.000000,49,True,True
LU2,TQQQ,0.989745,0.200686,0.000000,49,True,True
