param,value,is_center,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,Trades_yr
vz_thr,0.55,False,0.312749,0.900254,-0.509261,0.184647,27.12
vz_thr,0.6,False,0.312848,0.900398,-0.510580,0.188014,27.12
vz_thr,0.65,True,0.334871,0.949320,-0.518185,0.183265,27.12
vz_thr,0.7,False,0.305773,0.895523,-0.540705,0.169409,27.12
vz_thr,0.75,False,0.297788,0.880730,-0.550946,0.162503,27.12
l_max,3.5,False,0.248835,0.891334,-0.454869,0.162358,27.12
l_max,4.0,False,0.281823,0.915048,-0.478546,0.170616,27.12
l_max,5.0,True,0.334871,0.949320,-0.518185,0.183265,27.12
l_max,6.0,False,0.353022,0.939125,-0.549040,0.195432,27.12
l_max,7.0,False,0.369885,0.945237,-0.586758,0.187350,27.12
k_lo,0.05,False,0.339185,0.957312,-0.516167,0.185018,27.12
k_lo,0.08,False,0.337364,0.953838,-0.517377,0.183968,27.12
k_lo,0.1,True,0.334871,0.949320,-0.518185,0.183265,27.12
k_lo,0.12,False,0.332422,0.945124,-0.518994,0.182558,27.12
k_lo,0.15,False,0.328722,0.938637,-0.520208,0.181550,27.12
k_hi,0.65,False,0.335744,0.951396,-0.520221,0.180709,27.12
k_hi,0.7,False,0.335211,0.950195,-0.519541,0.182141,27.12
k_hi,0.75,False,0.335049,0.949760,-0.518861,0.182802,27.12
k_hi,0.8,True,0.334871,0.949320,-0.518185,0.183265,27.12
k_hi,0.85,False,0.334493,0.948494,-0.517378,0.183253,27.12
N_lt2,600,False,0.293231,0.874939,-0.583204,0.204214,27.12
N_lt2,675,False,0.314514,0.916012,-0.494686,0.208746,27.12
N_lt2,750,True,0.334871,0.949320,-0.518185,0.183265,27.12
N_lt2,825,False,0.333953,0.942335,-0.507201,0.186201,27.12
N_lt2,900,False,0.311283,0.893568,-0.576589,0.155453,27.12
target_vol,0.65,False,0.304744,0.945143,-0.509755,0.170520,27.12
target_vol,0.72,False,0.314261,0.932908,-0.514964,0.174734,27.12
target_vol,0.8,True,0.334871,0.949320,-0.518185,0.183265,27.12
target_vol,0.88,False,0.325839,0.914836,-0.517227,0.184148,27.12
target_vol,0.95,False,0.345169,0.941383,-0.516531,0.194430,27.12
