strategy,basis,cfd_notional,n_windows,CI95_lo,WFE,t_pvalue,mean_CAGR,WFE_verdict,WFA_verdict,note
E4,realistic,full,52,0.166447,1.210710,0.000011,0.292015,CAUTION,PASS,
vz065_l5,realistic,full,52,0.169178,1.477064,0.000001,0.272000,CAUTION,PASS,
vz065_l7,realistic,full,52,0.173667,1.461392,0.000008,0.300662,CAUTION,PASS,
DH-W1,realistic,N/A(ETF),52,0.138749,1.106612,0.000000,0.205062,OK,PASS,
V0,realistic,N/A(ETF),52,0.126706,1.148326,0.000000,0.184610,OK,PASS,
V7,realistic,N/A(ETF),52,0.142347,1.085466,0.000000,0.209934,OK,PASS,
P7,realistic,N/A(投信),52,0.174214,1.133480,0.000000,0.245544,OK,PASS,
E4,realistic,borrowed,52,0.196939,1.239843,0.000003,0.328132,CAUTION,PASS,
vz065_l5,realistic,borrowed,52,0.201703,1.490034,0.000000,0.309537,CAUTION,PASS,
vz065_l7,realistic,borrowed,52,0.206358,1.472725,0.000002,0.339631,CAUTION,PASS,
