year,LU1,P09_TQQQ,NASDAQ_1X_BH,oos
1974,0.216656,0.216668,-0.353507,False
1975,-0.015265,-0.003261,0.297559,False
1976,0.565074,0.532238,0.261015,False
1977,-0.113669,-0.099646,0.073253,False
1978,0.597662,0.581153,0.123084,False
1979,0.242369,0.247079,0.281065,False
1980,0.230166,0.233133,0.338759,False
1981,-0.117513,-0.121055,-0.032124,False
1982,0.779360,0.779679,0.186734,False
1983,0.459860,0.459069,0.198744,False
1984,-0.080786,-0.084124,-0.113065,False
1985,0.580369,0.548511,0.314852,False
1986,0.315583,0.333623,0.073561,False
1987,0.500854,0.481473,-0.052466,False
1988,-0.137392,-0.129293,0.154009,False
1989,0.317445,0.297687,0.192449,False
1990,-0.172723,-0.158927,-0.178100,False
1991,0.346739,0.327853,0.568593,False
1992,0.339204,0.329158,0.154535,False
1993,0.125669,0.122676,0.147500,False
1994,-0.044061,-0.040853,-0.031977,False
1995,0.684769,0.657762,0.399183,False
1996,0.181197,0.158225,0.227063,False
1997,0.251215,0.246956,0.216354,False
1998,0.565381,0.545435,0.396307,False
1999,0.849808,0.837302,0.855853,False
2000,-0.094185,-0.094171,-0.392890,False
2001,0.033451,0.033451,-0.210531,False
2002,0.177586,0.177586,-0.315264,False
2003,0.968065,0.901774,0.500079,False
2004,0.038646,0.056907,0.085890,False
2005,0.031898,0.027162,0.013735,False
2006,0.473927,0.429887,0.095211,False
2007,0.233305,0.226901,0.098121,False
2008,0.245835,0.245835,-0.405406,False
2009,0.270141,0.246455,0.438876,False
2010,0.644317,0.629610,0.169103,False
2011,0.160853,0.162225,-0.017988,False
2012,0.340574,0.325272,0.159054,False
2013,0.056612,0.040480,0.383201,False
2014,0.038481,0.035826,0.133951,False
2015,-0.193198,-0.187343,0.057297,False
2016,0.102384,0.084967,0.075031,False
2017,0.314078,0.299526,0.282414,False
2018,-0.043373,-0.054290,-0.038837,False
2019,0.463051,0.445095,0.352256,False
2020,0.887805,0.879516,0.436404,False
2021,0.261068,0.248862,0.213891,True
2022,-0.001653,-0.001653,-0.331000,True
2023,0.394862,0.387357,0.434231,True
2024,0.255444,0.237177,0.286413,True
2025,0.391385,0.387017,0.203575,True
2026,-0.093753,-0.089037,-0.078905,True
