k_lo,k_hi,vz_thr,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
0.500000,0.500000,999.000000,0.313338,0.311578,0.857711,-0.594515,0.180972,0.093564,0.001760,27.115499
0.000000,0.700000,0.500000,0.322715,0.311978,0.835052,-0.590351,0.182924,0.073781,0.010736,27.115499
0.000000,0.800000,0.500000,0.322141,0.309016,0.829791,-0.593008,0.181741,0.072917,0.013125,27.115499
0.050000,0.700000,0.500000,0.322542,0.315312,0.843023,-0.586498,0.184761,0.075991,0.007230,27.115499
0.050000,0.800000,0.500000,0.321968,0.312341,0.837723,-0.587828,0.183577,0.075132,0.009626,27.115499
0.100000,0.700000,0.500000,0.322174,0.316837,0.847877,-0.586678,0.186059,0.077750,0.005337,27.115499
0.100000,0.800000,0.500000,0.321600,0.313864,0.842540,-0.587503,0.184873,0.076615,0.007736,27.115499
0.000000,0.700000,0.700000,0.316854,0.333025,0.886565,-0.603639,0.186447,0.098946,-0.016172,27.115499
0.000000,0.800000,0.700000,0.316704,0.333005,0.886427,-0.602400,0.186487,0.098920,-0.016301,27.115499
0.050000,0.700000,0.700000,0.317135,0.335054,0.890612,-0.602488,0.186356,0.098458,-0.017919,27.115499
0.050000,0.800000,0.700000,0.316985,0.335034,0.890473,-0.601245,0.186685,0.098309,-0.018048,27.115499
0.100000,0.700000,0.700000,0.317324,0.335322,0.891599,-0.601349,0.186228,0.098051,-0.017998,27.115499
0.100000,0.800000,0.700000,0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.018127,27.115499
0.100000,0.800000,0.700000,0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.018127,27.115499
