gold_frac,wn_min,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
0.400000,0.200000,0.316972,0.281100,0.799410,-0.584072,0.182131,0.101534,0.035871,27.115499
0.400000,0.250000,0.317092,0.281525,0.800412,-0.584350,0.182981,0.101917,0.035567,27.115499
0.400000,0.300000,0.315934,0.281049,0.799767,-0.586310,0.183894,0.101547,0.034885,27.115499
0.400000,0.350000,0.314188,0.280556,0.799061,-0.588354,0.184205,0.100653,0.033632,27.115499
0.450000,0.200000,0.315690,0.296673,0.829111,-0.581557,0.184632,0.097736,0.019017,27.115499
0.450000,0.250000,0.315837,0.296926,0.829817,-0.581816,0.185394,0.098409,0.018911,27.115499
0.450000,0.300000,0.314718,0.296294,0.828917,-0.583959,0.186205,0.097772,0.018424,27.115499
0.450000,0.350000,0.313040,0.295645,0.827954,-0.586173,0.186463,0.096516,0.017395,27.115499
0.500000,0.200000,0.314232,0.312287,0.858439,-0.594515,0.180819,0.093553,0.001945,27.115499
0.500000,0.250000,0.314410,0.312366,0.858857,-0.594515,0.181310,0.094354,0.002043,27.115499
0.500000,0.300000,0.313338,0.311578,0.857711,-0.594515,0.180972,0.093564,0.001760,27.115499
0.500000,0.350000,0.311735,0.310772,0.856498,-0.594515,0.180759,0.092219,0.000963,27.115499
0.550000,0.200000,0.312600,0.327939,0.887333,-0.607749,0.174417,0.089097,-0.015338,27.115499
0.550000,0.250000,0.312812,0.327843,0.887473,-0.607749,0.175135,0.089833,-0.015031,27.115499
0.550000,0.300000,0.311793,0.326897,0.886090,-0.607749,0.174961,0.089592,-0.015104,27.115499
0.550000,0.350000,0.310273,0.325934,0.884637,-0.607749,0.174896,0.088949,-0.015662,27.115499
0.600000,0.200000,0.310795,0.343626,0.915734,-0.620694,0.167892,0.085478,-0.032831,27.115499
0.600000,0.250000,0.311044,0.343354,0.915606,-0.620694,0.168840,0.086151,-0.032309,27.115499
0.600000,0.300000,0.310085,0.342250,0.913997,-0.620694,0.168832,0.086038,-0.032165,27.115499
0.600000,0.350000,0.308653,0.341128,0.912314,-0.620694,0.168918,0.085039,-0.032474,27.115499
0.650000,0.200000,0.308816,0.359346,0.943585,-0.633349,0.161246,0.080863,-0.050530,27.115499
0.650000,0.250000,0.309107,0.358895,0.943201,-0.633349,0.162425,0.081359,-0.049788,27.115499
0.650000,0.300000,0.308214,0.357631,0.941379,-0.633349,0.162586,0.081525,-0.049418,27.115499
0.650000,0.350000,0.306878,0.356350,0.939477,-0.633349,0.162826,0.080811,-0.049472,27.115499
0.700000,0.200000,0.306664,0.375094,0.970832,-0.645715,0.154482,0.076536,-0.068430,27.115499
0.700000,0.250000,0.307001,0.374464,0.970206,-0.645715,0.155893,0.077165,-0.067463,27.115499
0.700000,0.300000,0.306180,0.373040,0.968183,-0.645715,0.156226,0.077362,-0.066861,27.115499
0.700000,0.350000,0.304947,0.371598,0.966076,-0.645715,0.156622,0.077208,-0.066651,27.115499
