,actual_TMF%,best_model%,curr_model%,3xTLT_approx%
2011-12-31,109.20,96.90,40.10,102.00
2012-12-31,0.60,-4.10,4.70,7.20
2013-12-31,-39.00,-39.10,-20.20,-40.10
2014-12-31,97.30,92.70,26.20,81.90
2015-12-31,-13.70,-15.10,0.80,-5.40
2016-12-31,-2.50,-3.50,-1.70,3.50
2017-12-31,22.70,19.30,3.70,27.50
2018-12-31,-11.00,-13.40,-3.60,-4.80
2019-12-31,34.80,32.90,16.80,42.40
2020-12-31,41.80,29.90,21.20,54.50
2021-12-31,-19.80,-13.80,-10.40,-13.80
2022-12-31,-72.60,-68.90,-39.30,-93.70
2023-12-31,-13.00,-14.90,-3.20,8.30
2024-12-31,-35.90,-37.00,-14.60,-24.20
2025-12-31,-2.90,-5.60,10.60,12.70
2026-12-31,-1.80,-6.00,-3.80,0.50
