yield_src,duration,coupon_basis,mae_%,rmse_%,cum_gap_%,n_years
dgs30,17,252,3.870,5.120,-2.730,17
avg10_30,17,252,5.460,8.020,-3.600,17
dgs30,20,252,5.710,6.490,-3.290,17
dgs30,15,252,5.820,8.410,-2.420,17
avg10_30,20,252,6.410,7.150,-4.070,17
dgs30,17,365,6.650,7.910,-5.820,17
avg10_30,15,252,6.760,10.900,-3.350,17
avg10_30,17,365,6.800,10.010,-6.350,17
dgs30,20,365,7.260,7.950,-6.360,17
dgs30,15,365,7.590,10.700,-5.520,17
avg10_30,15,365,7.590,12.640,-6.110,17
avg10_30,20,365,7.810,8.740,-6.800,17
dgs30,13,252,8.860,12.640,-2.160,17
avg10_30,13,365,9.680,16.010,-5.910,17
dgs30,13,365,9.690,14.440,-5.270,17
avg10_30,13,252,9.760,14.550,-3.140,17
dgs10,15,252,9.910,15.460,-4.450,17
dgs10,15,365,10.260,16.550,-6.870,17
dgs10,17,252,10.280,14.040,-4.700,17
dgs10,17,365,10.770,15.110,-7.100,17
dgs10,13,252,11.190,17.810,-4.250,17
dgs10,13,365,11.210,18.830,-6.680,17
dgs10,20,252,11.800,14.020,-5.160,17
dgs10,20,365,12.640,14.840,-7.550,17
dgs30,10,252,13.970,19.430,-1.860,17
dgs30,10,365,14.040,20.720,-4.970,17
avg10_30,10,365,14.050,21.750,-5.670,17
avg10_30,10,252,14.540,20.660,-2.890,17
dgs10,10,365,14.770,23.370,-6.440,17
dgs10,10,252,15.300,22.530,-4.000,17
dgs30,7,365,18.810,27.330,-4.750,17
avg10_30,7,365,18.920,27.960,-5.480,17
dgs10,7,365,19.130,28.820,-6.250,17
dgs30,7,252,19.260,26.410,-1.620,17
avg10_30,7,252,19.440,27.170,-2.690,17
dgs10,7,252,19.710,28.190,-3.790,17
