yz_n,vz_thr,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
0,0.700000,0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.018127,27.115499
10,0.500000,0.332902,0.302735,0.823221,-0.600244,0.210643,0.100508,0.030167,27.115499
10,0.700000,0.312628,0.333166,0.887505,-0.584029,0.193654,0.106079,-0.020538,27.115499
10,1.000000,0.309068,0.291424,0.820079,-0.591399,0.171965,0.101116,0.017644,27.115499
20,0.500000,0.309790,0.302077,0.818846,-0.613414,0.173264,0.082966,0.007713,27.115499
20,0.700000,0.309622,0.278773,0.777973,-0.588757,0.185271,0.094542,0.030848,27.115499
20,1.000000,0.299414,0.276004,0.781501,-0.589412,0.174403,0.096933,0.023411,27.115499
30,0.500000,0.295556,0.256387,0.746970,-0.617197,0.164956,0.072996,0.039168,27.115499
30,0.700000,0.292829,0.232728,0.702320,-0.615528,0.170293,0.083727,0.060100,27.115499
30,1.000000,0.287445,0.225918,0.696615,-0.611276,0.151532,0.085030,0.061528,27.115499
