vz_thr,l_max,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
0.600000,4.500000,0.287877,0.289390,0.884792,-0.491706,0.181124,0.117892,-0.001513,27.115499
0.600000,5.000000,0.300005,0.312848,0.900398,-0.510580,0.188014,0.118820,-0.012843,27.115499
0.600000,5.500000,0.309514,0.322013,0.894120,-0.528235,0.193648,0.115501,-0.012499,27.115499
0.600000,6.000000,0.316202,0.326638,0.885926,-0.547581,0.198064,0.109053,-0.010436,27.115499
0.600000,7.000000,0.323355,0.338902,0.886132,-0.585223,0.187802,0.091788,-0.015547,27.115499
0.650000,4.500000,0.284059,0.308697,0.931276,-0.498813,0.176883,0.118330,-0.024638,27.115499
0.650000,5.000000,0.295754,0.334871,0.949320,-0.518185,0.183265,0.118670,-0.039117,27.115499
0.650000,5.500000,0.304788,0.346162,0.944838,-0.534255,0.188321,0.114981,-0.041374,27.115499
0.650000,6.000000,0.311050,0.353022,0.939125,-0.549040,0.195432,0.108966,-0.041971,27.115499
0.650000,7.000000,0.317665,0.369885,0.945237,-0.586758,0.187350,0.091615,-0.052220,27.115499
0.700000,4.500000,0.284247,0.282776,0.879225,-0.520006,0.164467,0.120468,0.001471,27.115499
0.700000,5.000000,0.295796,0.305773,0.895523,-0.540705,0.169409,0.121072,-0.009976,27.115499
0.700000,5.500000,0.304713,0.315416,0.891387,-0.558081,0.173092,0.118272,-0.010703,27.115499
0.700000,6.000000,0.310905,0.321245,0.886370,-0.572393,0.178908,0.112108,-0.010340,27.115499
0.700000,7.000000,0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.018127,27.115499
0.750000,4.500000,0.280480,0.277042,0.868039,-0.529711,0.158220,0.116921,0.003438,27.115499
0.750000,5.000000,0.291582,0.297788,0.880730,-0.550946,0.162503,0.117355,-0.006205,27.115499
0.750000,5.500000,0.300074,0.305332,0.873505,-0.568744,0.165562,0.114510,-0.005259,27.115499
0.750000,6.000000,0.305901,0.309214,0.865632,-0.583488,0.170714,0.107077,-0.003313,27.115499
0.750000,7.000000,0.311590,0.320551,0.867244,-0.611919,0.177772,0.092222,-0.008961,27.115499
