label,period_start,period_end,n_obs,CAGR_IS,CAGR_OOS,CAGR_FULL,Sharpe_OOS,MaxDD_FULL,Worst10Y_calendar,P10_5Y,IS_OOS_gap_pp,Trades_per_yr_exact,Trades_per_yr_navproxy,WFA_CI95_lo_annual,WFA_WFE_calendar,WFA_WFE_50w_sharpe,split_used
S1_F10_baseline,1974-01-02,2026-03-26,13169,0.325764,0.367474,0.328887,0.934883,-0.630874,0.185841,0.102703,-4.171035,,118.565033,0.278549,0.777676,0.922425,2021-05-08
S2_D5_baseline,1974-01-02,2026-03-26,13169,0.296108,0.333999,0.298981,0.949708,-0.518185,0.183265,0.118670,-3.789094,,119.369253,0.244208,0.824661,0.920915,2021-05-08
S3_DH-W1_baseline,1974-01-02,2026-03-26,13169,0.180997,0.189142,0.181724,0.844797,-0.345727,0.103656,0.048151,-0.814552,,68.741678,0.136140,0.743657,1.023103,2021-05-08
E4_Active_CFD,1974-01-02,2026-03-26,13169,0.317558,0.334428,0.318436,0.891823,-0.600102,0.186679,0.097830,-1.687037,27.115499,119.139476,0.265526,0.730385,0.922092,2021-05-08
S3_DH-W1_+nasdaq_mom63_M6_def,1974-01-02,2026-03-26,13169,0.166896,0.180599,0.168140,0.891807,-0.287403,0.107500,0.052125,-1.370331,,59.205924,0.126545,0.781968,1.044043,2021-05-08
S1_F10_baseline,1974-01-02,2026-03-26,13169,0.330742,0.331671,0.328887,0.881127,-0.630874,0.185841,0.102703,-0.092891,,118.565033,0.278549,0.777676,0.922425,2021-01-01
S2_D5_baseline,1974-01-02,2026-03-26,13169,0.301517,0.289551,0.298981,0.864953,-0.518185,0.183265,0.118670,1.196541,,119.369253,0.244208,0.824661,0.920915,2021-01-01
S3_DH-W1_baseline,1974-01-02,2026-03-26,13169,0.182553,0.182011,0.181724,0.802556,-0.345727,0.103656,0.048151,0.054235,,68.741678,0.136140,0.743657,1.023103,2021-01-01
E4_Active_CFD,1974-01-02,2026-03-26,13169,0.322312,0.302985,0.318436,0.841933,-0.600102,0.186679,0.097830,1.932695,27.115499,119.139476,0.265526,0.730385,0.922092,2021-01-01
S3_DH-W1_+nasdaq_mom63_M6_def,1974-01-02,2026-03-26,13169,0.168383,0.171951,0.168140,0.844095,-0.287403,0.107500,0.052125,-0.356785,,59.205924,0.126545,0.781968,1.044043,2021-01-01
