Year,S1_F10,S2_D5,S3_DH-W1,E4_Active,S3+nasdaq_mom63_M6_def
1974,,,,,
1975,-0.048952,-0.008677,0.010663,-0.025220,-0.014082
1976,1.099277,0.773428,0.421647,1.064211,0.398259
1977,-0.115961,-0.059102,-0.057306,-0.126985,-0.051832
1978,1.458602,0.890656,0.557141,1.384900,0.491751
1979,0.310147,0.247891,0.191803,0.215222,0.197799
1980,0.686259,0.572003,0.301924,0.664188,0.237599
1981,-0.370858,-0.303145,-0.003369,-0.379586,-0.000296
1982,0.954959,0.903449,0.612303,0.969385,0.493454
1983,0.126769,0.106038,0.487696,0.067770,0.384593
1984,-0.188216,-0.113829,-0.078926,-0.194237,-0.075446
1985,1.676038,1.141127,0.457812,1.696062,0.448683
1986,0.504742,0.446946,0.351452,0.527377,0.290018
1987,0.897764,0.679441,0.246850,0.796290,0.212676
1988,-0.293831,-0.195899,-0.083991,-0.255851,-0.082516
1989,0.651841,0.495897,0.251282,0.595034,0.262138
1990,-0.451686,-0.338733,-0.154713,-0.397629,-0.151273
1991,1.003452,0.869133,0.320943,0.859368,0.303073
1992,0.691219,0.461236,0.230079,0.618863,0.191060
1993,-0.041622,-0.001959,0.006120,-0.058888,0.026316
1994,-0.100874,-0.073704,-0.030561,-0.103330,-0.023193
1995,1.595512,1.120977,0.616446,1.571343,0.548509
1996,0.580367,0.396028,0.195903,0.498961,0.226412
1997,0.617522,0.500957,0.250339,0.599736,0.210834
1998,0.803338,0.874891,0.338481,0.921314,0.312598
1999,0.890807,0.800235,0.875844,0.826263,0.678574
2000,-0.084544,-0.065614,-0.127782,-0.066128,-0.104009
2001,-0.061624,-0.056145,0.000000,-0.061624,0.000000
2002,0.140496,0.113803,0.000000,0.140496,0.000000
2003,1.138197,1.202173,0.767669,1.140426,0.691508
2004,0.080122,0.105435,0.017292,0.146700,-0.009259
2005,-0.222305,-0.068167,0.030575,-0.189063,0.065556
2006,0.800733,0.542390,0.339841,0.658964,0.352124
2007,0.331894,0.313634,0.059531,0.303585,0.073619
2008,0.199234,0.217933,0.000000,0.217190,0.000000
2009,0.657995,0.532170,0.440404,0.520497,0.409339
2010,1.039114,1.121586,0.621867,1.265678,0.556486
2011,-0.077204,0.023366,-0.062604,0.024018,-0.050086
2012,0.381693,0.315426,0.298513,0.428627,0.273104
2013,0.509095,0.401962,0.117399,0.441692,0.122906
2014,0.040089,0.079024,0.014421,0.101828,0.030589
2015,-0.315363,-0.249347,-0.165925,-0.324901,-0.133704
2016,-0.069087,0.033584,-0.058714,-0.112735,-0.027740
2017,1.188309,0.727154,0.287945,1.042111,0.266992
2018,0.006348,0.041435,-0.067300,-0.021809,-0.034636
2019,0.691312,0.687164,0.297993,0.675320,0.281485
2020,1.014112,0.873841,0.770263,0.944191,0.643083
2021,0.222374,0.194148,0.230038,0.212208,0.211471
2022,-0.259632,-0.263703,0.000000,-0.262082,0.000000
2023,1.090594,0.969483,0.325760,1.005556,0.296664
2024,0.579477,0.538134,0.218618,0.440662,0.243806
2025,0.510343,0.503654,0.259644,0.545367,0.225857
2026,-0.081444,-0.104720,-0.074039,-0.073548,-0.067682
