signal_id,signal_name,strategy,mean_ic,t_stat,p_value,n_obs,error,p_value_bh,reject_bh
repo_1,repo_1_baa_minus_aaa_spread,S1,-0.009270517239336926,-0.9083258958183111,0.36370606472726097,332,,0.4247864725440529,False
repo_1,repo_1_baa_minus_aaa_spread,S2,-0.006734262633972834,-0.5620800624170675,0.574061471674526,332,,0.6142056305328845,False
repo_1,repo_1_baa_minus_aaa_spread,S3,-0.00554504366707874,-0.44244891193874175,0.6581643914606174,332,,0.6850282441732957,False
repo_2,repo_2_30y_10y_termpremium,S1,0.025850187644912696,7.066617888456862,1.5876189252139739e-12,9719,,7.360778653264788e-12,True
repo_2,repo_2_30y_10y_termpremium,S2,0.026889907556440218,7.488117585088029,6.994405055138486e-14,9719,,3.9634961979118083e-13,True
repo_2,repo_2_30y_10y_termpremium,S3,0.030353537946876785,7.4463025401844725,9.592326932761353e-14,8839,,5.060779381767197e-13,True
repo_3,repo_3_dff_change_1m,S1,0.013513914684673759,4.899496461713882,9.608258060289643e-07,12894,,2.5790587424987987e-06,True
repo_3,repo_3_dff_change_1m,S2,0.012877363807287642,4.6984935733169975,2.6208743497679876e-06,12894,,6.683229591908368e-06,True
repo_3,repo_3_dff_change_1m,S3,0.011310642728996526,3.782972886273172,0.00015496630090394703,11853,,0.00032930338942088744,True
repo_4,repo_4_dff_minus_10y,S1,0.007970964520850112,2.0867540342564777,0.03691037411544573,11520,,0.05647287239663197,True
repo_4,repo_4_dff_minus_10y,S2,0.0063071101907309505,1.7259536213154811,0.08435575680617813,11520,,0.11840762193894727,True
repo_4,repo_4_dff_minus_10y,S3,0.006094876228369742,1.4633369994686733,0.14337518827461393,10593,,0.18433952778164647,False
repo_5,repo_5_dgp_2xgold_logret_21d,S1,0.00950062989996488,2.0574251740030447,0.039645345687855826,3902,,0.05946801853178374,True
repo_5,repo_5_dgp_2xgold_logret_21d,S2,0.011595592545951957,2.40992920957274,0.01595561607808338,3902,,0.026249561934911368,True
repo_5,repo_5_dgp_2xgold_logret_21d,S3,-0.005262521270490708,-1.216840289624397,0.22366498750606612,3862,,0.2652770782048691,False
repo_6,repo_6_drn_3xreit_logret_21d,S1,0.0030457093097324096,0.7380748472168502,0.4604689675252991,3772,,0.5180275884659615,False
repo_6,repo_6_drn_3xreit_logret_21d,S2,0.0076974371100831055,1.8429169360445437,0.06534113914760176,3772,,0.09431315367531197,True
repo_6,repo_6_drn_3xreit_logret_21d,S3,0.005318218487888641,1.2504775862018909,0.21112513803925204,3732,,0.2564781127842315,False
repo_7,repo_7_cpi_yoy_surprise,S1,-0.005662845545142791,-0.6657762844963893,0.5055541055037023,331,,0.5564732240436435,False
repo_7,repo_7_cpi_yoy_surprise,S2,-0.0031078646782472783,-0.4311173445008129,0.6663830498012233,331,,0.6888959906728863,False
repo_7,repo_7_cpi_yoy_surprise,S3,0.0038419518610987463,0.817318096638443,0.413746667631238,331,,0.4779952530748307,False
repo_8,repo_8_ml_pred_sign,S1,,,,0,,,False
repo_8,repo_8_ml_pred_sign,S2,,,,0,,,False
repo_8,repo_8_ml_pred_sign,S3,,,,0,,,False
repo_9,repo_9_ml_pc1,S1,0.0022004089749892803,0.6854268488539792,0.49307460645604695,4385,,0.5502665280653232,False
repo_9,repo_9_ml_pc1,S2,-0.0024940362151850085,-0.7465989840007987,0.45530566189155697,4385,,0.516013083477098,False
repo_9,repo_9_ml_pc1,S3,0.002346184444983226,0.5471443561003682,0.5842795609048417,4189,,0.6189863557165036,False
macro_yc_3m10y,yc_3m10y,S1,0.018168550563840775,4.858867929445131,1.1805885005156114e-06,11080,,3.1143110444635958e-06,True
macro_yc_3m10y,yc_3m10y,S2,0.020344410156019215,5.648286875335837,1.6205459196783067e-08,11080,,4.9588705142156186e-08,True
macro_yc_3m10y,yc_3m10y,S3,0.008279418819658617,2.152896579271782,0.0313268073990447,10130,,0.0494123869283901,True
macro_yc_2s10s,yc_2s10s,S1,0.0061371633510756965,1.6773889063958163,0.09346645726522596,9687,,0.13000334510526884,True
macro_yc_2s10s,yc_2s10s,S2,0.005861655995227957,1.6477547150027572,0.09940301518882766,9687,,0.1370149668818976,True
macro_yc_2s10s,yc_2s10s,S3,-0.0021861746447568863,-0.5437390504415802,0.5866210560711962,8912,,0.6189863557165036,False
macro_yc_10y30y,yc_10y30y,S1,0.026506866588891592,7.5273844019583125,5.1736392947532295e-14,9833,,3.044487738835554e-13,True
macro_yc_10y30y,yc_10y30y,S2,0.02656411753734462,7.8000743959188705,6.217248937900877e-15,9833,,3.963496197911809e-14,True
macro_yc_10y30y,yc_10y30y,S3,0.02981143829713973,6.886003600654676,5.738076680472659e-12,8935,,2.5083592346066197e-11,True
macro_dgs10_level,dgs10_level,S1,0.013005416851684727,3.0379179055507515,0.002382188419208564,5611,,0.004338986049272742,True
macro_dgs10_level,dgs10_level,S2,0.015797118353423265,3.806246627690104,0.00014109169227194407,5611,,0.00030404266081137245,True
macro_dgs10_level,dgs10_level,S3,0.000360623673440881,0.07556658208309103,0.9397639240521061,4832,,0.9436873422874226,False
macro_dgs10_z252,dgs10_z252,S1,-0.014760512140219841,-4.159524599753201,3.189106739864833e-05,12220,,7.282587032825664e-05,True
macro_dgs10_z252,dgs10_z252,S2,-0.013147177724803838,-3.8418730427341763,0.00012209899031279114,12220,,0.0002707412393892325,True
macro_dgs10_z252,dgs10_z252,S3,-0.016234566677752707,-4.215591406479247,2.491244595415054e-05,11322,,5.775157925734898e-05,True
macro_dgs10_mom63,dgs10_mom63,S1,-0.020741319838234837,-6.322398394820596,2.575344382194089e-10,12402,,9.381611677992753e-10,True
macro_dgs10_mom63,dgs10_mom63,S2,-0.021453028993582146,-6.743271356400886,1.548605688128646e-11,12402,,6.235175533781126e-11,True
macro_dgs10_mom63,dgs10_mom63,S3,-0.01849663433452035,-5.137428814258588,2.7852291850649635e-07,11504,,7.748001187544353e-07,True
macro_yc_3m10y_z252,yc_3m10y_z252,S1,0.0026369622120091143,0.6802932001566754,0.4963188292353895,12220,,0.5502665280653232,False
macro_yc_3m10y_z252,yc_3m10y_z252,S2,0.0024384991589388805,0.6427088263528237,0.520413052742706,12220,,0.5687371219259573,False
macro_yc_3m10y_z252,yc_3m10y_z252,S3,-0.007990498786748292,-1.859913206314783,0.06289780659161637,11322,,0.09165108960492671,True
macro_yc_3m10y_z63,yc_3m10y_z63,S1,-0.013255350199936103,-4.446854060217649,8.71369929655863e-06,12403,,2.1161841148785247e-05,True
macro_yc_3m10y_z63,yc_3m10y_z63,S2,-0.012598666602329512,-4.250586936702305,2.1321105721616718e-05,12403,,5.018660269857474e-05,True
macro_yc_3m10y_z63,yc_3m10y_z63,S3,-0.020599562824763183,-6.7553211620142495,1.4251932967113135e-11,11505,,5.893366875590026e-11,True
macro_credit_spread,credit_spread,S1,-0.006959578649392133,-2.1279916798912453,0.0333377734175615,8391,,0.052047748294764384,True
macro_credit_spread,credit_spread,S2,-0.005314183101709886,-1.60496952732864,0.10850051099515512,8391,,0.14626600511275525,True
macro_credit_spread,credit_spread,S3,-0.011055008331461592,-3.1664859096627627,0.001542928208211558,7946,,0.002878878242150834,True
macro_credit_spread_z252,credit_spread_z252,S1,-0.004708684549777906,-1.5306247713453844,0.12586215593892192,9284,,0.1645889731508979,False
macro_credit_spread_z252,credit_spread_z252,S2,-0.004248143300328493,-1.411243028075307,0.15817296685008575,9284,,0.19836445842674688,False
macro_credit_spread_z252,credit_spread_z252,S3,-0.016414736387528956,-4.419963562752895,9.87175447719757e-06,8557,,2.359966304705044e-05,True
macro_credit_spread_mom63,credit_spread_mom63,S1,-0.004444853734215237,-1.240684055544227,0.21472248670101157,9467,,0.2566604723848029,False
macro_credit_spread_mom63,credit_spread_mom63,S2,-0.0016097988154170962,-0.4582298157069077,0.6467873412061214,9467,,0.6777976931817573,False
macro_credit_spread_mom63,credit_spread_mom63,S3,-0.00803424395660805,-1.9249123831857757,0.05424032044779237,8740,,0.08057057309235176,True
macro_dxy,dxy,S1,0.010375475122382991,2.1157854825979476,0.03436305635594983,3631,,0.05310654164101337,True
macro_dxy,dxy,S2,0.01355013551676287,3.063903709177693,0.002184692156900203,3631,,0.004027203614526881,True
macro_dxy,dxy,S3,0.015287615842325977,3.289172977933139,0.0010048224871022082,3435,,0.001921723006582973,True
macro_dxy_ret20,dxy_ret20,S1,0.014593625432124589,3.6340886292819516,0.00027896496245949365,4631,,0.0005690885234173671,True
macro_dxy_ret20,dxy_ret20,S2,0.014320106011215831,3.5388851820372356,0.0004018205850762069,4631,,0.0007984227209955799,True
macro_dxy_ret20,dxy_ret20,S3,0.007493035033283527,1.727888798321433,0.0840081629906102,4435,,0.11840762193894727,True
macro_dxy_ret63,dxy_ret63,S1,0.009749803030110353,2.3626577019610724,0.01814441980479864,4589,,0.029222065580359915,True
macro_dxy_ret63,dxy_ret63,S2,0.01570287601719576,3.8366191610997014,0.00012473968382242795,4589,,0.00027264530892616396,True
macro_dxy_ret63,dxy_ret63,S3,0.009143469422804217,1.8674277923384712,0.06184187169061173,4393,,0.0909789073909961,True
macro_dxy_z252,dxy_z252,S1,0.0037150996805329437,0.8142317263671826,0.4155122134572058,4408,,0.4779952530748307,False
macro_dxy_z252,dxy_z252,S2,0.00795794862353939,1.7945770707799864,0.0727211090723705,4408,,0.10398438960815597,True
