signal_id,signal_name,strategy,mean_ic,t_stat,p_value,n_obs,error,p_value_bh,reject_bh
repo_2,repo_2_30y_10y_termpremium,S1,0.025850187644912696,7.066617888456862,1.5876189252139739e-12,9719,,7.360778653264788e-12,True
repo_2,repo_2_30y_10y_termpremium,S2,0.026889907556440218,7.488117585088029,6.994405055138486e-14,9719,,3.9634961979118083e-13,True
repo_2,repo_2_30y_10y_termpremium,S3,0.030353537946876785,7.4463025401844725,9.592326932761353e-14,8839,,5.060779381767197e-13,True
macro_yc_3m10y,yc_3m10y,S1,0.018168550563840775,4.858867929445131,1.1805885005156114e-06,11080,,3.1143110444635958e-06,True
macro_yc_3m10y,yc_3m10y,S2,0.020344410156019215,5.648286875335837,1.6205459196783067e-08,11080,,4.9588705142156186e-08,True
macro_yc_3m10y,yc_3m10y,S3,0.008279418819658617,2.152896579271782,0.0313268073990447,10130,,0.0494123869283901,True
macro_yc_10y30y,yc_10y30y,S1,0.026506866588891592,7.5273844019583125,5.1736392947532295e-14,9833,,3.044487738835554e-13,True
macro_yc_10y30y,yc_10y30y,S2,0.02656411753734462,7.8000743959188705,6.217248937900877e-15,9833,,3.963496197911809e-14,True
macro_yc_10y30y,yc_10y30y,S3,0.02981143829713973,6.886003600654676,5.738076680472659e-12,8935,,2.5083592346066197e-11,True
macro_dgs10_z252,dgs10_z252,S1,-0.014760512140219841,-4.159524599753201,3.189106739864833e-05,12220,,7.282587032825664e-05,True
macro_dgs10_z252,dgs10_z252,S2,-0.013147177724803838,-3.8418730427341763,0.00012209899031279114,12220,,0.0002707412393892325,True
macro_dgs10_z252,dgs10_z252,S3,-0.016234566677752707,-4.215591406479247,2.491244595415054e-05,11322,,5.775157925734898e-05,True
macro_dgs10_mom63,dgs10_mom63,S1,-0.020741319838234837,-6.322398394820596,2.575344382194089e-10,12402,,9.381611677992753e-10,True
macro_dgs10_mom63,dgs10_mom63,S2,-0.021453028993582146,-6.743271356400886,1.548605688128646e-11,12402,,6.235175533781126e-11,True
macro_dgs10_mom63,dgs10_mom63,S3,-0.01849663433452035,-5.137428814258588,2.7852291850649635e-07,11504,,7.748001187544353e-07,True
macro_yc_3m10y_z63,yc_3m10y_z63,S1,-0.013255350199936103,-4.446854060217649,8.71369929655863e-06,12403,,2.1161841148785247e-05,True
macro_yc_3m10y_z63,yc_3m10y_z63,S2,-0.012598666602329512,-4.250586936702305,2.1321105721616718e-05,12403,,5.018660269857474e-05,True
macro_yc_3m10y_z63,yc_3m10y_z63,S3,-0.020599562824763183,-6.7553211620142495,1.4251932967113135e-11,11505,,5.893366875590026e-11,True
macro_nfci_z52w,nfci_z52w,S1,-0.04150067079791648,-12.82807754769407,0.0,12398,,0.0,True
macro_nfci_z52w,nfci_z52w,S2,-0.04161024352203083,-13.205735446140082,0.0,12398,,0.0,True
macro_nfci_z52w,nfci_z52w,S3,-0.034610191685625964,-9.44442233090937,0.0,11498,,0.0,True
macro_nasdaq_mom21,nasdaq_mom21,S1,0.054423851615426885,17.072438396798102,0.0,12443,,0.0,True
macro_nasdaq_mom21,nasdaq_mom21,S2,0.050872735302630936,16.554858942784534,0.0,12443,,0.0,True
macro_nasdaq_mom21,nasdaq_mom21,S3,0.052188942565585976,16.45579202679923,0.0,11514,,0.0,True
macro_nasdaq_mom63,nasdaq_mom63,S1,0.025233660283044777,8.469218716991346,0.0,12402,,0.0,True
macro_nasdaq_mom63,nasdaq_mom63,S2,0.022046995243867846,7.581134420593665,3.419486915845482e-14,12402,,2.092725992497435e-13,True
macro_nasdaq_mom63,nasdaq_mom63,S3,0.044667635295219166,13.301406448675266,0.0,11504,,0.0,True
macro_gold_mom21,gold_mom21,S1,-0.019271788997296414,-6.118434549741064,9.449907523162437e-10,12443,,3.2129685578752287e-09,True
macro_gold_mom21,gold_mom21,S2,-0.021360285201067055,-6.896753979794246,5.320410778608675e-12,12443,,2.3941848503739038e-11,True
macro_gold_mom21,gold_mom21,S3,-0.0201617173264395,-6.328324553014091,2.4783752827772787e-10,11514,,9.24857117719326e-10,True
macro_gold_mom63,gold_mom63,S1,-0.027372641000289213,-9.012111279233727,0.0,12402,,0.0,True
macro_gold_mom63,gold_mom63,S2,-0.02903740331975864,-9.719124437702545,0.0,12402,,0.0,True
macro_gold_mom63,gold_mom63,S3,-0.02149491453726035,-6.1745747783835245,6.634177651676509e-10,11504,,2.3068845016056957e-09,True
macro_gold_mom252,gold_mom252,S1,-0.016368183891146654,-4.724063292608394,2.3117841565500896e-06,11349,,5.994965694104469e-06,True
macro_gold_mom252,gold_mom252,S2,-0.02026767576819074,-6.053296998380276,1.4191088304471577e-09,11349,,4.720079370835112e-09,True
macro_gold_mom252,gold_mom252,S3,-0.010365181235414592,-2.7056122589930474,0.006817860012249932,10513,,0.011853779339479996,True
macro_bond_mom21,bond_mom21,S1,0.02419670624831553,7.969624197620688,1.5543122344752192e-15,12443,,1.0809535085214025e-14,True
