pattern_id,signal,strategy,method,direction,cand_cagr_oos,base_cagr_oos,cagr_oos_diff,cand_cagr_is,base_cagr_is,cand_is_oos_gap,base_is_oos_gap,is_oos_gap_diff,cand_sharpe_oos,base_sharpe_oos,sharpe_diff,cand_maxdd,base_maxdd,maxdd_diff,cand_worst10y,base_worst10y,worst10y_diff,cand_p10_5y,base_p10_5y,p10_5y_diff,cand_trades_yr,base_trades_yr,trades_yr_diff,cand_wfe,base_wfe,wfe_diff,cand_ci95_lo,base_ci95_lo,ci95_lo_diff,improved_axes_full,degraded_axes_full,n_improved_full,n_degraded_full,judgment_full
G3_nasdaq_mom21_S1_M1_defensive,nasdaq_mom21,S1,M1,defensive,0.12315680785962946,0.36895406199288416,-0.2457972541332547,0.1070496122743343,0.31950509801781,-0.016107195585295164,-0.049448963975074145,-0.03334176838977898,0.6096067265262705,0.9442167047916198,-0.33460997826534933,-0.628105316868919,-0.6308742786041249,0.0027689617352059104,-0.06334826341517485,0.1600767266136327,-0.22342499002880756,-0.04855452160515697,0.10270304911622277,-0.15125757072137974,68.73807401971064,118.55881736213043,-49.82074334241979,1.023837860166552,0.922425020804485,0.10141283936206713,0.30078073277459516,0.5257857915346811,-0.22500505876008592,is_oos_gap|wfe,cagr_oos|sharpe|worst10y|p10_5y|ci95_lo,2,5,MARGINAL_FULL
G3_nasdaq_mom21_S1_M1_procyclical,nasdaq_mom21,S1,M1,procyclical,0.3203243200324233,0.36895406199288416,-0.04862974196046088,0.2836341894658443,0.31950509801781,-0.03669013056657899,-0.049448963975074145,-0.012758833408495152,0.9060114246576996,0.9442167047916198,-0.038205280133920216,-0.5074989625568054,-0.6308742786041249,0.12337531604731955,0.11459757184900154,0.1600767266136327,-0.04547915476463116,0.0936148562973841,0.10270304911622277,-0.009088192818838672,65.75112707066471,118.55881736213043,-52.80769029146572,0.91196178229608,0.922425020804485,-0.010463238508404915,0.5047977962062747,0.5257857915346811,-0.02098799532840634,maxdd|is_oos_gap,cagr_oos|worst10y|wfe,2,3,MARGINAL_FULL
G3_nasdaq_mom21_S1_M2_defensive,nasdaq_mom21,S1,M2,defensive,0.26508178768198554,0.36895406199288416,-0.10387227431089863,0.2087420166007068,0.31950509801781,-0.056339771081278744,-0.049448963975074145,0.0068908071062045995,0.9101639786373501,0.9442167047916198,-0.034052726154269686,-0.6273304188828999,-0.6308742786041249,0.003543859721225062,0.023862404982755825,0.1600767266136327,-0.13621432163087688,0.04577675379719075,0.10270304911622277,-0.056926295319032025,101.21154854267142,118.55881736213043,-17.347268819459003,0.9994576459564987,0.922425020804485,0.0770326251520137,0.5022442926693828,0.5257857915346811,-0.023541498865298327,wfe,cagr_oos|worst10y|p10_5y,1,3,MARGINAL_FULL
G3_nasdaq_mom21_S1_M2_procyclical,nasdaq_mom21,S1,M2,procyclical,0.3803294675749156,0.36895406199288416,0.011375405582031428,0.3463400628505364,0.31950509801781,-0.03398940472437917,-0.049448963975074145,-0.015459559250694976,0.9100662474741412,0.9442167047916198,-0.034150457317478566,-0.598136528725899,-0.6308742786041249,0.032737749878225975,0.1461448020558529,0.1600767266136327,-0.013931924557779807,0.09301722971908019,0.10270304911622277,-0.009685819397142581,114.49963304676034,118.55881736213043,-4.059184315370089,0.9070478149344187,0.922425020804485,-0.015377205870066302,0.5119408433390078,0.5257857915346811,-0.013844948195673279,cagr_oos|maxdd|is_oos_gap,wfe,3,1,MARGINAL_FULL
G3_nasdaq_mom21_S1_M4_vol_adj,nasdaq_mom21,S1,M4,vol_adj,0.22599948515300095,0.36895406199288416,-0.14295457683988322,0.2258097383050257,0.31950509801781,-0.00018974684797523622,-0.049448963975074145,-0.04925921712709891,0.7999387535111474,0.9442167047916198,-0.14427795128047238,-0.7897773017394882,-0.6308742786041249,-0.1589030231353633,0.03284987822190777,0.1600767266136327,-0.12722684839172493,0.009958871619294903,0.10270304911622277,-0.09274417749692787,111.70415705598658,118.55881736213043,-6.854660306143842,1.0318377805014982,0.922425020804485,0.10941275969701325,0.4483348053426134,0.5257857915346811,-0.0774509861920677,is_oos_gap|wfe,cagr_oos|sharpe|maxdd|worst10y|p10_5y|ci95_lo,2,6,MARGINAL_FULL
G3_nasdaq_mom21_S1_M4_reverse,nasdaq_mom21,S1,M4,reverse,0.22664774238726237,0.36895406199288416,-0.1423063196056218,0.32383793748100054,0.31950509801781,0.09719019509373816,-0.049448963975074145,0.04774123111866402,0.6756150157071791,0.9442167047916198,-0.2686016890844407,-0.7326012935987554,-0.6308742786041249,-0.10172701499463044,0.04491434759058999,0.1600767266136327,-0.11516237902304272,0.026926006049127114,0.10270304911622277,-0.07577704306709565,113.00615957223737,118.55881736213043,-5.552657789893061,0.8841963756369952,0.922425020804485,-0.038228645167489805,0.4067348945517011,0.5257857915346811,-0.11905089698297999,,cagr_oos|sharpe|maxdd|worst10y|p10_5y|is_oos_gap|wfe|ci95_lo,0,8,FAIL_FULL
G3_nasdaq_mom21_S1_M5_stop_only,nasdaq_mom21,S1,M5,stop_only,0.23394935316011778,0.36895406199288416,-0.13500470883276638,0.1630098810476972,0.31950509801781,-0.07093947211242058,-0.049448963975074145,0.02149050813734643,0.7828893267024004,0.9442167047916198,-0.16132737808921938,-0.7171886273679373,-0.6308742786041249,-0.08631434876381239,-0.045144754826072164,0.1600767266136327,-0.20522148143970487,-0.007084962971894227,0.10270304911622277,-0.109788012088117,39.46216449989516,118.55881736213043,-79.09665286223526,0.992016359991316,0.922425020804485,0.06959133918683102,0.3425865371746278,0.5257857915346811,-0.1831992543600533,wfe,cagr_oos|sharpe|worst10y|p10_5y|ci95_lo,1,5,MARGINAL_FULL
G3_nasdaq_mom21_S1_M5_filter_entry,nasdaq_mom21,S1,M5,filter_entry,0.25876872362502024,0.36895406199288416,-0.11018533836786393,0.23690197285549663,0.31950509801781,-0.021866750769523602,-0.049448963975074145,-0.027582213205550543,0.7993734347652558,0.9442167047916198,-0.144843270026364,-0.5325143138784448,-0.6308742786041249,0.0983599647256801,0.028195394151575792,0.1600767266136327,-0.1318813324620569,0.04067885296258242,0.10270304911622277,-0.062024196153640354,65.04268452505767,118.55881736213043,-53.51613283707276,0.9216969694055666,0.922425020804485,-0.0007280513989184056,0.4393953326192755,0.5257857915346811,-0.08639045891540559,maxdd|is_oos_gap,cagr_oos|sharpe|worst10y|p10_5y|wfe|ci95_lo,2,6,MARGINAL_FULL
G3_nasdaq_mom21_S1_M6_defensive,nasdaq_mom21,S1,M6,defensive,0.34506260563509317,0.36895406199288416,-0.023891456357790997,0.29146461033261684,0.31950509801781,-0.05359799530247633,-0.049448963975074145,0.004149031327402186,0.9551612362470976,0.9442167047916198,0.010944531455477802,-0.6347875548557869,-0.6308742786041249,-0.003913276251661935,0.12286910224777259,0.1600767266136327,-0.037207624365860115,0.10134265105744648,0.10270304911622277,-0.0013603980587762882,102.18805042985952,118.55881736213043,-16.37076693227091,0.9376018150997227,0.922425020804485,0.015176794295237772,0.5330871535416315,0.5257857915346811,0.007301362006950418,,cagr_oos|worst10y|wfe,0,3,FAIL_FULL
G3_nasdaq_mom21_S1_M6_procyclical,nasdaq_mom21,S1,M6,procyclical,0.38804517348102663,0.36895406199288416,0.019091111488142465,0.3448950491772136,0.31950509801781,-0.04315012430381304,-0.049448963975074145,-0.006298839671261103,0.9280488446828986,0.9442167047916198,-0.016167860108721177,-0.6277372388150981,-0.6308742786041249,0.0031370397890267965,0.16106767262907606,0.1600767266136327,0.0009909460154433614,0.09701008856962971,0.10270304911622277,-0.005692960546593059,102.18805042985952,118.55881736213043,-16.37076693227091,0.912867487447732,0.922425020804485,-0.009557533356752912,0.5169983365023727,0.5257857915346811,-0.008787455032308378,cagr_oos|is_oos_gap,wfe,2,1,MARGINAL_FULL
G3_nasdaq_mom21_S2_M1_defensive,nasdaq_mom21,S2,M1,defensive,0.12353672728373088,0.3423408795785974,-0.2188041522948665,0.10344380461632352,0.28975219670723273,-0.020092922667407365,-0.052588682871364645,-0.03249576020395728,0.6620640358258778,0.9899685484027655,-0.3279045125768877,-0.558695420981964,-0.5181849703181018,-0.04051045066386216,-0.02763408232674125,0.15932573272697081,-0.18695981505371206,-0.014692396335699189,0.11867000388796023,-0.13336240022365942,68.89125078632837,119.36299538687356,-50.47174460054519,1.0190052375629477,0.920915242156969,0.09808999540597874,0.366354126644648,0.5976195528092223,-0.2312654261645743,is_oos_gap|wfe,cagr_oos|sharpe|worst10y|p10_5y|ci95_lo,2,5,MARGINAL_FULL
G3_nasdaq_mom21_S2_M1_procyclical,nasdaq_mom21,S2,M1,procyclical,0.28974474698607433,0.3423408795785974,-0.05259613259252305,0.2568752151192,0.28975219670723273,-0.03286953186687436,-0.052588682871364645,-0.019719151004490287,0.9330916364345218,0.9899685484027655,-0.05687691196824374,-0.44512654305113475,-0.5181849703181018,0.0730584272669671,0.11852203339127731,0.15932573272697081,-0.0408036993356935,0.10720550719765151,0.11867000388796023,-0.011464496690308718,65.86600964562801,119.36299538687356,-53.49698574124555,0.9154524768255917,0.920915242156969,-0.0054627653313772395,0.5718768372248775,0.5976195528092223,-0.025742715584344822,maxdd|is_oos_gap,cagr_oos|sharpe|worst10y|wfe,2,4,MARGINAL_FULL
G3_nasdaq_mom21_S2_M2_defensive,nasdaq_mom21,S2,M2,defensive,0.24540500378702879,0.3423408795785974,-0.0969358757915686,0.1924602625147649,0.28975219670723273,-0.052944741272263895,-0.052588682871364645,0.00035605840089925067,0.9538756439876545,0.9899685484027655,-0.03609290441511104,-0.5182379497060561,-0.5181849703181018,-5.297938795423285e-05,0.045813783662980834,0.15932573272697081,-0.11351194906398998,0.06203678880510814,0.11867000388796023,-0.05663321508285209,101.5179020759069,119.36299538687356,-17.84509331096666,0.9853402542720868,0.920915242156969,0.06442501211511786,0.5693387927529063,0.5976195528092223,-0.028280760056315968,wfe,cagr_oos|worst10y|p10_5y,1,3,MARGINAL_FULL
G3_nasdaq_mom21_S2_M2_procyclical,nasdaq_mom21,S2,M2,procyclical,0.3560128156389921,0.3423408795785974,0.01367193606039474,0.31535355339196247,0.28975219670723273,-0.04065926224702965,-0.052588682871364645,-0.011929420624334997,0.9515596906298622,0.9899685484027655,-0.03840885777290326,-0.49970743254701755,-0.5181849703181018,0.018477537771084296,0.1484643397824874,0.15932573272697081,-0.010861392944483406,0.11889556669447102,0.11867000388796023,0.0002255628065107873,115.91651813797442,119.36299538687356,-3.446477248899143,0.9118647680126544,0.920915242156969,-0.00905047414431459,0.5822545967785402,0.5976195528092223,-0.015364956030682109,cagr_oos|is_oos_gap,wfe,2,1,MARGINAL_FULL
G3_nasdaq_mom21_S2_M4_vol_adj,nasdaq_mom21,S2,M4,vol_adj,0.21360251489334892,0.3423408795785974,-0.12873836468524846,0.21027407977247048,0.28975219670723273,-0.003328435120878437,-0.052588682871364645,-0.04926024775048621,0.8596337995271087,0.9899685484027655,-0.13033474887565677,-0.6505245694462185,-0.5181849703181018,-0.13233959912811666,0.07720034223241323,0.15932573272697081,-0.08212539049455758,0.05005944879866461,0.11867000388796023,-0.06861055508929562,112.47004088907528,119.36299538687356,-6.892954497798286,1.0012288324891945,0.920915242156969,0.08031359033222552,0.5172439048074321,0.5976195528092223,-0.0803756480017902,is_oos_gap|wfe,cagr_oos|sharpe|maxdd|worst10y|p10_5y|ci95_lo,2,6,MARGINAL_FULL
G3_nasdaq_mom21_S2_M4_reverse,nasdaq_mom21,S2,M4,reverse,0.22893655670835034,0.3423408795785974,-0.11340432287024704,0.29883265824730576,0.28975219670723273,0.06989610153895542,-0.052588682871364645,0.01730741866759078,0.7265801868800038,0.9899685484027655,-0.2633883615227617,-0.5709862972690588,-0.5181849703181018,-0.05280132695095696,0.06871145246726584,0.15932573272697081,-0.09061428025970497,0.07056012419211521,0.11867000388796023,-0.048109879695845015,114.0209556510799,119.36299538687356,-5.342039735793662,0.891988117773579,0.920915242156969,-0.028927124383389957,0.47869343030433237,0.5976195528092223,-0.11892612250488993,,cagr_oos|sharpe|worst10y|p10_5y|wfe|ci95_lo,0,6,FAIL_FULL
G3_nasdaq_mom21_S2_M5_stop_only,nasdaq_mom21,S2,M5,stop_only,0.22039496523499458,0.3423408795785974,-0.1219459143436028,0.16069626988632835,0.28975219670723273,-0.05969869534866623,-0.052588682871364645,0.007110012477301586,0.8270025506372453,0.9899685484027655,-0.16296599776552023,-0.6026516607025284,-0.5181849703181018,-0.08446669038442656,-0.007131149814241011,0.15932573272697081,-0.16645688254121183,0.02285011358701312,0.11867000388796023,-0.0958198903009471,39.51960578737681,119.36299538687356,-79.84338959949676,0.9804724069856906,0.920915242156969,0.05955716482872164,0.41753109572208796,0.5976195528092223,-0.18008845708713433,wfe,cagr_oos|sharpe|worst10y|p10_5y|ci95_lo,1,5,MARGINAL_FULL
G3_nasdaq_mom21_S2_M5_filter_entry,nasdaq_mom21,S2,M5,filter_entry,0.22961974439791533,0.3423408795785974,-0.11272113518068205,0.21852863262765654,0.28975219670723273,-0.011091111770258788,-0.052588682871364645,-0.04149757110110586,0.8063684197136934,0.9899685484027655,-0.18360012868907205,-0.39481545301886534,-0.5181849703181018,0.12336951729923651,0.07128173205372734,0.15932573272697081,-0.08804400067324347,0.06970897342807585,0.11867000388796023,-0.04896103045988438,65.02353742923044,119.36299538687356,-54.33945795764312,0.9192057464746171,0.920915242156969,-0.0017094956823519025,0.49330590088255855,0.5976195528092223,-0.10431365192666375,maxdd|is_oos_gap,cagr_oos|sharpe|worst10y|p10_5y|wfe|ci95_lo,2,6,MARGINAL_FULL
