window_id,window_kind,start_date,end_date,n_days,short_flag,baseline_cagr,candidate_cagr,baseline_sharpe,candidate_sharpe,baseline_maxdd,candidate_maxdd,cand_minus_base_cagr,cand_minus_base_sharpe
1977,IS,1977-01-03,1977-12-30,252,False,-0.052060,-0.047012,-0.418346,-0.396926,-0.143617,-0.137158,0.005048,0.021420
1978,IS,1978-01-03,1978-12-29,252,False,0.586743,0.516738,3.515868,3.636630,-0.108274,-0.087633,-0.070006,0.120761
1979,IS,1979-01-02,1979-12-31,253,False,0.190976,0.196945,1.152743,1.301865,-0.170230,-0.156699,0.005968,0.149122
1980,IS,1980-01-02,1980-12-31,253,False,0.344327,0.278162,1.422210,1.328530,-0.248733,-0.230133,-0.066165,-0.093681
1981,IS,1981-01-02,1981-12-31,253,False,-0.003355,-0.000295,-0.034934,0.018154,-0.045314,-0.037851,0.003061,0.053087
1982,IS,1982-01-04,1982-12-31,253,False,0.609262,0.491089,2.294550,2.294361,-0.140592,-0.117485,-0.118174,-0.000189
1983,IS,1983-01-03,1983-12-30,253,False,0.501657,0.394337,2.360960,2.268624,-0.097793,-0.084441,-0.107320,-0.092336
1984,IS,1984-01-03,1984-12-31,253,False,-0.078626,-0.075160,-1.043497,-0.927838,-0.091715,-0.090060,0.003467,0.115659
1985,IS,1985-01-02,1985-12-31,252,False,0.483264,0.473975,2.581712,2.751353,-0.146487,-0.138479,-0.009288,0.169641
1986,IS,1986-01-02,1986-12-31,253,False,0.349953,0.288767,1.662290,1.550722,-0.156277,-0.144931,-0.061186,-0.111568
1987,IS,1987-01-02,1987-12-31,253,False,0.215648,0.182459,1.274896,1.223239,-0.153371,-0.142238,-0.033189,-0.051657
1988,IS,1988-01-04,1988-12-30,253,False,-0.083673,-0.082203,-0.831916,-0.814938,-0.115524,-0.114595,0.001470,0.016978
1989,IS,1989-01-03,1989-12-29,252,False,0.265331,0.276309,1.560636,1.782568,-0.111628,-0.094112,0.010978,0.221932
1990,IS,1990-01-02,1990-12-31,253,False,-0.153308,-0.149876,-0.922129,-0.921181,-0.191405,-0.195096,0.003432,0.000948
1991,IS,1991-01-02,1991-12-31,253,False,0.319491,0.301710,1.240595,1.341170,-0.191971,-0.159310,-0.017781,0.100574
1992,IS,1992-01-02,1992-12-31,254,False,0.228075,0.189421,1.115634,1.069982,-0.200923,-0.172686,-0.038653,-0.045652
1993,IS,1993-01-04,1993-12-31,253,False,0.025102,0.041614,0.229952,0.343217,-0.191664,-0.162783,0.016512,0.113265
1994,IS,1994-01-03,1994-12-30,252,False,-0.030561,-0.023193,-0.131483,-0.093893,-0.116517,-0.105585,0.007369,0.037590
1995,IS,1995-01-03,1995-12-29,252,False,0.616446,0.548509,2.631273,2.725698,-0.112608,-0.093792,-0.067937,0.094425
1996,IS,1996-01-02,1996-12-31,254,False,0.194219,0.224442,0.930870,1.148753,-0.147983,-0.121348,0.030223,0.217883
1997,IS,1997-01-02,1997-12-31,253,False,0.269726,0.228506,1.396087,1.435387,-0.110345,-0.090878,-0.041220,0.039300
1998,IS,1998-01-02,1998-12-31,252,False,0.338481,0.312598,1.219517,1.320532,-0.143818,-0.129448,-0.025883,0.101015
1999,IS,1999-01-04,1999-12-31,252,False,0.848740,0.659589,1.824366,1.817657,-0.345727,-0.287403,-0.189151,-0.006709
2000,IS,2000-01-03,2000-12-29,252,False,-0.154596,-0.125504,-1.129073,-1.133136,-0.154596,-0.125504,0.029091,-0.004063
2001,IS,2001-01-02,2001-12-31,248,False,0.000000,0.000000,,,0.000000,0.000000,0.000000,
2002,IS,2002-01-02,2002-12-31,252,False,0.000000,0.000000,,,0.000000,0.000000,0.000000,
2003,IS,2003-01-02,2003-12-31,252,False,0.767669,0.691508,1.953211,2.110454,-0.137343,-0.112249,-0.076161,0.157243
2004,IS,2004-01-02,2004-12-31,252,False,0.020173,-0.006034,0.200106,0.065011,-0.244353,-0.233615,-0.026208,-0.135095
2005,IS,2005-01-03,2005-12-30,252,False,0.056033,0.086380,0.374088,0.539640,-0.183157,-0.173981,0.030347,0.165552
2006,IS,2006-01-03,2006-12-29,251,False,0.286185,0.302979,1.327793,1.511547,-0.123753,-0.104358,0.016794,0.183754
2007,IS,2007-01-03,2007-12-31,251,False,0.050268,0.064999,0.338971,0.421662,-0.122199,-0.117795,0.014731,0.082691
2008,IS,2008-01-02,2008-12-31,253,False,0.000000,0.000000,,,0.000000,0.000000,0.000000,
2009,IS,2009-01-02,2009-12-31,252,False,0.440404,0.409339,1.688286,1.865674,-0.105875,-0.083956,-0.031065,0.177388
2010,IS,2010-01-04,2010-12-31,252,False,0.561256,0.503785,1.888372,1.922174,-0.124447,-0.117246,-0.057472,0.033803
2011,IS,2011-01-03,2011-12-30,252,False,-0.092367,-0.074031,-0.554390,-0.477761,-0.154635,-0.136621,0.018337,0.076630
2012,IS,2012-01-03,2012-12-31,250,False,0.301229,0.275565,1.329764,1.370615,-0.138044,-0.123014,-0.025664,0.040850
2013,IS,2013-01-02,2013-12-31,252,False,0.117399,0.122906,0.644958,0.729914,-0.128273,-0.113923,0.005507,0.084956
2014,IS,2014-01-02,2014-12-31,252,False,0.026222,0.039014,0.249483,0.357748,-0.101903,-0.093879,0.012792,0.108264
2015,IS,2015-01-02,2015-12-31,252,False,-0.165925,-0.133704,-0.788479,-0.646242,-0.208772,-0.195088,0.032221,0.142237
2016,IS,2016-01-04,2016-12-30,252,False,-0.025306,-0.001146,0.014522,0.111660,-0.169587,-0.159739,0.024160,0.097138
2017,IS,2017-01-03,2017-12-29,251,False,0.265657,0.244986,1.661628,1.694618,-0.108958,-0.101031,-0.020672,0.032991
2018,IS,2018-01-02,2018-12-31,251,False,-0.092507,-0.057989,-0.413679,-0.273595,-0.200624,-0.156488,0.034519,0.140083
2019,IS,2019-01-02,2019-12-31,252,False,0.297993,0.281485,1.214092,1.220561,-0.188114,-0.173846,-0.016509,0.006470
2020,IS,2020-01-02,2020-12-31,253,False,0.709086,0.596221,1.985603,2.090484,-0.210667,-0.172584,-0.112864,0.104881
2021,OOS,2021-01-04,2021-12-31,252,False,0.270544,0.242218,1.130587,1.196475,-0.193126,-0.161915,-0.028326,0.065888
2022,OOS,2022-01-03,2022-12-30,251,False,0.000000,0.000000,,,0.000000,0.000000,0.000000,
2023,OOS,2023-01-03,2023-12-29,250,False,0.328754,0.299361,1.055916,1.064235,-0.263842,-0.246105,-0.029393,0.008318
2024,OOS,2024-01-02,2024-12-31,252,False,0.265104,0.281667,0.959992,1.123205,-0.165047,-0.136678,0.016563,0.163213
2025,OOS,2025-01-02,2025-12-31,250,False,0.258981,0.224710,1.037018,1.030176,-0.163292,-0.160812,-0.034271,-0.006842
2026,OOS,2026-01-02,2026-03-26,58,True,-0.284104,-0.262502,-1.268439,-1.168079,-0.131968,-0.131968,0.021602,0.100360
