window_id,window_kind,start_date,end_date,n_days,short_flag,baseline_cagr,candidate_cagr,baseline_sharpe,candidate_sharpe,baseline_maxdd,candidate_maxdd,cand_minus_base_cagr,cand_minus_base_sharpe
1977,IS,1977-01-03,1977-12-30,252,False,-0.052060,-0.060896,-0.418346,-0.610585,-0.143617,-0.119957,-0.008836,-0.192239
1978,IS,1978-01-03,1978-12-29,252,False,0.586743,0.310739,3.515868,2.782954,-0.108274,-0.079998,-0.276004,-0.732915
1979,IS,1979-01-02,1979-12-31,253,False,0.190976,0.233522,1.152743,1.995021,-0.170230,-0.089977,0.042546,0.842278
1980,IS,1980-01-02,1980-12-31,253,False,0.344327,0.598903,1.422210,2.336626,-0.248733,-0.166326,0.254576,0.914415
1981,IS,1981-01-02,1981-12-31,253,False,-0.003355,-0.000222,-0.034934,0.022241,-0.045314,-0.040829,0.003133,0.057175
1982,IS,1982-01-04,1982-12-31,253,False,0.609262,0.542458,2.294550,1.994320,-0.140592,-0.163339,-0.066804,-0.300230
1983,IS,1983-01-03,1983-12-30,253,False,0.501657,0.563511,2.360960,2.468561,-0.097793,-0.097793,0.061854,0.107601
1984,IS,1984-01-03,1984-12-31,253,False,-0.078626,-0.079286,-1.043497,-0.902133,-0.091715,-0.093205,-0.000660,0.141364
1985,IS,1985-01-02,1985-12-31,252,False,0.483264,0.699727,2.581712,3.743349,-0.146487,-0.094645,0.216464,1.161637
1986,IS,1986-01-02,1986-12-31,253,False,0.349953,0.344699,1.662290,1.791249,-0.156277,-0.117496,-0.005254,0.128959
1987,IS,1987-01-02,1987-12-31,253,False,0.215648,0.132624,1.274896,1.062650,-0.153371,-0.111799,-0.083024,-0.212245
1988,IS,1988-01-04,1988-12-30,253,False,-0.083673,-0.036881,-0.831916,-0.415078,-0.115524,-0.078974,0.046793,0.416838
1989,IS,1989-01-03,1989-12-29,252,False,0.265331,0.265022,1.560636,1.967231,-0.111628,-0.115873,-0.000309,0.406594
1990,IS,1990-01-02,1990-12-31,253,False,-0.153308,-0.142517,-0.922129,-0.941475,-0.191405,-0.167554,0.010791,-0.019346
1991,IS,1991-01-02,1991-12-31,253,False,0.319491,0.398550,1.240595,1.347063,-0.191971,-0.191971,0.079059,0.106468
1992,IS,1992-01-02,1992-12-31,254,False,0.228075,0.220616,1.115634,1.283026,-0.200923,-0.176961,-0.007459,0.167392
1993,IS,1993-01-04,1993-12-31,253,False,0.025102,0.063751,0.229952,0.437724,-0.191664,-0.171990,0.038648,0.207772
1994,IS,1994-01-03,1994-12-30,252,False,-0.030561,0.056186,-0.131483,0.491693,-0.116517,-0.090134,0.086747,0.623176
1995,IS,1995-01-03,1995-12-29,252,False,0.616446,0.578722,2.631273,2.667209,-0.112608,-0.085254,-0.037724,0.035937
1996,IS,1996-01-02,1996-12-31,254,False,0.194219,0.187827,0.930870,0.940788,-0.147983,-0.150874,-0.006392,0.009918
1997,IS,1997-01-02,1997-12-31,253,False,0.269726,0.216981,1.396087,1.390790,-0.110345,-0.088585,-0.052745,-0.005297
1998,IS,1998-01-02,1998-12-31,252,False,0.338481,0.380021,1.219517,1.354144,-0.143818,-0.119796,0.041539,0.134627
