window_id,window_kind,start_date,end_date,n_days,short_flag,baseline_cagr,candidate_cagr,baseline_sharpe,candidate_sharpe,baseline_maxdd,candidate_maxdd,cand_minus_base_cagr,cand_minus_base_sharpe
1977,IS,1977-01-03,1977-12-30,252,False,-0.052060,-0.030455,-0.418346,-0.254826,-0.143617,-0.118874,0.021604,0.163521
1978,IS,1978-01-03,1978-12-29,252,False,0.586743,0.510153,3.515868,3.634624,-0.108274,-0.077166,-0.076591,0.118756
1979,IS,1979-01-02,1979-12-31,253,False,0.190976,0.115462,1.152743,0.766399,-0.170230,-0.180683,-0.075514,-0.386343
1980,IS,1980-01-02,1980-12-31,253,False,0.344327,0.105372,1.422210,0.583629,-0.248733,-0.269618,-0.238955,-0.838581
1981,IS,1981-01-02,1981-12-31,253,False,-0.003355,-0.005044,-0.034934,-0.063793,-0.045314,-0.045314,-0.001688,-0.028859
1982,IS,1982-01-04,1982-12-31,253,False,0.609262,0.462881,2.294550,2.185894,-0.140592,-0.123403,-0.146381,-0.108656
1983,IS,1983-01-03,1983-12-30,253,False,0.501657,0.359047,2.360960,1.883842,-0.097793,-0.110372,-0.142610,-0.477118
1984,IS,1984-01-03,1984-12-31,253,False,-0.078626,-0.069183,-1.043497,-0.987871,-0.091715,-0.083209,0.009443,0.055626
1985,IS,1985-01-02,1985-12-31,252,False,0.483264,0.516979,2.581712,3.003948,-0.146487,-0.120829,0.033716,0.422236
1986,IS,1986-01-02,1986-12-31,253,False,0.349953,0.381679,1.662290,2.055254,-0.156277,-0.109132,0.031727,0.392965
1987,IS,1987-01-02,1987-12-31,253,False,0.215648,0.111649,1.274896,0.850210,-0.153371,-0.147353,-0.104000,-0.424686
1988,IS,1988-01-04,1988-12-30,253,False,-0.083673,-0.066875,-0.831916,-0.743483,-0.115524,-0.098410,0.016798,0.088433
1989,IS,1989-01-03,1989-12-29,252,False,0.265331,0.272245,1.560636,1.892383,-0.111628,-0.081515,0.006914,0.331747
1990,IS,1990-01-02,1990-12-31,253,False,-0.153308,-0.014148,-0.922129,-0.008647,-0.191405,-0.138429,0.139160,0.913482
