label,period_start,period_end,n_obs,CAGR_IS,CAGR_OOS,CAGR_FULL,Sharpe_OOS,MaxDD_FULL,Worst10Y_calendar,P10_5Y,IS_OOS_gap_pp,Trades_per_yr_exact,Trades_per_yr_navproxy,WFA_CI95_lo_annual,WFA_WFE_calendar,WFA_WFE_50w_sharpe
S3_DH-W1_baseline,1974-01-02,2026-03-26,13169,0.180997,0.189142,0.181724,0.844797,-0.345727,0.103656,0.048151,-0.814552,,68.741678,0.136140,0.743657,1.023103
V0_M6_def_baseline,1974-01-02,2026-03-26,13169,0.166896,0.180599,0.168140,0.891807,-0.287403,0.107500,0.052125,-1.370331,,59.205924,0.126545,0.781968,1.044043
V1_M6_def_mild,1974-01-02,2026-03-26,13169,0.171209,0.184163,0.172383,0.880314,-0.302450,0.107270,0.051021,-1.295380,,60.278218,0.129645,0.774240,1.040310
V2_M6_def_extreme_only,1974-01-02,2026-03-26,13169,0.164499,0.182710,0.166160,0.908562,-0.293673,0.109036,0.051039,-1.821074,,53.787012,0.125193,0.804533,1.056073
V3_M6_def_boost_low,1974-01-02,2026-03-26,13169,0.174598,0.184896,0.175526,0.873067,-0.302450,0.111842,0.053654,-1.029795,,74.830773,0.132417,0.762493,1.043783
V4_M6_def_strong_asym,1974-01-02,2026-03-26,13169,0.176262,0.186770,0.177209,0.872903,-0.306372,0.113801,0.055920,-1.050815,,74.141442,0.133936,0.763931,1.047044
V5_M6_def_narrow_band,1974-01-02,2026-03-26,13169,0.173454,0.186129,0.174602,0.877335,-0.304320,0.109843,0.050772,-1.267500,,35.098467,0.131484,0.771200,1.044536
V6_M6_def_boost_heavy,1974-01-02,2026-03-26,13169,0.182491,0.191646,0.183311,0.855280,-0.331613,0.110578,0.052104,-0.915566,,57.080485,0.138242,0.751900,1.035671
V7_M6_def_pure_boost,1974-01-02,2026-03-26,13169,0.186107,0.191783,0.186603,0.840709,-0.345727,0.110188,0.052199,-0.567595,,26.539266,0.140594,0.734848,1.029007
V8_M2_def_sharp,1974-01-02,2026-03-26,13169,0.127776,0.156959,0.130447,1.004697,-0.270993,0.095873,0.062566,-2.918360,,56.774115,0.097648,0.901718,1.133613
V9_M2_proc,1974-01-02,2026-03-26,13169,0.193758,0.193866,0.193735,0.778909,-0.426081,0.087303,0.041473,-0.010860,,71.690485,0.142977,0.690049,0.989194
