window_id,window_kind,start_date,end_date,n_days,short_flag,baseline_cagr,candidate_cagr,baseline_sharpe,candidate_sharpe,baseline_maxdd,candidate_maxdd,cand_minus_base_cagr,cand_minus_base_sharpe
1977,IS,1977-01-03,1977-12-30,252,False,-0.116885,-0.108677,-0.354037,-0.348784,-0.283683,-0.270990,0.008208,0.005252
1978,IS,1978-01-03,1978-12-29,252,False,1.502223,1.267650,3.005549,3.071568,-0.322824,-0.283045,-0.234572,0.066020
1979,IS,1979-01-02,1979-12-31,253,False,0.207711,0.229836,0.700279,0.789157,-0.448736,-0.409565,0.022125,0.088878
1980,IS,1980-01-02,1980-12-31,253,False,0.820800,0.658003,1.748697,1.622749,-0.461278,-0.421918,-0.162797,-0.125947
1981,IS,1981-01-02,1981-12-31,253,False,-0.378956,-0.371236,-1.739694,-1.740456,-0.423483,-0.418115,0.007721,-0.000762
1982,IS,1982-01-04,1982-12-31,253,False,0.986147,0.788472,2.035810,1.919404,-0.214247,-0.215390,-0.197675,-0.116406
1983,IS,1983-01-03,1983-12-30,253,False,0.092032,-0.000269,0.450259,0.130783,-0.381938,-0.378790,-0.092301,-0.319476
1984,IS,1984-01-03,1984-12-31,253,False,-0.193198,-0.175731,-0.735179,-0.594608,-0.291191,-0.295060,0.017468,0.140570
1985,IS,1985-01-02,1985-12-31,252,False,1.739548,1.655971,3.263572,3.435184,-0.287933,-0.279086,-0.083577,0.171612
1986,IS,1986-01-02,1986-12-31,253,False,0.524587,0.341191,1.227329,0.971531,-0.425324,-0.414683,-0.183395,-0.255797
1987,IS,1987-01-02,1987-12-31,253,False,0.714931,0.671833,1.774659,1.846917,-0.284407,-0.251790,-0.043098,0.072258
1988,IS,1988-01-04,1988-12-30,253,False,-0.255274,-0.254331,-1.001321,-0.996145,-0.332820,-0.332566,0.000943,0.005176
1989,IS,1989-01-03,1989-12-29,252,False,0.639263,0.652057,1.538896,1.703176,-0.231651,-0.213241,0.012794,0.164280
1990,IS,1990-01-02,1990-12-31,253,False,-0.404136,-0.390696,-1.129278,-1.104021,-0.520470,-0.498233,0.013440,0.025257
1991,IS,1991-01-02,1991-12-31,253,False,0.831279,0.812494,1.501134,1.632868,-0.357822,-0.304671,-0.018785,0.131734
1992,IS,1992-01-02,1992-12-31,254,False,0.618466,0.486180,1.475574,1.334000,-0.281543,-0.259957,-0.132286,-0.141574
1993,IS,1993-01-04,1993-12-31,253,False,-0.018634,0.018842,0.101671,0.208546,-0.272281,-0.228260,0.037476,0.106874
1994,IS,1994-01-03,1994-12-30,252,False,-0.087816,-0.071255,-0.102803,-0.066703,-0.336428,-0.334065,0.016560,0.036100
1995,IS,1995-01-03,1995-12-29,252,False,1.645587,1.447340,3.036543,3.094800,-0.150856,-0.150856,-0.198247,0.058257
1996,IS,1996-01-02,1996-12-31,254,False,0.494475,0.588763,1.126171,1.368302,-0.303188,-0.252422,0.094288,0.242131
1997,IS,1997-01-02,1997-12-31,253,False,0.630642,0.553801,1.812054,1.911539,-0.216519,-0.185219,-0.076841,0.099485
1998,IS,1998-01-02,1998-12-31,252,False,0.915861,0.866488,1.882221,2.025572,-0.253638,-0.241850,-0.049373,0.143350
1999,IS,1999-01-04,1999-12-31,252,False,0.810678,0.645337,1.934911,1.917884,-0.251689,-0.216477,-0.165341,-0.017027
2000,IS,2000-01-03,2000-12-29,252,False,-0.099156,-0.061933,-0.366870,-0.247305,-0.198396,-0.161959,0.037223,0.119565
2001,IS,2001-01-02,2001-12-31,248,False,-0.069786,-0.070374,-0.330798,-0.330918,-0.131541,-0.138307,-0.000588,-0.000120
2002,IS,2002-01-02,2002-12-31,252,False,0.146061,0.145831,1.006691,0.993877,-0.107109,-0.114254,-0.000230,-0.012814
2003,IS,2003-01-02,2003-12-31,252,False,1.178693,1.034273,1.838941,1.951428,-0.236338,-0.182879,-0.144420,0.112486
2004,IS,2004-01-02,2004-12-31,252,False,0.148363,0.085137,0.552953,0.408992,-0.397710,-0.382681,-0.063225,-0.143961
2005,IS,2005-01-03,2005-12-30,252,False,-0.139578,-0.085579,-0.137696,-0.027951,-0.392687,-0.379766,0.053999,0.109745
2006,IS,2006-01-03,2006-12-29,251,False,0.519539,0.547841,1.248739,1.390013,-0.212621,-0.178063,0.028302,0.141274
2007,IS,2007-01-03,2007-12-31,251,False,0.281667,0.303959,0.836114,0.910557,-0.233471,-0.223457,0.022292,0.074443
2008,IS,2008-01-02,2008-12-31,253,False,0.212688,0.211838,0.994189,0.988343,-0.172442,-0.174302,-0.000850,-0.005846
2009,IS,2009-01-02,2009-12-31,252,False,0.527636,0.493595,1.243160,1.309369,-0.191264,-0.153372,-0.034040,0.066209
2010,IS,2010-01-04,2010-12-31,252,False,1.072170,0.964043,1.740683,1.793913,-0.242597,-0.227746,-0.108127,0.053230
2011,IS,2011-01-03,2011-12-30,252,False,-0.051437,-0.011138,0.039402,0.139049,-0.269532,-0.228781,0.040300,0.099647
2012,IS,2012-01-03,2012-12-31,250,False,0.396494,0.334507,1.071566,1.035942,-0.293123,-0.269254,-0.061986,-0.035624
2013,IS,2013-01-02,2013-12-31,252,False,0.360927,0.383750,0.952999,1.070058,-0.191318,-0.175211,0.022824,0.117058
2014,IS,2014-01-02,2014-12-31,252,False,0.137689,0.158715,0.593497,0.702432,-0.159278,-0.142907,0.021026,0.108935
