window_id,window_kind,start_date,end_date,n_days,short_flag,baseline_cagr,candidate_cagr,baseline_sharpe,candidate_sharpe,baseline_maxdd,candidate_maxdd,cand_minus_base_cagr,cand_minus_base_sharpe
1977,IS,1977-01-03,1977-12-30,252,False,-0.051115,-0.045813,-0.186978,-0.174899,-0.207687,-0.198019,0.005302,0.012079
1978,IS,1978-01-03,1978-12-29,252,False,0.954157,0.816780,2.837597,2.850489,-0.272002,-0.240802,-0.137377,0.012892
1979,IS,1979-01-02,1979-12-31,253,False,0.240048,0.249665,0.908774,1.005500,-0.351391,-0.325448,0.009617,0.096726
1980,IS,1980-01-02,1980-12-31,253,False,0.668293,0.545015,1.713040,1.564234,-0.393941,-0.366922,-0.123278,-0.148806
1981,IS,1981-01-02,1981-12-31,253,False,-0.302758,-0.297325,-1.479385,-1.472666,-0.352474,-0.349453,0.005433,0.006719
1982,IS,1982-01-04,1982-12-31,253,False,0.919908,0.758332,2.102952,2.010387,-0.191918,-0.192590,-0.161576,-0.092564
1983,IS,1983-01-03,1983-12-30,253,False,0.128445,0.040406,0.629227,0.294887,-0.308957,-0.306808,-0.088039,-0.334340
1984,IS,1984-01-03,1984-12-31,253,False,-0.113186,-0.098166,-0.518417,-0.395854,-0.204370,-0.207254,0.015020,0.122562
1985,IS,1985-01-02,1985-12-31,252,False,1.175661,1.123592,3.351278,3.515082,-0.212565,-0.205758,-0.052069,0.163804
1986,IS,1986-01-02,1986-12-31,253,False,0.444654,0.301700,1.309324,1.045211,-0.328949,-0.321368,-0.142954,-0.264113
1987,IS,1987-01-02,1987-12-31,253,False,0.618346,0.577337,1.911400,1.972150,-0.218855,-0.193414,-0.041009,0.060750
1988,IS,1988-01-04,1988-12-30,253,False,-0.195522,-0.195002,-0.956550,-0.953130,-0.264969,-0.264862,0.000520,0.003420
1989,IS,1989-01-03,1989-12-29,252,False,0.525648,0.525897,1.714028,1.882781,-0.169313,-0.153307,0.000249,0.168753
1990,IS,1990-01-02,1990-12-31,253,False,-0.344661,-0.337387,-1.225008,-1.208743,-0.439756,-0.428415,0.007274,0.016265
1991,IS,1991-01-02,1991-12-31,253,False,0.840613,0.779421,1.731664,1.850505,-0.292703,-0.246583,-0.061191,0.118840
