pattern_id,tier,signal_id,strategy,method,direction,signal_name,cand_cagr_oos,base_cagr_oos,cagr_oos_diff,cand_cagr_is,base_cagr_is,cand_is_oos_gap,base_is_oos_gap,is_oos_gap_diff,cand_sharpe_oos,base_sharpe_oos,sharpe_diff,cand_maxdd,base_maxdd,maxdd_diff,cand_worst10y,base_worst10y,worst10y_diff,cand_p10_5y,base_p10_5y,p10_5y_diff,improved_axes,degraded_axes,n_improved,n_degraded,judgment
T1_M1_6_S1_defensive,1,6,S1,M1,defensive,VIX level,0.10310426639215642,0.36895406199288416,-0.26584979560072775,0.1701584250835937,0.31950509801781,0.06705415869143727,-0.049448963975074145,0.017605194716363126,0.459608989611634,0.9442167047916198,-0.4846077151799858,-0.6025155028442236,-0.6308742786041249,0.02835877575990131,-0.04346514271407764,0.1600767266136327,-0.20354186932771035,-0.028806671075224943,0.10270304911622277,-0.13150972019144772,maxdd,cagr_oos|sharpe|worst10y|p10_5y|is_oos_gap,1,5,MARGINAL
T1_M1_6_S1_procyclical,1,6,S1,M1,procyclical,VIX level,0.3241875113674437,0.36895406199288416,-0.04476655062544044,0.23547433531242712,0.31950509801781,-0.08871317605501661,-0.049448963975074145,0.03926421207994246,1.057791482348337,0.9442167047916198,0.11357477755671719,-0.58334523861077,-0.6308742786041249,0.047529039993354893,0.05471009784641945,0.1600767266136327,-0.10536662876721326,0.09145065231392309,0.10270304911622277,-0.011252396802299683,sharpe|maxdd,cagr_oos|worst10y|p10_5y|is_oos_gap,2,4,MARGINAL
T1_M2_6_S1_defensive,1,6,S1,M2,defensive,VIX level,0.2645181140340531,0.36895406199288416,-0.10443594795883104,0.28428879965821663,0.31950509801781,0.01977068562416351,-0.049448963975074145,-0.029678278350910636,0.7818995681485607,0.9442167047916198,-0.16231713664305913,-0.6553309115553116,-0.6308742786041249,-0.02445663295118672,0.05488494856239545,0.1600767266136327,-0.10519177805123725,0.08556066339433537,0.10270304911622277,-0.017142385721887407,is_oos_gap,cagr_oos|sharpe|worst10y|p10_5y,1,4,MARGINAL
T1_M2_6_S1_procyclical,1,6,S1,M2,procyclical,VIX level,0.38091173559522473,0.36895406199288416,0.011957673602340568,0.29370281271646803,0.31950509801781,-0.0872089228787567,-0.049448963975074145,0.037759958903682556,0.9848250911709384,0.9442167047916198,0.04060838637931863,-0.6615875943906551,-0.6308742786041249,-0.030713315786530138,0.08465065283685225,0.1600767266136327,-0.07542607377678046,0.10710539483548724,0.10270304911622277,0.004402345719264469,cagr_oos|sharpe,worst10y|is_oos_gap,2,2,MARGINAL
T1_M1_6_S2_defensive,1,6,S2,M1,defensive,VIX level,0.10837650477126926,0.3423408795785974,-0.23396437480732812,0.1480443163727252,0.28975219670723273,0.03966781160145594,-0.052588682871364645,-0.012920871269908707,0.5083438869935498,0.9899685484027655,-0.48162466140921567,-0.5181849703181018,-0.5181849703181018,0.0,-0.021595253453310925,0.15932573272697081,-0.18092098618028174,-0.01862348614983611,0.11867000388796023,-0.13729349003779634,is_oos_gap,cagr_oos|sharpe|worst10y|p10_5y,1,4,MARGINAL
T1_M1_6_S2_procyclical,1,6,S2,M1,procyclical,VIX level,0.2879648749404504,0.3423408795785974,-0.05437600463814696,0.2125653455637304,0.28975219670723273,-0.07539952937672001,-0.052588682871364645,0.022810846505355364,1.0642452699480163,0.9899685484027655,0.07427672154525078,-0.4735597888544525,-0.5181849703181018,0.044625181463649355,0.05601855337203565,0.15932573272697081,-0.10330717935493516,0.08844690623111409,0.11867000388796023,-0.030223097656846137,sharpe|maxdd,cagr_oos|worst10y|p10_5y|is_oos_gap,2,4,MARGINAL
T1_M2_6_S2_defensive,1,6,S2,M2,defensive,VIX level,0.2530368462626289,0.3423408795785974,-0.08930403331596848,0.2539809369650132,0.28975219670723273,0.0009440907023843259,-0.052588682871364645,-0.05164459216898032,0.8442005544771429,0.9899685484027655,-0.14576799392562256,-0.587995384513005,-0.5181849703181018,-0.06981041419490319,0.08417112263102777,0.15932573272697081,-0.07515461009594304,0.10424946652290652,0.11867000388796023,-0.014420537365053707,is_oos_gap,cagr_oos|sharpe|maxdd|worst10y|p10_5y,1,5,MARGINAL
T1_M2_6_S2_procyclical,1,6,S2,M2,procyclical,VIX level,0.34782865811660035,0.3423408795785974,0.005487778538002974,0.268118516667478,0.28975219670723273,-0.07971014144912236,-0.052588682871364645,0.027121458577757718,1.0096657744583817,0.9899685484027655,0.01969722605561619,-0.5431539296875838,-0.5181849703181018,-0.024968959369481958,0.08703040345697333,0.15932573272697081,-0.07229532926999749,0.11305934539870366,0.11867000388796023,-0.00561065848925657,cagr_oos,worst10y|is_oos_gap,1,2,MARGINAL
T1_M1_6_S3_defensive,1,6,S3,M1,defensive,VIX level,0.03942047568341045,0.2111237540590425,-0.17170327837563204,0.0926269909191424,0.17563190540045204,0.053206515235731944,-0.03549184865859045,0.01771466657714149,0.30766936851140614,0.9026733232043065,-0.5950039546929003,-0.3472429125346629,-0.3457269515654877,-0.0015159609691751674,-0.028696150919190755,0.08998175595938962,-0.11867790687858037,-0.01634631764546615,0.048150778386904576,-0.06449709603237072,,cagr_oos|sharpe|worst10y|p10_5y|is_oos_gap,0,5,FAIL
T1_M1_6_S3_procyclical,1,6,S3,M1,procyclical,VIX level,0.19268476672173995,0.2111237540590425,-0.018438987337302537,0.12785856724517464,0.17563190540045204,-0.06482619947656532,-0.03549184865859045,0.029334350817974864,1.0125430722492228,0.9026733232043065,0.10986974904491631,-0.33556936830326,-0.3457269515654877,0.01015758326222771,0.06382448089451498,0.08998175595938962,-0.02615727506487464,0.04495203722769303,0.048150778386904576,-0.0031987411592115447,sharpe,cagr_oos|worst10y|is_oos_gap,1,3,MARGINAL
