pattern_id,tier,signal_id,strategy,method,direction,signal_name,cand_cagr_oos,base_cagr_oos,cagr_oos_diff,cand_cagr_is,base_cagr_is,cand_is_oos_gap,base_is_oos_gap,is_oos_gap_diff,cand_sharpe_oos,base_sharpe_oos,sharpe_diff,cand_maxdd,base_maxdd,maxdd_diff,cand_worst10y,base_worst10y,worst10y_diff,cand_p10_5y,base_p10_5y,p10_5y_diff,cand_trades_yr,base_trades_yr,trades_yr_diff,cand_wfe,base_wfe,wfe_diff,cand_ci95_lo,base_ci95_lo,ci95_lo_diff,improved_axes,degraded_axes,n_improved,n_degraded,judgment,improved_axes_relaxed,degraded_axes_relaxed,n_improved_relaxed,n_degraded_relaxed,judgment_relaxed,improved_axes_full,degraded_axes_full,n_improved_full,n_degraded_full,judgment_full
T2F_M2_21_S1_procyclical,2,21,S1,M2,procyclical,ICE BofA HY OAS,0.35919926227033083,0.36895406199288416,-0.009754799722553331,0.2324314688453577,0.31950509801781,-0.12676779342497313,-0.049448963975074145,0.07731882944989898,0.9953447540510569,0.9442167047916198,0.05112804925943715,-0.4904815381749854,-0.6308742786041249,0.14039274042913952,0.12420818805811118,0.1600767266136327,-0.03586853855552152,0.08880684458772592,0.10270304911622277,-0.013896204528496853,124.62844673935837,118.55881736213043,6.06962937722794,0.928534865544343,0.922425020804485,0.006109844739857984,0.5323153796888074,0.5257857915346811,0.006529588154126298,sharpe|maxdd,worst10y|p10_5y|is_oos_gap,2,3,MARGINAL,sharpe|maxdd,worst10y|is_oos_gap,2,2,MARGINAL_RELAXED,sharpe|maxdd,worst10y|is_oos_gap|wfe,2,3,MARGINAL_FULL
T2F_M4_21_S1_vol_adj,2,21,S1,M4,vol_adj,ICE BofA HY OAS,0.30076386365581764,0.36895406199288416,-0.06819019833706652,0.5088357080675274,0.31950509801781,0.20807184441170978,-0.049448963975074145,0.15862288043663564,0.7956370020123907,0.9442167047916198,-0.14857970277922905,-0.8308052012064192,-0.6308742786041249,-0.19993092260229428,0.08477173038281349,0.1600767266136327,-0.07530499623081921,0.17416549020389652,0.10270304911622277,0.07146244108767374,125.14541832669323,118.55881736213043,6.586600964562805,0.9512661929351299,0.922425020804485,0.028841172130644965,0.6336403442997531,0.5257857915346811,0.10785455276507205,p10_5y,cagr_oos|sharpe|maxdd|worst10y|is_oos_gap,1,5,MARGINAL,p10_5y,cagr_oos|sharpe|maxdd|worst10y|is_oos_gap,1,5,MARGINAL_RELAXED,p10_5y|ci95_lo,cagr_oos|sharpe|maxdd|worst10y|is_oos_gap,2,5,MARGINAL_FULL
T2F_M5_21_S1_filter_entry,2,21,S1,M5,filter_entry,ICE BofA HY OAS,0.14315800126588107,0.36895406199288416,-0.2257960607270031,0.0,0.31950509801781,-0.14315800126588107,-0.049448963975074145,0.09370903729080693,0.7094844653293574,0.9442167047916198,-0.2347322394622624,-0.3925695775502821,-0.6308742786041249,0.23830470105384283,-0.006463764594158206,0.1600767266136327,-0.1665404912077909,0.0,0.10270304911622277,-0.10270304911622277,117.94611029565947,118.55881736213043,-0.6127070664709606,3.8708482054373885,0.922425020804485,2.9484231846329036,0.6453854376458801,0.5257857915346811,0.119599646111199,maxdd,cagr_oos|sharpe|worst10y|p10_5y|is_oos_gap,1,5,MARGINAL,maxdd,cagr_oos|sharpe|worst10y|p10_5y|is_oos_gap,1,5,MARGINAL_RELAXED,maxdd|wfe|ci95_lo,cagr_oos|sharpe|worst10y|p10_5y|is_oos_gap,3,5,MARGINAL_FULL
T2F_M2_21_S2_procyclical,2,21,S2,M2,procyclical,ICE BofA HY OAS,0.32545920830658925,0.3423408795785974,-0.016881671272008125,0.20611976609635807,0.28975219670723273,-0.11933944221023118,-0.052588682871364645,0.06675075933886654,1.0277880768509482,0.9899685484027655,0.037819528448182704,-0.4590841729216315,-0.5181849703181018,0.05910079739647034,0.11762327299188535,0.15932573272697081,-0.04170245973508546,0.09226996576523336,0.11867000388796023,-0.02640003812272687,125.27944799748376,119.36299538687356,5.916452610610193,0.9342421355311162,0.920915242156969,0.013326893374147275,0.6040127664272135,0.5976195528092223,0.006393213617991167,sharpe|maxdd,cagr_oos|worst10y|p10_5y|is_oos_gap,2,4,MARGINAL,sharpe|maxdd,worst10y|p10_5y|is_oos_gap,2,3,MARGINAL_RELAXED,sharpe|maxdd,worst10y|p10_5y|is_oos_gap|wfe,2,4,MARGINAL_FULL
T2F_M4_21_S2_vol_adj,2,21,S2,M4,vol_adj,ICE BofA HY OAS,0.2458427200301574,0.3423408795785974,-0.09649815954843999,0.44543888921244834,0.28975219670723273,0.19959616918229095,-0.052588682871364645,0.1470074863109263,0.7723110003327266,0.9899685484027655,-0.2176575480700389,-0.7622181391846359,-0.5181849703181018,-0.24403316886653403,0.12863717023663956,0.15932573272697081,-0.03068856249033125,0.17720097749926697,0.11867000388796023,0.05853097361130674,125.5475073390648,119.36299538687356,6.1845119521912295,0.9620728715031781,0.920915242156969,0.041157629346209146,0.6886095746207781,0.5976195528092223,0.0909900218115558,p10_5y,cagr_oos|sharpe|maxdd|worst10y|is_oos_gap,1,5,MARGINAL,p10_5y,cagr_oos|sharpe|maxdd|worst10y|is_oos_gap,1,5,MARGINAL_RELAXED,p10_5y|ci95_lo,cagr_oos|sharpe|maxdd|worst10y|is_oos_gap,2,5,MARGINAL_FULL
T2F_M5_21_S2_filter_entry,2,21,S2,M5,filter_entry,ICE BofA HY OAS,0.1311493712447931,0.3423408795785974,-0.2111915083338043,0.0,0.28975219670723273,-0.1311493712447931,-0.052588682871364645,0.07856068837342844,0.7297761805465331,0.9899685484027655,-0.26019236785623234,-0.3693911526130519,-0.5181849703181018,0.14879381770504996,-0.005826798657400767,0.15932573272697081,-0.16515253138437158,0.0,0.11867000388796023,-0.11867000388796023,118.65455284126652,119.36299538687356,-0.708442545607042,3.915622624802387,0.920915242156969,2.994707382645418,0.7234314211950068,0.5976195528092223,0.1258118683857845,maxdd,cagr_oos|sharpe|worst10y|p10_5y|is_oos_gap,1,5,MARGINAL,maxdd,cagr_oos|sharpe|worst10y|p10_5y|is_oos_gap,1,5,MARGINAL_RELAXED,maxdd|wfe|ci95_lo,cagr_oos|sharpe|worst10y|p10_5y|is_oos_gap,3,5,MARGINAL_FULL
T2F_M2_21_S3_procyclical,2,21,S3,M2,procyclical,ICE BofA HY OAS,0.19487921264918917,0.2111237540590425,-0.01624454140985332,0.12417812675314366,0.17563190540045204,-0.07070108589604551,-0.03549184865859045,0.03520923723745506,0.9561379765969023,0.9026733232043065,0.05346465339259576,-0.33135445285093157,-0.3457269515654877,0.014372498714556148,0.06703898609848102,0.08998175595938962,-0.022942769860908596,0.03734587680957699,0.048150778386904576,-0.010804901577327587,71.80160935206543,68.73807401971064,3.063535332354789,1.0391479431618809,1.023102865510121,0.016045077651759776,0.6840255235166055,0.6704755123961896,0.013550011120415872,sharpe,cagr_oos|worst10y|p10_5y|is_oos_gap,1,4,MARGINAL,sharpe,worst10y|is_oos_gap,1,2,MARGINAL_RELAXED,sharpe,worst10y|is_oos_gap,1,2,MARGINAL_FULL
T2F_M4_21_S3_vol_adj,2,21,S3,M4,vol_adj,ICE BofA HY OAS,0.20128521525803023,0.2111237540590425,-0.009838538801012264,0.27780722030445215,0.17563190540045204,0.07652200504642193,-0.03549184865859045,0.04103015638783147,0.9002450218878281,0.9026733232043065,-0.0024283013164784206,-0.40873996579743654,-0.3457269515654877,-0.06301301423194883,0.14787770628402552,0.08998175595938962,0.0578959503246359,0.09817479406620358,0.048150778386904576,0.050024015679299004,72.29943384357308,68.73807401971064,3.561359823862446,1.0339346587014941,1.023102865510121,0.010831793191373063,0.8411655271661728,0.6704755123961896,0.17069001476998313,worst10y|p10_5y,maxdd|is_oos_gap,2,2,MARGINAL,worst10y|p10_5y,is_oos_gap,2,1,MARGINAL_RELAXED,worst10y|p10_5y|ci95_lo,is_oos_gap,3,1,MARGINAL_FULL
T2F_M5_21_S3_filter_entry,2,21,S3,M5,filter_entry,ICE BofA HY OAS,0.07970083903367975,0.2111237540590425,-0.13142291502536274,0.0,0.17563190540045204,-0.07970083903367975,-0.03549184865859045,0.044208990375089297,0.7267206622781601,0.9026733232043065,-0.17595266092614636,-0.26384235520377886,-0.3457269515654877,0.08188459636170886,-0.006438312564331916,0.08998175595938962,-0.09642006852372154,0.0,0.048150778386904576,-0.048150778386904576,67.30204183266933,68.73807401971064,-1.436032187041306,4.069317102381952,1.023102865510121,3.0462142368718306,0.7904131931825714,0.6704755123961896,0.11993768078638178,maxdd,cagr_oos|sharpe|worst10y|p10_5y|is_oos_gap,1,5,MARGINAL,maxdd,cagr_oos|sharpe|worst10y|p10_5y|is_oos_gap,1,5,MARGINAL_RELAXED,maxdd|wfe|ci95_lo,cagr_oos|sharpe|worst10y|p10_5y|is_oos_gap,3,5,MARGINAL_FULL
T2F_M2_23_S1_procyclical,2,23,S1,M2,procyclical,BAA-10Y credit spread,0.3656893563196464,0.36895406199288416,-0.0032647056732377777,0.28884887845378837,0.31950509801781,-0.07684047786585801,-0.049448963975074145,0.02739151389078387,0.9970279571616875,0.9442167047916198,0.052811252370067674,-0.6342888105442421,-0.6308742786041249,-0.0034145319401172047,0.1404970112577839,0.1600767266136327,-0.019579715355848792,0.10302723671913339,0.10270304911622277,0.0003241876029106139,127.61539368840428,118.55881736213043,9.056576326273856,0.9534915910042605,0.922425020804485,0.031066570199775545,0.5223683987721021,0.5257857915346811,-0.003417392762579019,sharpe,worst10y|is_oos_gap,1,2,MARGINAL,sharpe,,1,0,MARGINAL_RELAXED,sharpe,,1,0,MARGINAL_FULL
