pattern_id,tier,signal_id,signal_name,strategy,method,direction,cand_cagr_oos,base_cagr_oos,cagr_oos_diff,cand_cagr_is,base_cagr_is,cand_is_oos_gap,base_is_oos_gap,is_oos_gap_diff,cand_sharpe_oos,base_sharpe_oos,sharpe_diff,cand_maxdd,base_maxdd,maxdd_diff,cand_worst10y,base_worst10y,worst10y_diff,cand_p10_5y,base_p10_5y,p10_5y_diff,cand_trades_yr,base_trades_yr,trades_yr_diff,cand_wfe,base_wfe,wfe_diff,cand_ci95_lo,base_ci95_lo,ci95_lo_diff,improved_axes,degraded_axes,n_improved,n_degraded,judgment,improved_axes_relaxed,degraded_axes_relaxed,n_improved_relaxed,n_degraded_relaxed,judgment_relaxed,improved_axes_full,degraded_axes_full,n_improved_full,n_degraded_full,judgment_full
T3F_M1_21_AND_23_S1_procyclical,3,21_AND_23,ICE BofA HY OAS AND BAA-10Y credit spread,S1,M1,procyclical,0.1987341071073816,0.36895406199288416,-0.17021995488550257,0.16921409943093746,0.31950509801781,-0.029520007676444138,-0.049448963975074145,-0.019928956298630007,0.9442167047916189,0.9442167047916198,-8.881784197001252e-16,-0.37546884449312456,-0.6308742786041249,0.25540543411100036,0.09399886034956229,0.1600767266136327,-0.06607786626407042,0.07129785448868256,0.10270304911622277,-0.03140519462754021,122.34994233591948,118.55881736213043,3.791124973789053,0.9224250208044845,0.922425020804485,-4.440892098500626e-16,0.5257857915346802,0.5257857915346811,-8.881784197001252e-16,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL_RELAXED,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y|wfe,2,4,MARGINAL_FULL
T3F_M1_21_AND_23_S2_procyclical,3,21_AND_23,ICE BofA HY OAS AND BAA-10Y credit spread,S2,M1,procyclical,0.1784734780217505,0.3423408795785974,-0.16386740155684687,0.14828944338182315,0.28975219670723273,-0.03018403463992736,-0.052588682871364645,-0.022404648231437285,0.9899685484027668,0.9899685484027655,1.3322676295501878e-15,-0.29830078776233215,-0.5181849703181018,0.2198841825557697,0.08663007799754308,0.15932573272697081,-0.07269565472942774,0.06994934327480555,0.11867000388796023,-0.04872066061315468,123.2498558397987,119.36299538687356,3.8868604529251343,0.9209152421569694,0.920915242156969,4.440892098500626e-16,0.5976195528092214,0.5976195528092223,-8.881784197001252e-16,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL_RELAXED,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y|wfe,2,4,MARGINAL_FULL
T3F_M1_21_AND_23_S3_procyclical,3,21_AND_23,ICE BofA HY OAS AND BAA-10Y credit spread,S3,M1,procyclical,0.1090265916850155,0.2111237540590425,-0.102097162374027,0.08916188181878493,0.17563190540045204,-0.019864709866230568,-0.03549184865859045,-0.015627138792359885,0.9026733232043037,0.9026733232043065,-2.7755575615628914e-15,-0.1861634450541204,-0.3457269515654877,0.1595635065113673,0.04971632033545781,0.08998175595938962,-0.04026543562393181,0.02838867732658721,0.048150778386904576,-0.019762101060317366,70.5761952191235,68.73807401971064,1.8381211994128677,1.0231028655101202,1.023102865510121,-8.881784197001252e-16,0.6704755123961892,0.6704755123961896,-4.440892098500626e-16,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL,maxdd|is_oos_gap,cagr_oos|worst10y,2,2,MARGINAL_RELAXED,maxdd|is_oos_gap,cagr_oos|worst10y,2,2,MARGINAL_FULL
T3F_M1_21_OR_23_S1_procyclical,3,21_OR_23,ICE BofA HY OAS OR BAA-10Y credit spread,S1,M1,procyclical,0.1987341071073816,0.36895406199288416,-0.17021995488550257,0.16921409943093746,0.31950509801781,-0.029520007676444138,-0.049448963975074145,-0.019928956298630007,0.9442167047916189,0.9442167047916198,-8.881784197001252e-16,-0.37546884449312456,-0.6308742786041249,0.25540543411100036,0.09399886034956229,0.1600767266136327,-0.06607786626407042,0.07129785448868256,0.10270304911622277,-0.03140519462754021,122.34994233591948,118.55881736213043,3.791124973789053,0.9224250208044845,0.922425020804485,-4.440892098500626e-16,0.5257857915346802,0.5257857915346811,-8.881784197001252e-16,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL_RELAXED,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y|wfe,2,4,MARGINAL_FULL
T3F_M1_21_OR_23_S2_procyclical,3,21_OR_23,ICE BofA HY OAS OR BAA-10Y credit spread,S2,M1,procyclical,0.1784734780217505,0.3423408795785974,-0.16386740155684687,0.14828944338182315,0.28975219670723273,-0.03018403463992736,-0.052588682871364645,-0.022404648231437285,0.9899685484027668,0.9899685484027655,1.3322676295501878e-15,-0.29830078776233215,-0.5181849703181018,0.2198841825557697,0.08663007799754308,0.15932573272697081,-0.07269565472942774,0.06994934327480555,0.11867000388796023,-0.04872066061315468,123.2498558397987,119.36299538687356,3.8868604529251343,0.9209152421569694,0.920915242156969,4.440892098500626e-16,0.5976195528092214,0.5976195528092223,-8.881784197001252e-16,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL_RELAXED,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y|wfe,2,4,MARGINAL_FULL
T3F_M1_21_OR_23_S3_procyclical,3,21_OR_23,ICE BofA HY OAS OR BAA-10Y credit spread,S3,M1,procyclical,0.1090265916850155,0.2111237540590425,-0.102097162374027,0.08916188181878493,0.17563190540045204,-0.019864709866230568,-0.03549184865859045,-0.015627138792359885,0.9026733232043037,0.9026733232043065,-2.7755575615628914e-15,-0.1861634450541204,-0.3457269515654877,0.1595635065113673,0.04971632033545781,0.08998175595938962,-0.04026543562393181,0.02838867732658721,0.048150778386904576,-0.019762101060317366,70.5761952191235,68.73807401971064,1.8381211994128677,1.0231028655101202,1.023102865510121,-8.881784197001252e-16,0.6704755123961892,0.6704755123961896,-4.440892098500626e-16,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL,maxdd|is_oos_gap,cagr_oos|worst10y,2,2,MARGINAL_RELAXED,maxdd|is_oos_gap,cagr_oos|worst10y,2,2,MARGINAL_FULL
T3F_M1_21_AND_41_S1_procyclical,3,21_AND_41,ICE BofA HY OAS AND DXY,S1,M1,procyclical,0.1987341071073816,0.36895406199288416,-0.17021995488550257,0.16921409943093746,0.31950509801781,-0.029520007676444138,-0.049448963975074145,-0.019928956298630007,0.9442167047916189,0.9442167047916198,-8.881784197001252e-16,-0.37546884449312456,-0.6308742786041249,0.25540543411100036,0.09399886034956229,0.1600767266136327,-0.06607786626407042,0.07129785448868256,0.10270304911622277,-0.03140519462754021,122.34994233591948,118.55881736213043,3.791124973789053,0.9224250208044845,0.922425020804485,-4.440892098500626e-16,0.5257857915346802,0.5257857915346811,-8.881784197001252e-16,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL_RELAXED,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y|wfe,2,4,MARGINAL_FULL
T3F_M1_21_AND_41_S2_procyclical,3,21_AND_41,ICE BofA HY OAS AND DXY,S2,M1,procyclical,0.1784734780217505,0.3423408795785974,-0.16386740155684687,0.14828944338182315,0.28975219670723273,-0.03018403463992736,-0.052588682871364645,-0.022404648231437285,0.9899685484027668,0.9899685484027655,1.3322676295501878e-15,-0.29830078776233215,-0.5181849703181018,0.2198841825557697,0.08663007799754308,0.15932573272697081,-0.07269565472942774,0.06994934327480555,0.11867000388796023,-0.04872066061315468,123.2498558397987,119.36299538687356,3.8868604529251343,0.9209152421569694,0.920915242156969,4.440892098500626e-16,0.5976195528092214,0.5976195528092223,-8.881784197001252e-16,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL_RELAXED,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y|wfe,2,4,MARGINAL_FULL
T3F_M1_21_AND_41_S3_procyclical,3,21_AND_41,ICE BofA HY OAS AND DXY,S3,M1,procyclical,0.1090265916850155,0.2111237540590425,-0.102097162374027,0.08916188181878493,0.17563190540045204,-0.019864709866230568,-0.03549184865859045,-0.015627138792359885,0.9026733232043037,0.9026733232043065,-2.7755575615628914e-15,-0.1861634450541204,-0.3457269515654877,0.1595635065113673,0.04971632033545781,0.08998175595938962,-0.04026543562393181,0.02838867732658721,0.048150778386904576,-0.019762101060317366,70.5761952191235,68.73807401971064,1.8381211994128677,1.0231028655101202,1.023102865510121,-8.881784197001252e-16,0.6704755123961892,0.6704755123961896,-4.440892098500626e-16,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL,maxdd|is_oos_gap,cagr_oos|worst10y,2,2,MARGINAL_RELAXED,maxdd|is_oos_gap,cagr_oos|worst10y,2,2,MARGINAL_FULL
T3F_M1_21_OR_41_S1_procyclical,3,21_OR_41,ICE BofA HY OAS OR DXY,S1,M1,procyclical,0.1987341071073816,0.36895406199288416,-0.17021995488550257,0.16921409943093746,0.31950509801781,-0.029520007676444138,-0.049448963975074145,-0.019928956298630007,0.9442167047916189,0.9442167047916198,-8.881784197001252e-16,-0.37546884449312456,-0.6308742786041249,0.25540543411100036,0.09399886034956229,0.1600767266136327,-0.06607786626407042,0.07129785448868256,0.10270304911622277,-0.03140519462754021,122.34994233591948,118.55881736213043,3.791124973789053,0.9224250208044845,0.922425020804485,-4.440892098500626e-16,0.5257857915346802,0.5257857915346811,-8.881784197001252e-16,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y,2,3,MARGINAL_RELAXED,maxdd|is_oos_gap,cagr_oos|worst10y|p10_5y|wfe,2,4,MARGINAL_FULL
