mode,signal_id,signal_name,asset,base_cagr,cand_cagr,base_sharpe,cand_sharpe,base_maxdd,cand_maxdd,pareto_pass,improved_axes,degraded_axes,g3_ci95_lo,g3_wfe,g7_p,g9_p,hard_pass,hard_failures
overlay,6,VIX level,NDX,0.16114988071923753,0.15063487332115022,0.8260357310417067,0.6609083195362276,-0.3639527990912025,-0.39272755398794856,False,,cagr|sharpe,0.9072936314484754,1.8633884829271434,0.36,0.568,False,G7: P(cand>bench)=0.360|G9: p=0.568
overlay,21,ICE BofA HY OAS,NDX,0.16114988071923753,0.17053971071490404,0.8260357310417067,0.8529545473153374,-0.3639527990912025,-0.3639527990912025,False,,,0.8027840663681003,1.4131216131677005,0.702,0.464,False,G7: P(cand>bench)=0.702|G9: p=0.464
overlay,23,BAA-10Y credit spread,NDX,0.16114988071923753,0.1711322670541724,0.8260357310417067,0.7772793787771985,-0.3639527990912025,-0.33300404362273983,False,,,0.6466510154144766,1.3225779718886432,0.612,0.468,False,G7: P(cand>bench)=0.612|G9: p=0.468
overlay,26,2s10s spread,NDX,0.16114988071923753,0.13111146643798022,0.8260357310417067,0.7029553467286586,-0.3639527990912025,-0.36539918240925595,False,,cagr|sharpe,0.3372161950027101,1.073430612131047,0.178,0.676,False,G7: P(cand>bench)=0.178|G9: p=0.676
overlay,41,DXY,NDX,0.16114988071923753,0.13087126764914792,0.8260357310417067,0.6330784906735472,-0.3639527990912025,-0.44150035646702146,False,,cagr|sharpe,0.6897408079406242,1.677898804512638,0.116,0.636,False,G7: P(cand>bench)=0.116|G9: p=0.636
overlay,21,ICE BofA HY OAS,IEF,0.021816959853086182,0.018931528332118308,0.35545410061874877,0.30764662107257296,-0.23924767037802186,-0.26941504289515017,False,,,-0.10219035271964494,1.2340759344869492,0.25,0.548,False,"G3: ci95_lo=-0.102, wfe=1.234|G7: P(cand>bench)=0.250|G9: p=0.548"
overlay,28,10Y real yield,IEF,0.021816959853086182,0.016480678329933163,0.35545410061874877,0.41262041343462424,-0.23924767037802186,-0.1154914713402676,True,sharpe|maxdd,,0.21999229131500841,1.567033322137057,0.352,0.628,False,G7: P(cand>bench)=0.352|G9: p=0.628
overlay,41,DXY,GLD,0.09929577918538568,0.11938706117900488,0.6633414445670068,0.7449752398428997,-0.44442094130089993,-0.3237171785058862,True,cagr|sharpe|maxdd,,0.1718897396850776,0.9013996720110632,0.818,0.382,False,"G3: ci95_lo=0.172, wfe=0.901|G7: P(cand>bench)=0.818|G9: p=0.382"
overlay,28,10Y real yield,GLD,0.09929577918538568,0.0448510385417058,0.6633414445670068,0.5129019789440341,-0.44442094130089993,-0.23371095031029876,False,maxdd,cagr|sharpe,0.04179453367339431,0.9788017133064886,0.04,0.882,False,"G3: ci95_lo=0.042, wfe=0.979|G7: P(cand>bench)=0.040|G9: p=0.882"
standalone,6,VIX level,"EW(NDX,IEF,GLD)",0.10205702173920495,0.10039521601161061,1.138114706760006,0.8481083443151971,-0.21513309511115897,-0.23651020939901723,False,,sharpe,0.5797240335034688,1.2881625987290075,0.498,0.538,False,G7: P(cand>bench)=0.498|G9: p=0.538
standalone,21,ICE BofA HY OAS,"EW(NDX,IEF,GLD)",0.10205702173920495,0.02416372032908254,1.138114706760006,0.5923719567129402,-0.21513309511115897,-0.09858562314798269,False,maxdd,cagr|sharpe,0.42661571099035944,2.795483361856147,0.0,0.998,False,G7: P(cand>bench)=0.000|G9: p=0.998
standalone,23,BAA-10Y credit spread,"EW(NDX,IEF,GLD)",0.10205702173920495,0.09358401224597523,1.138114706760006,0.8817622193045428,-0.21513309511115897,-0.16004797548331107,False,maxdd,sharpe,0.5978670252143554,1.224638729033032,0.39,0.616,False,G7: P(cand>bench)=0.390|G9: p=0.616
standalone,26,2s10s spread,"EW(NDX,IEF,GLD)",0.10205702173920495,0.08108780608217758,1.138114706760006,0.9005302576964368,-0.21513309511115897,-0.16004797548331107,False,maxdd,cagr|sharpe,0.5850683683497919,1.2082935146162952,0.178,0.75,False,G7: P(cand>bench)=0.178|G9: p=0.750
standalone,41,DXY,"EW(NDX,IEF,GLD)",0.10205702173920495,0.07291110278792501,1.138114706760006,0.703241000983054,-0.21513309511115897,-0.2426609098863377,False,,cagr|sharpe,0.6062954249851147,1.57860844931907,0.036,0.808,False,G7: P(cand>bench)=0.036|G9: p=0.808
standalone,28,10Y real yield,"EW(NDX,IEF,GLD)",0.10205702173920495,0.052682844586037,1.138114706760006,0.9433831146165641,-0.21513309511115897,-0.09929060950108926,False,maxdd,cagr|sharpe,0.669824231129481,1.3164821584378006,0.02,0.964,False,G7: P(cand>bench)=0.020|G9: p=0.964
combo_AND_overlay_NDX,21_AND_23,(ICE BofA HY OAS) AND (BAA-10Y credit spread (HY-IG proxy)),NDX,0.16114988071923753,0.1436441699351365,0.8260357310417067,0.780951887706426,-0.3639527990912025,-0.3639527990912025,False,,cagr,,,,,,
combo_OR_overlay_NDX,21_OR_23,(ICE BofA HY OAS) OR (BAA-10Y credit spread (HY-IG proxy)),NDX,0.16114988071923753,0.17451133643705052,0.8260357310417067,0.852567844233769,-0.3639527990912025,-0.3639527990912025,False,,,,,,,,
combo_AND_overlay_NDX,21_AND_41,(ICE BofA HY OAS) AND (DXY),NDX,0.16114988071923753,0.17458657942871092,0.8260357310417067,0.8527672528792574,-0.3639527990912025,-0.3639527990912025,False,,,,,,,,
combo_OR_overlay_NDX,21_OR_41,(ICE BofA HY OAS) OR (DXY),NDX,0.16114988071923753,0.17860799859863397,0.8260357310417067,0.8404883120002562,-0.3639527990912025,-0.3639527990912025,False,,,,,,,,
combo_AND_overlay_NDX,6_AND_21,(VIX level) AND (ICE BofA HY OAS),NDX,0.16114988071923753,0.15743126289595288,0.8260357310417067,0.8016562197860019,-0.3639527990912025,-0.3639527990912025,False,,,,,,,,
combo_OR_overlay_NDX,6_OR_21,(VIX level) OR (ICE BofA HY OAS),NDX,0.16114988071923753,0.17873611693941216,0.8260357310417067,0.855456393373403,-0.3639527990912025,-0.3639527990912025,False,,,,,,,,
combo_AND_overlay_NDX,6_AND_23,(VIX level) AND (BAA-10Y credit spread (HY-IG proxy)),NDX,0.16114988071923753,0.1780452589079038,0.8260357310417067,0.7805216925680446,-0.3639527990912025,-0.3751596376945895,False,,,,,,,,
combo_OR_overlay_NDX,6_OR_23,(VIX level) OR (BAA-10Y credit spread (HY-IG proxy)),NDX,0.16114988071923753,0.21969071102785098,0.8260357310417067,0.806017774916236,-0.3639527990912025,-0.4901843179915566,False,cagr,maxdd,,,,,,
combo_AND_overlay_NDX,6_AND_41,(VIX level) AND (DXY),NDX,0.16114988071923753,0.13682588875072899,0.8260357310417067,0.6498185000045213,-0.3639527990912025,-0.49018431799155704,False,,cagr|sharpe|maxdd,,,,,,
combo_OR_overlay_NDX,6_OR_41,(VIX level) OR (DXY),NDX,0.16114988071923753,0.21352034555035893,0.8260357310417067,0.7831186040763576,-0.3639527990912025,-0.4976797040367792,False,cagr,maxdd,,,,,,
combo_AND_overlay_NDX,23_AND_41,(BAA-10Y credit spread (HY-IG proxy)) AND (DXY),NDX,0.16114988071923753,0.1394737975162026,0.8260357310417067,0.7275843268975385,-0.3639527990912025,-0.3751596376945898,False,,cagr|sharpe,,,,,,
combo_OR_overlay_NDX,23_OR_41,(BAA-10Y credit spread (HY-IG proxy)) OR (DXY),NDX,0.16114988071923753,0.23200157059372994,0.8260357310417067,0.8204840444155085,-0.3639527990912025,-0.49767970403677897,False,cagr,maxdd,,,,,,
