period,scenario,description,delay,use_sofr,use_boj,ter,CAGR%,vs_T2_CAGR%,Sharpe,MaxDD%,Worst5Y%,WinRate%
FULL,T2,TQQQ  DELAY=2  [baseline],2,True,False,0.0086,22.4970,0.0000,0.9927,-45.0800,0.8700,80.8000
FULL,T5,TQQQ  DELAY=5  [pure timing penalty],5,True,False,0.0086,21.7300,-0.7670,0.9393,-44.6100,-2.0600,75.0000
FULL,T7,TQQQ  DELAY=7  [pure timing worst],7,True,False,0.0086,20.6030,-1.8940,0.8852,-55.0700,-8.2800,73.1000
FULL,D5,3倍ブル DELAY=5  [full product comparison],5,False,True,0.0152,23.5830,1.0860,1.0020,-44.2900,-0.5600,78.8000
FULL,D7,3倍ブル DELAY=7  [3倍ブル worst case],7,False,True,0.0152,22.4460,-0.0510,0.9467,-54.1700,-6.8800,75.0000
IS,T2,TQQQ  DELAY=2  [baseline],2,True,False,0.0086,23.3590,0.0000,1.0389,-45.0800,0.8700,80.9000
IS,T5,TQQQ  DELAY=5  [pure timing penalty],5,True,False,0.0086,22.2670,-1.0920,0.9697,-43.0500,-2.0600,76.6000
IS,T7,TQQQ  DELAY=7  [pure timing worst],7,True,False,0.0086,21.7150,-1.6440,0.9340,-55.0700,-8.2800,72.3000
IS,D5,3倍ブル DELAY=5  [full product comparison],5,False,True,0.0152,23.9360,0.5770,1.0270,-42.2000,-0.5600,80.9000
IS,D7,3倍ブル DELAY=7  [3倍ブル worst case],7,False,True,0.0152,23.3850,0.0260,0.9902,-54.1700,-6.8800,74.5000
OOS,T2,TQQQ  DELAY=2  [baseline],2,True,False,0.0086,14.8840,0.0000,0.6465,-40.3100,,60.0000
OOS,T5,TQQQ  DELAY=5  [pure timing penalty],5,True,False,0.0086,17.5590,2.6750,0.7253,-44.6100,,60.0000
OOS,T7,TQQQ  DELAY=7  [pure timing worst],7,True,False,0.0086,11.1720,-3.7120,0.5167,-50.7500,,60.0000
OOS,D5,3倍ブル DELAY=5  [full product comparison],5,False,True,0.0152,21.1640,6.2800,0.8347,-44.2900,,60.0000
OOS,D7,3倍ブル DELAY=7  [3倍ブル worst case],7,False,True,0.0152,14.5790,-0.3050,0.6235,-50.4900,,60.0000
WF3,T2,TQQQ  DELAY=2  [baseline],2,True,False,0.0086,21.6240,0.0000,0.8061,-40.3100,11.8000,66.7000
WF3,T5,TQQQ  DELAY=5  [pure timing penalty],5,True,False,0.0086,23.5310,1.9080,0.8443,-44.6100,14.1700,66.7000
WF3,T7,TQQQ  DELAY=7  [pure timing worst],7,True,False,0.0086,18.1550,-3.4690,0.6889,-50.8800,8.1800,66.7000
WF3,D5,3倍ブル DELAY=5  [full product comparison],5,False,True,0.0152,26.5960,4.9720,0.9242,-44.2900,17.5400,66.7000
WF3,D7,3倍ブル DELAY=7  [3倍ブル worst case],7,False,True,0.0152,21.0860,-0.5370,0.7668,-50.5600,11.3700,66.7000
