CAGR,MaxDD,Sharpe,Sortino,Calmar,Trades,Worst5Y,WinRate,Strategy,Category,Delay,Rebalances,Rebal/Year
0.4703835633563689,-0.47257384249037643,1.5563822040557327,1.895078126622628,0.9953652129316655,30,0.13980713019943414,0.8723404255319149,Ens2(S+T) Th20% delay=0,P1-Profile,0,744,15.698568198944988
0.25237558454303244,-0.48236329713958453,0.9404087853779286,1.0298246136462816,0.5232064421974479,30,0.008828612132266045,0.7872340425531915,Ens2(S+T) Th20% delay=1,P1-Profile,1,744,15.698568198944988
0.2384987379843868,-0.4794757785621672,0.8853599549013811,0.952876575666586,0.4974156123164079,30,-0.02091433132494569,0.6808510638297872,Ens2(S+T) Th20% delay=3,P1-Profile,3,744,15.698568198944988
0.23513708557501523,-0.5244568260676239,0.8630376241651522,0.9160005042740409,0.44834402735888207,30,-0.04673446796584402,0.7021276595744681,Ens2(S+T) Th20% delay=5,P1-Profile,5,744,15.698568198944988
0.22770902401458049,-0.6890862063729006,0.8256840456330039,0.8466209239053827,0.3304507069052478,30,-0.1349803507411379,0.723404255319149,Ens2(S+T) Th20% delay=7,P1-Profile,7,744,15.698568198944988
0.211129341971253,-0.6589455296711448,0.7702676951681604,0.7878501075173882,0.3204048475397045,30,-0.11618655422006552,0.7021276595744681,Ens2(S+T) Th20% delay=10,P1-Profile,10,744,15.698568198944988
0.4764957405994983,-0.47257384249037643,1.6000970515683623,2.0128670100395336,1.008299016484819,30,0.13897585608310714,0.851063829787234,Ens2(A+S) Th20% delay=0,P1-Profile,0,760,16.0361718161266
0.2541228722373059,-0.48236329713958453,0.9545220204333812,1.0523349429068112,0.5268287901344383,30,0.011419436291765228,0.8085106382978723,Ens2(A+S) Th20% delay=1,P1-Profile,1,760,16.0361718161266
0.2348230284117654,-0.47611333603763656,0.8816380775074832,0.9510910387117075,0.4932082566013289,30,-0.0228045904233094,0.6808510638297872,Ens2(A+S) Th20% delay=3,P1-Profile,3,760,16.0361718161266
0.22911442217433997,-0.5254480654898891,0.8505409673458628,0.9036346172810212,0.4360362845007918,30,-0.04901474567579234,0.723404255319149,Ens2(A+S) Th20% delay=5,P1-Profile,5,760,16.0361718161266
0.2212125661547757,-0.6893341407735325,0.8087455647260874,0.8266517983636187,0.32090760209053804,30,-0.1336755806969826,0.7021276595744681,Ens2(A+S) Th20% delay=7,P1-Profile,7,760,16.0361718161266
0.20970233779545877,-0.6589455296711451,0.7681097674828363,0.783665600777603,0.3182392600798329,30,-0.11451721979999496,0.7021276595744681,Ens2(A+S) Th20% delay=10,P1-Profile,10,760,16.0361718161266
0.33221632084595787,-0.5536832053615826,0.9544821472563346,1.107213845948541,0.6000115546741285,30,-0.04461986269380658,0.7021276595744681,DD+VT(25%) Th20% delay=0,P1-Profile,0,96,2.025621703089676
0.28996700938227393,-0.6048983068469468,0.8564985278018774,0.9606726136692959,0.4793648884450296,30,-0.07769135138998029,0.7021276595744681,DD+VT(25%) Th20% delay=1,P1-Profile,1,96,2.025621703089676
