dd_ref,dd_floor,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
0.000000,1.000000,0.313338,0.311578,0.857711,-0.594515,0.180972,0.093564,0.001760,27.115499
0.200000,0.300000,0.173166,0.113483,0.523868,-0.467326,0.058022,0.030474,0.059682,27.115499
0.200000,0.400000,0.191646,0.131091,0.570875,-0.487255,0.074639,0.043908,0.060555,27.115499
0.200000,0.500000,0.210982,0.154567,0.628653,-0.506372,0.094418,0.055846,0.056415,27.115499
0.200000,0.600000,0.231059,0.182040,0.688626,-0.524745,0.115497,0.067076,0.049019,27.115499
0.250000,0.300000,0.178953,0.128344,0.559485,-0.470005,0.066168,0.023816,0.050609,27.115499
0.250000,0.400000,0.195928,0.147901,0.610991,-0.487201,0.080131,0.039962,0.048027,27.115499
0.250000,0.500000,0.213756,0.164181,0.646719,-0.506646,0.095923,0.052406,0.049574,27.115499
0.250000,0.600000,0.232558,0.186695,0.693022,-0.525155,0.114679,0.064975,0.045862,27.115499
0.300000,0.300000,0.185959,0.142933,0.592896,-0.478208,0.077795,0.023887,0.043026,27.115499
0.300000,0.400000,0.200095,0.156898,0.627353,-0.487673,0.086569,0.035375,0.043196,27.115499
0.300000,0.500000,0.216593,0.176068,0.671520,-0.506549,0.099662,0.050304,0.040524,27.115499
0.300000,0.600000,0.234214,0.192586,0.701886,-0.525325,0.115187,0.062421,0.041628,27.115499
0.350000,0.300000,0.193933,0.154360,0.616157,-0.480578,0.087546,0.028160,0.039574,27.115499
0.350000,0.400000,0.205184,0.167865,0.649272,-0.490188,0.095155,0.036731,0.037319,27.115499
0.350000,0.500000,0.219306,0.182231,0.680545,-0.506743,0.103841,0.047439,0.037075,27.115499
0.350000,0.600000,0.235961,0.200455,0.716430,-0.525339,0.117554,0.060963,0.035506,27.115499
0.400000,0.300000,0.203177,0.163587,0.633113,-0.479973,0.096038,0.031416,0.039590,27.115499
0.400000,0.400000,0.210863,0.176434,0.664381,-0.493916,0.102512,0.039556,0.034429,27.115499
0.400000,0.500000,0.222679,0.189921,0.693909,-0.507872,0.109618,0.047769,0.032758,27.115499
0.400000,0.600000,0.237623,0.205807,0.724675,-0.525270,0.119544,0.059603,0.031816,27.115499
