gold_frac,wn_min,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
0.200000,0.200000,0.320342,0.219282,0.678128,-0.599809,0.170904,0.113637,0.101060,27.115499
0.200000,0.250000,0.320396,0.220375,0.680360,-0.599759,0.172144,0.113783,0.100020,27.115499
0.200000,0.300000,0.319141,0.220509,0.680789,-0.600974,0.173504,0.111875,0.098632,27.115499
0.200000,0.350000,0.317193,0.220625,0.681162,-0.602320,0.174082,0.111890,0.096569,27.115499
0.200000,0.400000,0.314437,0.220563,0.681181,-0.606506,0.174221,0.111036,0.093874,27.115499
0.250000,0.200000,0.319764,0.234660,0.708695,-0.594436,0.173893,0.110704,0.085104,27.115499
0.250000,0.250000,0.319828,0.235589,0.710616,-0.594767,0.175029,0.111014,0.084239,27.115499
0.250000,0.300000,0.318588,0.235572,0.710771,-0.596169,0.176271,0.109917,0.083016,27.115499
0.250000,0.350000,0.316680,0.235538,0.710870,-0.597697,0.176775,0.109267,0.081142,27.115499
0.250000,0.400000,0.314011,0.235316,0.710595,-0.602138,0.176845,0.109193,0.078695,27.115499
0.300000,0.200000,0.319009,0.250091,0.739140,-0.589450,0.176760,0.107946,0.068918,27.115499
0.300000,0.250000,0.319089,0.250854,0.740750,-0.589764,0.177797,0.107871,0.068235,27.115499
0.300000,0.300000,0.317869,0.250685,0.740634,-0.591356,0.178926,0.107077,0.067184,27.115499
0.300000,0.350000,0.316008,0.250499,0.740461,-0.593070,0.179361,0.106806,0.065509,27.115499
0.300000,0.400000,0.313434,0.250114,0.739894,-0.597765,0.179366,0.106391,0.063319,27.115499
0.350000,0.200000,0.318079,0.265572,0.769399,-0.586629,0.179507,0.104689,0.052506,27.115499
0.350000,0.250000,0.318177,0.266167,0.770702,-0.586925,0.180448,0.104692,0.052010,27.115499
0.350000,0.300000,0.316984,0.265845,0.770319,-0.588701,0.181467,0.103922,0.051139,27.115499
0.350000,0.350000,0.315177,0.265506,0.769877,-0.590576,0.181838,0.103714,0.049671,27.115499
0.350000,0.400000,0.312706,0.264957,0.769022,-0.595148,0.181784,0.103681,0.047749,27.115499
0.400000,0.200000,0.316972,0.281100,0.799410,-0.584072,0.182131,0.101534,0.035871,27.115499
0.400000,0.250000,0.317092,0.281525,0.800412,-0.584350,0.182981,0.101917,0.035567,27.115499
0.400000,0.300000,0.315934,0.281049,0.799767,-0.586310,0.183894,0.101547,0.034885,27.115499
0.400000,0.350000,0.314188,0.280556,0.799061,-0.588354,0.184205,0.100653,0.033632,27.115499
0.400000,0.400000,0.311829,0.279840,0.797922,-0.592966,0.184098,0.100498,0.031988,27.115499
0.500000,0.200000,0.314232,0.312287,0.858439,-0.594515,0.180819,0.093553,0.001945,27.115499
0.500000,0.250000,0.314410,0.312366,0.858857,-0.594515,0.181310,0.094354,0.002043,27.115499
0.500000,0.300000,0.313338,0.311578,0.857711,-0.594515,0.180972,0.093564,0.001760,27.115499
0.500000,0.350000,0.311735,0.310772,0.856498,-0.594515,0.180759,0.092219,0.000963,27.115499
0.500000,0.400000,0.309626,0.309721,0.854811,-0.597529,0.179564,0.092149,-0.000095,27.115499
