k_lo,k_hi,vz_thr,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
0.500000,0.500000,999.000000,0.313338,0.311578,0.857711,-0.594515,0.180972,0.093564,0.001760,27.115499
0.100000,0.500000,0.300000,0.325505,0.329809,0.871301,-0.624782,0.186938,0.073593,-0.004303,27.115499
0.100000,0.600000,0.300000,0.325321,0.332734,0.875676,-0.629267,0.187945,0.072368,-0.007413,27.115499
0.100000,0.700000,0.300000,0.325344,0.331906,0.873912,-0.632405,0.188730,0.073955,-0.006562,27.115499
0.100000,0.800000,0.300000,0.324744,0.330180,0.870715,-0.634756,0.189242,0.073942,-0.005436,27.115499
0.200000,0.500000,0.300000,0.323771,0.325598,0.870308,-0.614210,0.189504,0.077526,-0.001828,27.115499
0.200000,0.600000,0.300000,0.323586,0.328514,0.874731,-0.618821,0.190513,0.076318,-0.004928,27.115499
0.200000,0.700000,0.300000,0.323610,0.327689,0.872931,-0.622048,0.191299,0.077437,-0.004079,27.115499
0.200000,0.800000,0.300000,0.323011,0.325968,0.869679,-0.624465,0.191812,0.077686,-0.002958,27.115499
0.300000,0.500000,0.300000,0.320499,0.322069,0.869930,-0.603676,0.191506,0.082588,-0.001571,27.115499
0.300000,0.600000,0.300000,0.320315,0.324977,0.874396,-0.608413,0.192517,0.081685,-0.004663,27.115499
0.300000,0.700000,0.300000,0.320338,0.324154,0.872561,-0.611728,0.193305,0.082969,-0.003816,27.115499
0.300000,0.800000,0.300000,0.319740,0.322438,0.869258,-0.614211,0.193818,0.083542,-0.002698,27.115499
0.400000,0.500000,0.300000,0.317254,0.318158,0.867407,-0.595151,0.188622,0.090156,-0.000904,27.115499
0.400000,0.600000,0.300000,0.317071,0.321058,0.871910,-0.599989,0.188700,0.089533,-0.003986,27.115499
0.400000,0.700000,0.300000,0.317094,0.320237,0.870050,-0.603376,0.189490,0.090353,-0.003143,27.115499
0.400000,0.800000,0.300000,0.316498,0.318526,0.866708,-0.605912,0.188463,0.090803,-0.002028,27.115499
0.100000,0.500000,0.500000,0.322805,0.320875,0.855544,-0.581239,0.188798,0.080415,0.001929,27.115499
0.100000,0.600000,0.500000,0.322325,0.319929,0.853484,-0.585887,0.187649,0.078344,0.002396,27.115499
0.100000,0.700000,0.500000,0.322174,0.316837,0.847877,-0.586678,0.186059,0.077750,0.005337,27.115499
0.100000,0.800000,0.500000,0.321600,0.313864,0.842540,-0.587503,0.184873,0.076615,0.007736,27.115499
0.200000,0.500000,0.500000,0.321389,0.319169,0.858510,-0.580838,0.191147,0.083197,0.002220,27.115499
0.200000,0.600000,0.500000,0.320910,0.318224,0.856404,-0.585491,0.189996,0.081295,0.002686,27.115499
0.200000,0.700000,0.500000,0.320759,0.315136,0.850704,-0.587340,0.188403,0.080439,0.005623,27.115499
0.200000,0.800000,0.500000,0.320186,0.312167,0.845281,-0.588164,0.187215,0.079755,0.008019,27.115499
0.300000,0.500000,0.500000,0.318822,0.318144,0.862499,-0.583445,0.192555,0.086757,0.000678,27.115499
0.300000,0.600000,0.500000,0.318344,0.317200,0.860345,-0.586061,0.191977,0.085322,0.001144,27.115499
0.300000,0.700000,0.500000,0.318193,0.314115,0.854554,-0.588014,0.190382,0.085084,0.004079,27.115499
0.300000,0.800000,0.500000,0.317621,0.311147,0.849047,-0.588837,0.189192,0.084292,0.006474,27.115499
0.400000,0.500000,0.500000,0.316139,0.315963,0.863246,-0.588944,0.186505,0.091351,0.000176,27.115499
0.400000,0.600000,0.500000,0.315661,0.315020,0.861057,-0.590289,0.187743,0.090129,0.000641,27.115499
0.400000,0.700000,0.500000,0.315511,0.311940,0.855195,-0.590737,0.189072,0.089473,0.003571,27.115499
0.400000,0.800000,0.500000,0.314940,0.308977,0.849622,-0.590963,0.188737,0.088296,0.005963,27.115499
0.100000,0.500000,0.700000,0.316757,0.334962,0.891449,-0.603154,0.180421,0.098435,-0.018205,27.115499
0.100000,0.600000,0.700000,0.317049,0.335903,0.892806,-0.602599,0.183763,0.097882,-0.018854,27.115499
0.100000,0.700000,0.700000,0.317324,0.335322,0.891599,-0.601349,0.186228,0.098051,-0.017998,27.115499
0.100000,0.800000,0.700000,0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.018127,27.115499
0.200000,0.500000,0.700000,0.316648,0.330823,0.887027,-0.600922,0.180401,0.097429,-0.014175,27.115499
0.200000,0.600000,0.700000,0.316940,0.331761,0.888392,-0.600363,0.183743,0.097149,-0.014821,27.115499
0.200000,0.700000,0.700000,0.317216,0.331181,0.887177,-0.599106,0.186208,0.096415,-0.013966,27.115499
0.200000,0.800000,0.700000,0.317066,0.331161,0.887036,-0.597853,0.186780,0.095407,-0.014095,27.115499
0.300000,0.500000,0.700000,0.315531,0.325344,0.879894,-0.598737,0.180497,0.095388,-0.009813,27.115499
0.300000,0.600000,0.700000,0.315823,0.326279,0.881268,-0.598175,0.183839,0.094535,-0.010456,27.115499
0.300000,0.700000,0.700000,0.316098,0.325702,0.880047,-0.596912,0.186304,0.094673,-0.009603,27.115499
0.300000,0.800000,0.700000,0.315949,0.325681,0.879905,-0.595651,0.186837,0.094429,-0.009732,27.115499
0.400000,0.500000,0.700000,0.314142,0.318251,0.868950,-0.596601,0.180836,0.093669,-0.004109,27.115499
0.400000,0.600000,0.700000,0.314434,0.319181,0.870334,-0.596037,0.184179,0.094203,-0.004747,27.115499
0.400000,0.700000,0.700000,0.314708,0.318606,0.869111,-0.594766,0.186645,0.094882,-0.003898,27.115499
0.400000,0.800000,0.700000,0.314559,0.318586,0.868971,-0.593499,0.186052,0.094727,-0.004027,27.115499
0.100000,0.500000,1.000000,0.309130,0.291192,0.814741,-0.604588,0.185174,0.093021,0.017938,27.115499
0.100000,0.600000,1.000000,0.309991,0.292130,0.816265,-0.604122,0.185715,0.094884,0.017861,27.115499
0.100000,0.700000,1.000000,0.310720,0.292046,0.815983,-0.602992,0.186355,0.096536,0.018674,27.115499
0.100000,0.800000,1.000000,0.310914,0.292470,0.816691,-0.601861,0.187046,0.097422,0.018444,27.115499
0.200000,0.500000,1.000000,0.310734,0.298469,0.829766,-0.602082,0.187433,0.093574,0.012265,27.115499
0.200000,0.600000,1.000000,0.311596,0.299413,0.831288,-0.601613,0.187975,0.094648,0.012183,27.115499
