year,e4_return_pct
1974,19.1
1975,-1.8
1976,103.0
1977,-11.7
1978,150.2
1979,20.9
1980,82.5
1981,-38.0
1982,99.2
1983,9.2
1984,-19.4
1985,174.0
1986,52.7
1987,71.9
1988,-25.6
1989,63.9
1990,-40.5
1991,83.6
1992,62.5
1993,-1.9
1994,-8.8
1995,164.6
1996,49.9
1997,63.4
1998,91.6
1999,81.1
2000,-9.9
2001,-6.9
2002,14.6
2003,117.9
2004,14.8
2005,-14.0
2006,51.7
2007,28.0
2008,21.4
2009,52.8
2010,107.2
2011,-5.1
2012,39.3
2013,36.1
2014,13.8
2015,-32.3
2016,-7.9
2017,95.2
2018,-8.3
2019,66.0
2020,81.3
2021,30.5
2022,-25.9
2023,98.3
2024,58.5
2025,54.4
2026,-7.7
