part,vz_thr,tv,l_max,k_lo,k_hi,k_mid,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
A,0.500000,0.800000,7.000000,0.100000,0.800000,0.500000,0.321600,0.313864,0.842540,-0.587503,0.184873,0.076615,0.007736,27.115499
A,0.550000,0.800000,7.000000,0.100000,0.800000,0.500000,0.324992,0.338310,0.885203,-0.585244,0.182919,0.085136,-0.013318,27.115499
A,0.600000,0.800000,7.000000,0.100000,0.800000,0.500000,0.323355,0.338902,0.886132,-0.585223,0.187802,0.091788,-0.015547,27.115499
A,0.650000,0.800000,7.000000,0.100000,0.800000,0.500000,0.317665,0.369885,0.945237,-0.586758,0.187350,0.091615,-0.052220,27.115499
A,0.700000,0.800000,7.000000,0.100000,0.800000,0.500000,0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.018127,27.115499
A,0.750000,0.800000,7.000000,0.100000,0.800000,0.500000,0.311590,0.320551,0.867244,-0.611919,0.177772,0.092222,-0.008961,27.115499
A,0.800000,0.800000,7.000000,0.100000,0.800000,0.500000,0.311084,0.313837,0.855737,-0.612759,0.186265,0.097756,-0.002753,27.115499
A,0.850000,0.800000,7.000000,0.100000,0.800000,0.500000,0.308669,0.306651,0.843551,-0.615730,0.178103,0.096539,0.002019,27.115499
A,0.900000,0.800000,7.000000,0.100000,0.800000,0.500000,0.305981,0.302825,0.836526,-0.611165,0.177917,0.096843,0.003156,27.115499
B,0.700000,0.650000,5.000000,0.100000,0.800000,0.500000,0.270761,0.278853,0.892497,-0.532696,0.163036,0.104507,-0.008092,27.115499
B,0.700000,0.650000,6.000000,0.100000,0.800000,0.500000,0.280931,0.280741,0.871714,-0.562544,0.164287,0.096140,0.000190,27.115499
B,0.700000,0.650000,7.000000,0.100000,0.800000,0.500000,0.283528,0.288284,0.877286,-0.586980,0.166117,0.090434,-0.004756,27.115499
B,0.700000,0.700000,5.000000,0.100000,0.800000,0.500000,0.280982,0.290874,0.895086,-0.535267,0.161963,0.112882,-0.009892,27.115499
B,0.700000,0.700000,6.000000,0.100000,0.800000,0.500000,0.290341,0.305119,0.896127,-0.564661,0.172729,0.097727,-0.014778,27.115499
B,0.700000,0.700000,7.000000,0.100000,0.800000,0.500000,0.297044,0.308202,0.888321,-0.594128,0.176494,0.093853,-0.011158,27.115499
B,0.700000,0.750000,5.000000,0.100000,0.800000,0.500000,0.288204,0.288540,0.872513,-0.537981,0.167141,0.117198,-0.000335,27.115499
B,0.700000,0.750000,6.000000,0.100000,0.800000,0.500000,0.298258,0.305605,0.873776,-0.568491,0.177404,0.101958,-0.007347,27.115499
B,0.700000,0.750000,7.000000,0.100000,0.800000,0.500000,0.305036,0.304907,0.856392,-0.596005,0.171923,0.089231,0.000129,27.115499
B,0.700000,0.800000,5.000000,0.100000,0.800000,0.500000,0.295796,0.305773,0.895523,-0.540705,0.169409,0.121072,-0.009976,27.115499
B,0.700000,0.800000,6.000000,0.100000,0.800000,0.500000,0.310905,0.321245,0.886370,-0.572393,0.178908,0.112108,-0.010340,27.115499
B,0.700000,0.800000,7.000000,0.100000,0.800000,0.500000,0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.018127,27.115499
