part,vz_thr,tv,l_max,k_lo,k_hi,k_mid,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
A,0.575000,0.800000,7.000000,0.100000,0.800000,0.500000,0.324214,0.338016,0.884783,-0.584805,0.184885,0.084941,-0.013803,27.115499
A,0.600000,0.800000,7.000000,0.100000,0.800000,0.500000,0.323355,0.338902,0.886132,-0.585223,0.187802,0.091788,-0.015547,27.115499
A,0.625000,0.800000,7.000000,0.100000,0.800000,0.500000,0.319054,0.362937,0.932948,-0.586589,0.191765,0.091442,-0.043883,27.115499
A,0.650000,0.800000,7.000000,0.100000,0.800000,0.500000,0.317665,0.369885,0.945237,-0.586758,0.187350,0.091615,-0.052220,27.115499
A,0.675000,0.800000,7.000000,0.100000,0.800000,0.500000,0.316658,0.343145,0.902127,-0.586343,0.184180,0.092821,-0.026487,27.115499
A,0.700000,0.800000,7.000000,0.100000,0.800000,0.500000,0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.018127,27.115499
A,0.725000,0.800000,7.000000,0.100000,0.800000,0.500000,0.315178,0.331778,0.885795,-0.615549,0.178335,0.095815,-0.016600,27.115499
B,0.600000,0.800000,5.000000,0.100000,0.800000,0.500000,0.300005,0.312848,0.900398,-0.510580,0.188014,0.118820,-0.012843,27.115499
B,0.600000,0.800000,6.000000,0.100000,0.800000,0.500000,0.316202,0.326638,0.885926,-0.547581,0.198064,0.109053,-0.010436,27.115499
B,0.600000,0.800000,7.000000,0.100000,0.800000,0.500000,0.323355,0.338902,0.886132,-0.585223,0.187802,0.091788,-0.015547,27.115499
B,0.625000,0.800000,5.000000,0.100000,0.800000,0.500000,0.296842,0.329264,0.937836,-0.517596,0.181561,0.118169,-0.032422,27.115499
B,0.625000,0.800000,6.000000,0.100000,0.800000,0.500000,0.312362,0.346810,0.927518,-0.548883,0.193414,0.108198,-0.034448,27.115499
B,0.625000,0.800000,7.000000,0.100000,0.800000,0.500000,0.319054,0.362937,0.932948,-0.586589,0.191765,0.091442,-0.043883,27.115499
B,0.650000,0.800000,5.000000,0.100000,0.800000,0.500000,0.295754,0.334871,0.949320,-0.518185,0.183265,0.118670,-0.039117,27.115499
B,0.650000,0.800000,6.000000,0.100000,0.800000,0.500000,0.311050,0.353022,0.939125,-0.549040,0.195432,0.108966,-0.041971,27.115499
B,0.650000,0.800000,7.000000,0.100000,0.800000,0.500000,0.317665,0.369885,0.945237,-0.586758,0.187350,0.091615,-0.052220,27.115499
B,0.675000,0.800000,5.000000,0.100000,0.800000,0.500000,0.295294,0.312889,0.907405,-0.528892,0.178900,0.117938,-0.017594,27.115499
B,0.675000,0.800000,6.000000,0.100000,0.800000,0.500000,0.310301,0.328408,0.896753,-0.559260,0.190076,0.109466,-0.018107,27.115499
B,0.675000,0.800000,7.000000,0.100000,0.800000,0.500000,0.316658,0.343145,0.902127,-0.586343,0.184180,0.092821,-0.026487,27.115499
B,0.700000,0.800000,5.000000,0.100000,0.800000,0.500000,0.295796,0.305773,0.895523,-0.540705,0.169409,0.121072,-0.009976,27.115499
B,0.700000,0.800000,6.000000,0.100000,0.800000,0.500000,0.310905,0.321245,0.886370,-0.572393,0.178908,0.112108,-0.010340,27.115499
B,0.700000,0.800000,7.000000,0.100000,0.800000,0.500000,0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.018127,27.115499
