Signal,Lookback,Sensitivity,IS_Sharpe,IS_Delta,IS_CAGR,IS_MaxDD,IS_W5Y
T10YFF,60,0.15,0.8703999900005538,-0.027327287727100802,0.23853055351248753,-0.48300139750760596,-0.021257390571799983
T10YFF,60,0.2,0.8665498671517938,-0.031177410575860764,0.23292021609136682,-0.4831897341273673,-0.030872865536309302
T10YFF,60,0.3,0.8082049988687906,-0.08952227885886399,0.20527012409971124,-0.48358966527365427,-0.04973225480302956
T10YFF,60,0.4,0.8216908950781332,-0.0760363826495214,0.2048350646355881,-0.4951778169570357,-0.05729410512800526
T10YFF,120,0.15,0.888470594491119,-0.009256683236535612,0.24524210172324157,-0.488496929082477,-0.03819020829491748
T10YFF,120,0.2,0.8489846937861013,-0.048742583941553286,0.22782799818947197,-0.4846035259240923,-0.04351813730978671
T10YFF,120,0.3,0.8318002393314571,-0.06592703839619751,0.21478582011236957,-0.492384620294062,-0.06385368949837045
T10YFF,120,0.4,0.7679672613678366,-0.12976001635981804,0.19012083144722824,-0.5081728850578668,-0.08318292527328774
T10YFF,180,0.15,0.8693880735941742,-0.028339204133480345,0.23761249385749927,-0.49720968551819883,-0.06236365807210886
T10YFF,180,0.2,0.850463667291671,-0.047263610435983594,0.22823840727514955,-0.48607574303253226,-0.06060822543365518
T10YFF,180,0.3,0.7978015872433839,-0.09992569048427069,0.20329008297399165,-0.5012399009617134,-0.08175834392659032
T10YFF,180,0.4,0.7793375565938891,-0.11838972113376545,0.1930427854245942,-0.5113830797840088,-0.09211457696754533
T10YFF,250,0.15,0.8685973777059076,-0.02912990002174698,0.23745739826252277,-0.47870624723596994,-0.051716512681513005
T10YFF,250,0.2,0.8261365556678745,-0.07159072205978012,0.21967570095187972,-0.49865965981708066,-0.06288492932406031
T10YFF,250,0.3,0.8134181516902124,-0.08430912603744223,0.20880446072104242,-0.47699289778710724,-0.07857192987912343
T10YFF,250,0.4,0.7819211185339894,-0.11580615919366521,0.1939903156581848,-0.5349253281186712,-0.09876272768958361
T10Y2Y,60,0.15,0.8980576819030794,0.0003304041754248477,0.24372689116886526,-0.43529766673787235,0.0002604632614069402
T10Y2Y,60,0.2,0.888184354083654,-0.009542923644000556,0.23327940645898315,-0.4343464713294955,-0.014730252938668031
T10Y2Y,60,0.3,0.8615864835288276,-0.036140794198826987,0.21609759618810265,-0.40896317179212915,-0.029209855840227283
T10Y2Y,60,0.4,0.8675135631889412,-0.030213714538713354,0.21044254594158773,-0.40946254688122274,-0.025422395641955364
T10Y2Y,120,0.15,0.8959471581741931,-0.0017801195534614678,0.24322421060235833,-0.43914976297508446,-0.030234672282485553
T10Y2Y,120,0.2,0.8810275784454298,-0.01669969928222481,0.23571113668096744,-0.5151023762681168,-0.05281564058939647
T10Y2Y,120,0.3,0.8770221182702028,-0.02070515945745177,0.22204927927775286,-0.4516489636972343,-0.04819708219924268
T10Y2Y,120,0.4,0.8728611871723337,-0.024866090555320852,0.21322576074347244,-0.4611118939341603,-0.04349312195570376
T10Y2Y,180,0.15,0.8958867479835758,-0.0018405297440787782,0.24354997971851633,-0.44320225611102476,-0.04767818728122564
T10Y2Y,180,0.2,0.8941803774087018,-0.0035469003189527726,0.23771019086691925,-0.43528971788601156,-0.04520739549236197
T10Y2Y,180,0.3,0.8616555811815103,-0.03607169654614428,0.21980897241181307,-0.4771968211693602,-0.06846713026247686
T10Y2Y,180,0.4,0.8471608840698499,-0.05056639365780469,0.20745083107977402,-0.45973896455682844,-0.06298982298502309
T10Y2Y,250,0.15,0.9120281225476898,0.014300844820035241,0.24939395954083743,-0.4467166435528741,-0.0499679649198248
T10Y2Y,250,0.2,0.8938509542114415,-0.0038763235162131426,0.23826675638289485,-0.4302509104603144,-0.04550358657468989
T10Y2Y,250,0.3,0.8746453892289817,-0.023081888498672876,0.22510432611620468,-0.5074273615701019,-0.07325687281519977
T10Y2Y,250,0.4,0.8561113159471929,-0.041615961780461674,0.21141404740228742,-0.47957921866640485,-0.06307330158487046
CreditSpread,60,0.15,0.8903352262790502,-0.007392051448604442,0.246495955409473,-0.4497276013165791,-0.019751117308589472
CreditSpread,60,0.2,0.8886978061043398,-0.0090294716233148,0.24364835435136434,-0.5044439340126438,-0.020875439531874873
CreditSpread,60,0.3,0.8709441382523653,-0.02678313947528932,0.2308679647336087,-0.4052232968344519,-0.03115656310312387
CreditSpread,60,0.4,0.8544380430760783,-0.0432892346515763,0.2217396220240393,-0.39704556989657025,-0.04121793422007802
CreditSpread,120,0.15,0.9054528701782057,0.007725592450551155,0.25297290591688304,-0.44476559341241045,-0.014550321394014465
CreditSpread,120,0.2,0.8981206838117833,0.00039340608412874456,0.24752883149713423,-0.47032804100871506,-0.029081157327976226
CreditSpread,120,0.3,0.8949257367556192,-0.0028015409720354434,0.24030988985026935,-0.42930268141083766,-0.017456849834008747
CreditSpread,120,0.4,0.8922923223332727,-0.00543495539438188,0.2354263786366726,-0.43558661232454005,-0.02939968362533285
CreditSpread,180,0.15,0.8877275831827788,-0.009999694544875815,0.2480595267129433,-0.4455593295805356,-0.023389127382942854
CreditSpread,180,0.2,0.8777410795735953,-0.01998619815405933,0.2413508792079646,-0.47877914177771735,-0.047113094307354775
CreditSpread,180,0.3,0.8560929323932017,-0.04163434533445287,0.23184376706197818,-0.46130427926607265,-0.03899375935971283
CreditSpread,180,0.4,0.8763677804448443,-0.02135949728281028,0.23559351999117029,-0.4271520993303794,-0.021610514072514686
CreditSpread,250,0.15,0.8876082220240993,-0.010119055703555313,0.2484365837025122,-0.45972260222816214,-0.03277723527607057
CreditSpread,250,0.2,0.8904608470397103,-0.007266430687944303,0.24636547780938178,-0.4474506723945727,-0.028802812959989432
CreditSpread,250,0.3,0.8758100658710322,-0.02191721185662243,0.23992100783537107,-0.45367563329097943,-0.034307787809087054
