Strategy,Params,IS_Sharpe,IS_Delta,OOS_Sharpe,OOS_Delta,Degradation,OOS_CAGR,OOS_MaxDD
+ T10YFF,"lb=120, s=0.15",0.888470594491119,-0.009256683236535612,0.5477259266212364,-0.15030636136518416,-0.14104967812864855,0.13982464233288794,-0.5072553410827002
+ T10Y2Y,"lb=250, s=0.15",0.9120281225476898,0.014300844820035241,0.6799304999892131,-0.01810178799720752,-0.03240263281724276,0.19808381500798156,-0.4817342344358305
+ CreditSpread,"lb=120, s=0.15",0.9054528701782057,0.007725592450551155,0.6700043095856039,-0.028027978400816722,-0.03575357085136788,0.1854924936218949,-0.5031653053756601
+ DGS10,"lb=120, s=0.20",0.9175704203291206,0.019843142601466024,0.7155079823049212,0.0174756943185006,-0.002367448282965423,0.20285138865756558,-0.49771902669204615
+ VIX,"lb=180, s=0.15",0.8884613065534579,-0.009265971174196697,0.741718777258364,0.04368648927194341,0.052952460446140104,0.22424624397436732,-0.47042969827108655
+ T10YFF + T10Y2Y,combo,0.8551876021239262,-0.0425396756037284,0.5025822440925113,-0.1954500438939093,-0.1529103682901809,0.12206271039895,-0.4875672159554392
+ T10YFF + CreditSpread,combo,0.8679854933871283,-0.029741784340526323,0.578542373994978,-0.1194899139914426,-0.08974812965091628,0.1507322380404592,-0.514521501850545
+ T10YFF + DGS10,combo,0.8907867487096061,-0.006940529018048536,0.6351788634536975,-0.06285342453272313,-0.0559128955146746,0.17149789720633946,-0.5125768543743591
+ T10YFF + VIX,combo,0.8337488768892726,-0.06397840083838202,0.5434129623235777,-0.15461932566284287,-0.09064092482446084,0.13795222702608467,-0.5110883687884641
+ T10Y2Y + CreditSpread,combo,0.8863913301482705,-0.011335947579384054,0.6126394398518253,-0.08539284813459525,-0.07405690055521119,0.1652147851270429,-0.4841745716148711
+ T10Y2Y + DGS10,combo,0.9415718827221549,0.04384460499450027,0.6499150930176845,-0.04811719496873612,-0.09196179996323639,0.1811146369191634,-0.48852912755917915
+ T10Y2Y + VIX,combo,0.8896684739572294,-0.008058803770425227,0.7234416469393475,0.025409358952926953,0.03346816272335218,0.2165413972754171,-0.442697420915888
+ CreditSpread + DGS10,combo,0.8842296306872224,-0.013497647040432215,0.7286930918119204,0.03066080382549985,0.044158450865932064,0.20683117904047577,-0.4989993697216687
+ CreditSpread + VIX,combo,0.8730694630492536,-0.024657814678401002,0.6700221161362757,-0.02801017185014487,-0.0033523571717438694,0.18551662303170446,-0.5031172690267696
+ DGS10 + VIX,combo,0.8709739346259923,-0.02675334310166233,0.7196554798055178,0.02162319181909722,0.04837653492075955,0.20425355241947085,-0.4949317742129821
