Strategy,Sharpe,CAGR,MaxDD,Worst5Y,Trades,Trades/yr,DeltaSharpe
BASELINE MomDecel+Ens2(S+T),0.8035022737213298,0.2396455367777044,-0.4261173972096294,-0.003373986926515693,662,22.77149877149877,
+ HY Spread (lb=60 s=0.2),0.7874927288421812,0.22137306253168454,-0.39664147548750933,-0.04432037769856878,738,25.385749385749385,-0.01600954487914852
+ HY Spread (lb=60 s=0.3),0.7547224361607959,0.20594232634115772,-0.40223734704442654,-0.0405646783304886,753,25.9017199017199,-0.048779837560533834
+ HY Spread (lb=60 s=0.5),0.769630014771711,0.20490993687997672,-0.4165161967731568,-0.02608319191202979,816,28.06879606879607,-0.03387225894961876
+ HY Spread (lb=120 s=0.2),0.78499636713096,0.22578876555908933,-0.4089382994179253,-0.037568947435514866,707,24.319410319410316,-0.01850590659036977
+ HY Spread (lb=120 s=0.3),0.7571890643823954,0.2096822279652244,-0.4107618186824005,-0.03786487247560766,706,24.285012285012282,-0.04631320933893435
+ HY Spread (lb=120 s=0.5),0.7899964399715328,0.21831227313300205,-0.4020225706547665,-0.0481273897620228,736,25.316953316953317,-0.01350583374979697
+ HY Spread (lb=250 s=0.2),0.785803101559742,0.22781154719682295,-0.41868956627397785,-0.02347756140049506,671,23.08108108108108,-0.017699172161587784
+ HY Spread (lb=250 s=0.3),0.7727951138250113,0.21992814482976075,-0.38961511599488274,-0.033673143595219446,671,23.08108108108108,-0.030707159896318448
+ HY Spread (lb=250 s=0.5),0.7989755609786313,0.22657213652520514,-0.4013327027263891,-0.036487262884655425,694,23.872235872235873,-0.004526712742698447
+ 10Y Yield Chg (lb=60 s=0.2),0.7954395143201646,0.21985429109075416,-0.49465236428422527,-0.008533059884917593,650,22.358722358722357,-0.008062759401165187
+ 10Y Yield Chg (lb=60 s=0.3),0.7621542551463402,0.2019744198357072,-0.5218236600119021,-0.022700442206930904,758,26.07371007371007,-0.0413480185749896
+ 10Y Yield Chg (lb=60 s=0.5),0.7570121119969264,0.19071538665429189,-0.5175137388292035,-0.04402738248923055,767,26.383292383292382,-0.046490161724403345
+ 10Y Yield Chg (lb=120 s=0.2),0.8023912764988855,0.22779513682489472,-0.5047856311230815,0.000340907217443398,607,20.87960687960688,-0.0011109972224442322
+ 10Y Yield Chg (lb=120 s=0.3),0.8164455794408306,0.22682859423327506,-0.5015879733551342,0.0047673813956241595,618,21.257985257985258,0.012943305719500864
+ 10Y Yield Chg (lb=120 s=0.5),0.7873038000541392,0.20682849750718924,-0.5048497389765337,-0.009290525186938514,656,22.565110565110565,-0.016198473667190516
+ 10Y Yield Chg (lb=250 s=0.2),0.7887007003263609,0.2257101077587258,-0.5148356480115347,-0.032495623889923775,599,20.604422604422602,-0.014801573394968903
+ 10Y Yield Chg (lb=250 s=0.3),0.760334901624848,0.20985271950291673,-0.5218236600119022,-0.04813736249635103,606,20.845208845208845,-0.043167372096481804
+ 10Y Yield Chg (lb=250 s=0.5),0.7541624368550345,0.20018772662571527,-0.504849738976534,-0.041177279750727935,623,21.42997542997543,-0.049339836866295284
+ VIX Regime (lb=60 s=0.2),0.7438317603369069,0.20844585007679295,-0.4295527761849341,-0.03386148891073337,824,28.34398034398034,-0.05967051338442286
+ VIX Regime (lb=60 s=0.3),0.7401330834594868,0.20529162200343243,-0.4045758057598577,-0.036350567106510856,906,31.164619164619165,-0.06336919026184296
+ VIX Regime (lb=60 s=0.5),0.7177167708161579,0.1924956656457011,-0.3928863671444565,-0.04965021998570818,976,33.57248157248157,-0.08578550290517184
+ VIX Regime (lb=120 s=0.2),0.758284678042819,0.21723601341943577,-0.4265401668267751,-0.022938220033299705,779,26.796068796068795,-0.0452175956785108
+ VIX Regime (lb=120 s=0.3),0.7708076814446756,0.21948845456906185,-0.4290347784336899,-0.025574856618710284,791,27.208845208845208,-0.032694592276654166
+ VIX Regime (lb=120 s=0.5),0.7418248961782766,0.20605705536532737,-0.43113318581514776,-0.05103073731467922,856,29.444717444717444,-0.061677377543053136
+ VIX Regime (lb=250 s=0.2),0.7969507675871728,0.23720971025795712,-0.48204840477916594,-0.003111446646215099,723,24.86977886977887,-0.0065515061341570036
+ VIX Regime (lb=250 s=0.3),0.7733529330005922,0.22537703118102703,-0.4823362070030819,-0.015670134107598654,755,25.97051597051597,-0.030149340720737605
+ VIX Regime (lb=250 s=0.5),0.7648319417556617,0.2185022809203867,-0.4736502982686428,-0.025971719533311566,777,26.727272727272727,-0.03867033196566805
+ Yield Curve (lb=60 s=0.2),0.757787271961664,0.20442901565726945,-0.4343464713294697,-0.014730252938212618,716,24.628992628992627,-0.04571500175966581
+ Yield Curve (lb=60 s=0.3),0.729242556589913,0.18674072412941678,-0.4089631717921502,-0.02920985583990432,784,26.968058968058966,-0.07425971713141677
+ Yield Curve (lb=60 s=0.5),0.6801262671656361,0.16133604295828863,-0.4187273458641883,-0.03077476664117562,816,28.06879606879607,-0.1233760065556937
+ Yield Curve (lb=120 s=0.2),0.8092755718423199,0.22687321139533934,-0.4414751862069895,0.0006797787891796858,615,21.154791154791155,0.005773298120990145
+ Yield Curve (lb=120 s=0.3),0.7974729232096553,0.21098577879954306,-0.3986852848351014,-0.002260963415407602,616,21.18918918918919,-0.006029350511674414
