sweep,gold_frac,wn_min,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,IS_OOS_gap,n_trades_yr
F1a,0.200000,0.300000,0.319141,0.220509,0.680789,-0.600974,0.173504,0.111875,-0.018729,0.098632,27.115499
F1a,0.300000,0.300000,0.317869,0.250685,0.740634,-0.591356,0.178926,0.107077,-0.020474,0.067184,27.115499
F1a,0.400000,0.300000,0.315934,0.281049,0.799767,-0.586310,0.183894,0.101547,-0.023217,0.034885,27.115499
F1a,0.500000,0.300000,0.313338,0.311578,0.857711,-0.594515,0.180972,0.093564,-0.028273,0.001760,27.115499
F1a,0.600000,0.300000,0.310085,0.342250,0.913997,-0.620694,0.168832,0.086038,-0.033539,-0.032165,27.115499
F1a,0.700000,0.300000,0.306180,0.373040,0.968183,-0.645715,0.156226,0.077362,-0.039011,-0.066861,27.115499
F1a,0.800000,0.300000,0.301627,0.403926,1.019869,-0.669584,0.143173,0.070530,-0.044685,-0.102299,27.115499
F1b,0.600000,0.200000,0.310795,0.343626,0.915734,-0.620694,0.167892,0.085478,-0.033461,-0.032831,27.115499
F1b,0.600000,0.250000,0.311044,0.343354,0.915606,-0.620694,0.168840,0.086151,-0.033461,-0.032309,27.115499
F1b,0.600000,0.300000,0.310085,0.342250,0.913997,-0.620694,0.168832,0.086038,-0.033539,-0.032165,27.115499
F1b,0.600000,0.350000,0.308653,0.341128,0.912314,-0.620694,0.168918,0.085039,-0.033648,-0.032474,27.115499
F1b,0.600000,0.400000,0.306827,0.339734,0.910115,-0.623564,0.167915,0.084346,-0.033678,-0.032907,27.115499
