slope_thr,gamma_b,frac_gold,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
,,,0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.018127,27.115499
0.500000,0.000000,0.500000,0.306099,0.389485,0.991960,-0.660277,0.149721,0.079973,-0.083386,27.115499
0.500000,0.000000,1.000000,0.303397,0.397746,1.000293,-0.709187,0.126532,0.071077,-0.094349,27.115499
0.500000,0.250000,0.500000,0.309132,0.376422,0.969253,-0.645561,0.159374,0.084376,-0.067290,27.115499
0.500000,0.250000,1.000000,0.307405,0.382749,0.976438,-0.684194,0.142077,0.077661,-0.075344,27.115499
0.500000,0.500000,0.500000,0.311989,0.363029,0.944824,-0.630611,0.168833,0.089114,-0.051040,27.115499
0.500000,0.500000,1.000000,0.311039,0.367331,0.950219,-0.657697,0.157371,0.084972,-0.056292,27.115499
0.750000,0.000000,0.500000,0.307951,0.374836,0.965112,-0.652842,0.154677,0.077555,-0.066885,27.115499
0.750000,0.000000,1.000000,0.306282,0.381833,0.972760,-0.689343,0.137816,0.069937,-0.075551,27.115499
0.750000,0.250000,0.500000,0.310486,0.365386,0.948638,-0.639823,0.163050,0.083025,-0.054901,27.115499
0.750000,0.250000,1.000000,0.309507,0.370749,0.955075,-0.668284,0.150512,0.077419,-0.061242,27.115499
0.750000,0.500000,0.500000,0.312868,0.355642,0.930806,-0.626680,0.171255,0.088393,-0.042774,27.115499
0.750000,0.500000,1.000000,0.312399,0.359293,0.935554,-0.646379,0.162972,0.084946,-0.046894,27.115499
1.000000,0.000000,0.500000,0.307014,0.368552,0.953167,-0.645249,0.160406,0.084032,-0.061539,27.115499
1.000000,0.000000,1.000000,0.304270,0.367439,0.947609,-0.684015,0.146452,0.078871,-0.063168,27.115499
1.000000,0.250000,0.500000,0.309738,0.360624,0.939404,-0.633943,0.167329,0.087649,-0.050886,27.115499
1.000000,0.250000,1.000000,0.307901,0.359916,0.935761,-0.664049,0.156967,0.083890,-0.052015,27.115499
1.000000,0.500000,0.500000,0.312340,0.352436,0.924486,-0.622635,0.174096,0.091964,-0.040096,27.115499
1.000000,0.500000,1.000000,0.311263,0.352048,0.922410,-0.643392,0.167258,0.088826,-0.040785,27.115499
