formula,tilt,cap,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
REF,0.000000,,0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.018127,27.115499
A,0.600000,0.100000,0.320427,0.349105,0.905843,-0.611965,0.185043,0.102336,-0.028678,195.549244
A,1.000000,0.100000,0.320325,0.357444,0.918291,-0.617838,0.183154,0.099446,-0.037118,187.780090
A,2.000000,0.100000,0.320385,0.363017,0.926426,-0.619626,0.182670,0.098351,-0.042632,183.053535
A,5.000000,0.100000,0.320108,0.363483,0.926609,-0.620479,0.181411,0.097632,-0.043376,180.278837
A,10.000000,0.100000,0.320012,0.365182,0.929319,-0.620361,0.181124,0.097552,-0.045170,179.188093
B,0.100000,0.100000,0.336445,0.359566,0.894962,-0.612672,0.187285,0.091372,-0.023121,198.381350
B,0.100000,0.200000,0.336445,0.359566,0.894962,-0.612672,0.187285,0.091372,-0.023121,198.381350
B,0.200000,0.100000,0.340732,0.367272,0.898698,-0.623209,0.192004,0.092650,-0.026540,188.641203
B,0.200000,0.200000,0.356917,0.376771,0.889316,-0.661110,0.189279,0.086844,-0.019853,198.381350
