year,annual_return
1974,19.1
1975,-2.1
1976,105.5
1977,-10.4
1978,150.4
1979,27.3
1980,83.7
1981,-37.4
1982,98.0
1983,11.2
1984,-19.1
1985,171.1
1986,48.9
1987,78.9
1988,-27.7
1989,67.8
1990,-44.5
1991,83.9
1992,63.7
1993,-0.6
1994,-8.4
1995,166.0
1996,58.7
1997,63.5
1998,84.2
1999,87.1
2000,-11.5
2001,-6.9
2002,14.6
2003,125.5
2004,9.2
2005,-16.6
2006,61.4
2007,27.1
2008,20.8
2009,61.6
2010,96.4
2011,-13.4
2012,36.5
2013,40.2
2014,10.8
2015,-31.3
2016,-3.8
2017,100.3
2018,-7.4
2019,64.9
2020,84.3
2021,30.3
2022,-25.8
2023,105.5
2024,69.3
2025,51.2
2026,-7.6
