year,annual_return
1974,19.1
1975,-4.2
1976,106.2
1977,-10.6
1978,158.0
1979,30.3
1980,84.9
1981,-37.2
1982,97.7
1983,15.3
1984,-18.8
1985,171.3
1986,50.4
1987,81.3
1988,-29.4
1989,69.9
1990,-46.0
1991,97.8
1992,69.6
1993,-0.1
1994,-8.6
1995,168.1
1996,58.0
1997,64.9
1998,80.5
1999,87.5
2000,-11.7
2001,-6.9
2002,14.6
2003,117.6
2004,8.0
2005,-17.5
2006,64.7
2007,30.9
2008,20.5
2009,66.6
2010,86.5
2011,-14.5
2012,34.7
2013,41.5
2014,7.4
2015,-31.3
2016,-2.3
2017,108.9
2018,-6.2
2019,67.6
2020,87.8
2021,31.5
2022,-25.7
2023,106.7
2024,73.8
2025,50.9
2026,-8.5
